FILENAME:,20141121_1254_HUETP_ VD603003G_Mod_HY_ 4A_   T00000
UNIT:,VD603003G
MODEL:,GEH50DEEDSCB
DATE:,20141121_1254
TEST_TYPE:,HUETP
VERSION:,1.0.0.155
AMBIENT TEMP:,Mode:Hybrid Tset:140
TEST STATION:,AP2LABADMIN-PC
COMPUTER_NAME:,4A
TEST_NUMBER:,T00000
ENGINEER:,RJ HILL
TECHNICIAN:,CT
COMMENTS:,DAILY FACTORY HU
MSG: ,Critical Version=1.26 NonCrit Ver=1.31, t =,26.016602
Elapsed Time,Board Address,UpperElement,LowerElement,Compressor,Fan,SetPoint,T2(TankSensor),T3A(EvapIn),T3B(EvapOut),T4(CompressorDischarge),T5(Ambient),Current,Voltage,EEV,Hex,Com Err Count,Vrms,Irms,P(kWatts),Energy(Wh),Pres_HI1 (P1),Pres_HI2 (P2),Pres_LOW (P3),HEATER_TOP,HEATER_BOT,T_Shell,Tc_1,Tc_2,Tc_3,Tc_4,Tc_5,Tc_6,Tc_down,T_Shell_2,T_Shell_3,T_Shell_4,RTD_IN,RTD_OUT,RTD_AMB,WATT_HOURS,GALLONS,FLOW(GPM),T_Shell_Raw,Tc_1_Raw,Tc_2_Raw,Tc_3_Raw,Tc_4_Raw,Tc_5_Raw,Tc_6_Raw,Tc_down_Raw,T_Shell_2_Raw,T_Shell_3_Raw,T_Shell_4_Raw,UE Relay,LE Relay
41.656250,128,0,0,1,0,140,119.600000,64.700000,66.600000,116.300000,72.500000,2.600000,242.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAC_0x02_0x87_0x02_0x9A_0x04_0x8B_0x02_0xD5_0x1A_0x00_0xF2_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.620000,0.002104,0.502000,9.000000,-97.92,-125.42,-40.11,1.00,1.00,214745087.90,121.30,121.30,121.40,121.20,121.10,121.30,118.20,285.40,560.00,-214738534.30,117.60,114.30,66.40,9.00,50.97,0.00,214745087.900000,121.300000,121.300000,121.400000,121.200000,121.100000,121.300000,118.200000,285.400000,560.000000,-214738534.300000,0,0
MSG: ,Run, t =,41.955078
MSG: ,SetMode, t =,41.960937
MSG: ,Stabilize, t =,45.303711
45.830078,128,0,0,1,0,140,119.600000,64.200000,66.800000,116.300000,72.200000,2.700000,243.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAC_0x02_0x82_0x02_0x9C_0x04_0x8B_0x02_0xD2_0x1B_0x00_0xF3_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.260000,0.002107,0.502000,0.000000,-97.92,-125.05,-40.42,1.00,1.00,214745087.90,121.30,121.30,121.40,121.30,121.10,121.30,118.30,287.20,514.20,-214738534.30,117.60,114.20,66.40,0.00,0.00,0.00,214745087.900000,121.300000,121.300000,121.400000,121.300000,121.100000,121.300000,118.300000,287.200000,514.200000,-214738534.300000,0,0
51.958984,128,0,0,1,0,140,119.700000,61.800000,66.500000,117.500000,71.700000,2.600000,242.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAD_0x02_0x6A_0x02_0x99_0x04_0x97_0x02_0xCD_0x1A_0x00_0xF2_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.530000,0.002100,0.501000,1.000000,-97.80,-125.30,-40.11,1.00,1.00,214745087.90,121.30,121.30,121.40,121.30,121.20,121.30,118.20,279.90,530.30,-214738534.30,117.60,114.00,66.30,1.00,0.00,0.00,214745087.900000,121.300000,121.300000,121.400000,121.300000,121.200000,121.300000,118.200000,279.900000,530.300000,-214738534.300000,0,0
62.147461,128,0,0,1,0,140,119.700000,59.400000,67.000000,118.400000,71.000000,2.700000,242.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAD_0x02_0x52_0x02_0x9E_0x04_0xA0_0x02_0xC6_0x1B_0x00_0xF2_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.560000,0.002088,0.498000,2.000000,-97.67,-126.42,-39.24,1.00,1.00,214745087.90,121.30,121.30,121.30,121.20,121.10,121.30,118.10,268.40,681.90,-171.70,117.60,113.80,66.20,2.00,0.00,0.00,214745087.900000,121.300000,121.300000,121.300000,121.200000,121.100000,121.300000,118.100000,268.400000,681.900000,-171.700000,0,0
71.962891,128,0,0,1,0,140,119.900000,57.400000,67.300000,118.900000,70.800000,2.600000,242.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAF_0x02_0x3E_0x02_0xA1_0x04_0xA5_0x02_0xC4_0x1A_0x00_0xF2_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.680000,0.002061,0.492000,4.000000,-97.67,-126.05,-39.42,1.00,1.00,214745087.90,121.40,121.30,121.40,121.20,121.20,121.30,118.00,275.20,675.40,-166.40,117.10,113.50,66.30,4.00,0.00,0.00,214745087.900000,121.400000,121.300000,121.400000,121.200000,121.200000,121.300000,118.000000,275.200000,675.400000,-166.400000,0,0
81.963867,128,0,0,1,0,140,119.800000,56.000000,67.600000,119.400000,70.500000,2.700000,243.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAE_0x02_0x30_0x02_0xA4_0x04_0xAA_0x02_0xC1_0x1B_0x00_0xF3_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.770000,0.002031,0.485000,5.000000,-97.67,-127.17,-37.42,1.00,1.00,214745087.90,121.50,121.30,121.40,121.30,121.10,121.30,117.90,228.50,214745087.90,-69.90,116.80,113.20,66.60,5.00,0.00,0.00,214745087.900000,121.500000,121.300000,121.400000,121.300000,121.100000,121.300000,117.900000,228.500000,214745087.900000,-69.900000,0,0
91.963867,128,0,0,1,0,140,119.900000,54.200000,67.900000,119.700000,70.200000,2.600000,242.000000,80.000000,0x80_0x2D_0x60_0x56_0x00_0x00_0x01_0x00_0x8C_0x04_0xAF_0x02_0x1E_0x02_0xA7_0x04_0xAD_0x02_0xBE_0x1A_0x00_0xF2_0x00_0x50_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0x00_0xFF_0x01_0x05_0x02,0,238.800000,0.002006,0.479000,6.000000,-94.67,-127.17,-35.36,1.00,1.00,214745087.90,121.40,121.50,121.50,121.30,121.10,121.30,117.90,46.40,439.60,384.80,116.90,113.00,66.80,6.00,0.00,0.00,214745087.900000,121.400000,121.500000,121.500000,121.300000,121.100000,121.300000,117.900000,46.400000,439.600000,384.800000,0,0
