FILENAME:,TR_T00079153_Lab_ID_14GP1164_Model_GEH50DFEJSRA_AmbT_68_RH_50_Date_10_28_2014_Time_15_27_Heat Up.csv,,,,,,
TR NUMBER:,T00079153,,,,,,
LAB ID:,14GP1164,,,,,,
TEST NUMBER:,14GP1164 HU,,,,,,
MODEL NUMBER:,GEH50DFEJSRA,,,,,,
SERIAL NUMBER:,SD600129G,,,,,,
AMBIENT TEMPERATURE:,68,,,,,,
AMBIENT RH (%),50,,,,,,
TEST STATION:,1B,,,,,,
SUPPLY VOLTAGE:,240,,,,,,
FREQUENCY,60,,,,,,
ENGINEER,RV,,,,,,
TECHNICIAN:,Donna,,,,,,
BUILD:,Pre-Pilot,,,,,,
HEATING MODE:,Hybrid Heating,,,,,,
TEST TYPE:,Heat Up,,,,,,
LABVIEW SOFTWARE VERSION:,1.0.0.264,,,,,,
COMPUTER NAME:,AP2LABADMIN-PC,,,,,,
COMPUTER IP ADDRESS:,10.2.0.26,,,,,,
COMMENTS,50G RETAIL HU,,,,,,
Ohio Semetronics,OSI,asdf,asdf,asdf,5/9/2014,5/10/2015,
MW100,Yoko,asdf,asdf,asdf,5/6/2014,5/10/2015,
34972A,Agilent,asdf,asdf,asdf,5/6/2014,5/10/2015,
Dispense Time Schedule (s),Total Gallons Schedule (gal),Flow Rate Schedule (gal/min),Incoming Water Temperature Schedule (F),,,,
Zero Pre-Draws,,,,,,,
Draw Start Time,Draw End Time,Draw Count,Max RTD Out Temp,Min RTD Out Temp,Average Flow Rate (GPM),Flow Rate Standard Deviation,Dispensed Gallons (Gallons)
1813.488,2831.608,0.000,140.100,88.100,2.991,0.075,41.470
HEWH Software Version,Critical Version=0.0 NonCrit Ver=0.0,,,,,,
System Time,Draw Elapsed Time (s),Elapsed Time (s),"Source","Destination","Command","Length","CRC","UE - state (1/0 on off)","LE - state (1/0 on off)","Comp - state (1/0 on off)","Fan  - state (1/0 on off)","Setpoint Deg F","T2(TankSensor)","T3A(EvapIn)","T3B(EvapOut)","T4(CompressorDischarge)","T5(Ambient)","Current","Voltage (Volts)","EEV Position (0-480)","Flow Events (Bit Encoded)","Heating Control Mode","Reason for last heating cycle termination","Reason Data word 1","Reason Data word 2","Reason Data word 3","Reason Data word 4","SW Debug Data",Voltage (RMS),Current (RMS),Power (Watts),Energy(Wh),TC Tree Average,Pressure HI1 (Atm),Pres HI2 (Atm),Pres Low (Atm),Upper Element- Event Lead,Lower Element- Event Lead,T1-7,T1,T2,T3,T4,T5,T6,Tc_down,T1-8,T1-9,T1-10,RTD_IN,RTD_OUT,RTD_AMB,GALLONS,FLOW(GPM),T1-7_Raw,T1_Raw,T2_Raw,T3_Raw,T4_Raw,T5_Raw,T6_Raw,Tc_down_Raw,T1-8_Raw,T1-9_Raw,T1-10_Raw,Intellifaucet Valve % Open,Program Status
10/28/2014 15:29:05.674,0.000000,423627.626953,60,80,56,2D,7DC,0,0,1,1,140,132.900000,51.900000,60.600000,145.100000,68.600000,2.000000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.680000,1.973353,471.000000,1.000000,132.400000,-99.30,-119.67,-34.99,OFF,OFF,214745087.90,132.10,131.70,132.30,133.00,133.00,132.30,121.70,-214738534.30,-214738534.30,-214738534.30,107.40,99.80,67.60,0.00,0.00,214745087.900000,132.100000,131.700000,132.300000,133.000000,133.000000,132.300000,121.700000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:29:15.220,0.000000,423637.061523,60,80,56,2D,1545,0,0,1,1,140,132.800000,51.900000,60.600000,145.300000,68.600000,1.900000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.650000,1.973602,471.000000,3.000000,132.450000,-98.17,-120.67,-34.92,OFF,OFF,214745087.90,132.10,131.80,132.40,133.00,133.00,132.40,121.60,-214738534.30,-214738534.30,-214738534.30,108.10,100.40,67.60,0.00,0.00,214745087.900000,132.100000,131.800000,132.400000,133.000000,133.000000,132.400000,121.600000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:29:24.819,0.000000,423646.556641,60,80,56,2D,91A3,0,0,1,1,140,132.800000,51.900000,60.800000,145.500000,68.600000,2.000000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.530000,1.974594,471.000000,4.000000,132.500000,-96.55,-121.42,-34.99,OFF,OFF,214745087.90,132.20,131.70,132.60,133.00,133.00,132.50,121.60,-214738534.30,-214738534.30,-214738534.30,108.50,100.40,67.60,0.00,0.00,214745087.900000,132.200000,131.700000,132.600000,133.000000,133.000000,132.500000,121.600000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:29:34.373,0.000000,423656.062500,60,80,56,2D,1F8A,0,0,1,1,140,132.900000,51.900000,60.800000,145.500000,68.600000,2.000000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.530000,1.974594,471.000000,5.000000,132.500000,-99.30,-120.17,-34.92,OFF,OFF,214745087.90,132.30,131.70,132.50,133.00,133.00,132.50,121.50,-214738534.30,-214738534.30,-214738534.30,108.10,99.60,67.60,0.00,0.00,214745087.900000,132.300000,131.700000,132.500000,133.000000,133.000000,132.500000,121.500000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:29:43.970,0.000000,423666.222656,60,80,56,2D,807A,0,0,1,1,140,132.900000,51.900000,60.900000,145.700000,68.600000,1.900000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,237.630000,1.982073,471.000000,6.000000,132.483333,-100.17,-119.55,-34.92,OFF,OFF,214745087.90,132.30,131.70,132.40,133.00,133.00,132.50,121.40,-214738534.30,-214738534.30,-214738534.30,108.30,100.30,67.60,0.00,0.00,214745087.900000,132.300000,131.700000,132.400000,133.000000,133.000000,132.500000,121.400000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:29:53.533,0.000000,423675.751953,60,80,56,2D,F5D,0,0,1,1,140,132.900000,51.900000,60.800000,145.900000,68.600000,2.000000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.560000,1.974346,471.000000,8.000000,132.583333,-91.67,-119.17,-35.05,OFF,OFF,214745087.90,132.50,131.80,132.50,133.10,133.00,132.60,121.30,-214738534.30,-214738534.30,-214738534.30,108.10,100.50,67.60,0.00,0.00,214745087.900000,132.500000,131.800000,132.500000,133.100000,133.000000,132.600000,121.300000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:30:03.171,0.000000,423685.266602,60,80,56,2D,868B,0,0,1,1,140,132.900000,51.900000,60.900000,146.100000,68.600000,1.900000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.230000,1.977081,471.000000,9.000000,132.633333,-92.30,-123.67,-34.49,OFF,OFF,214745087.90,132.40,131.80,132.60,133.30,133.10,132.60,121.30,-214738534.30,-214738534.30,-214738534.30,108.30,99.40,67.60,0.00,0.00,214745087.900000,132.400000,131.800000,132.600000,133.300000,133.100000,132.600000,121.300000,-214738534.300000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:30:12.719,0.000000,423694.764648,60,80,56,2D,DE3,0,0,1,1,140,132.900000,51.900000,60.900000,146.300000,68.600000,1.900000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.260000,1.981029,472.000000,10.000000,132.633333,-83.55,-123.67,-34.17,OFF,OFF,214745087.90,132.30,131.80,132.70,133.30,133.10,132.60,121.20,-251.90,-214738534.30,-214738534.30,107.20,100.70,67.70,0.00,0.00,214745087.900000,132.300000,131.800000,132.700000,133.300000,133.100000,132.600000,121.200000,-251.900000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:30:22.325,0.000000,423704.320312,60,80,56,2D,8BF6,0,0,1,1,140,133.000000,51.900000,60.800000,146.300000,68.600000,2.000000,223,186,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,237.960000,1.983527,472.000000,12.000000,132.683333,-82.55,-121.80,-34.49,OFF,OFF,214745087.90,132.30,131.80,132.80,133.30,133.20,132.70,121.10,-189.20,-214738534.30,-214738534.30,107.50,100.60,67.70,0.00,0.00,214745087.900000,132.300000,131.800000,132.800000,133.300000,133.200000,132.700000,121.100000,-189.200000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
10/28/2014 15:30:31.875,0.000000,423713.818359,60,80,56,2D,7458,0,0,1,1,140,133.100000,52.100000,60.900000,146.500000,68.600000,1.900000,223,185,"None (0)",Hybrid (1),Run Cond D: Superheat OK,T3A: 020E,T3b: 023F,T5: 02AB,0000,0306010502,238.470000,1.975091,471.000000,13.000000,132.650000,-85.55,-124.17,-34.30,OFF,OFF,214745087.90,132.30,131.80,132.70,133.30,133.20,132.60,121.00,-296.40,-214738534.30,-214738534.30,107.40,100.50,67.70,0.00,0.00,214745087.900000,132.300000,131.800000,132.700000,133.300000,133.200000,132.600000,121.000000,-296.400000,-214738534.300000,-214738534.300000,0.000,Waiting for Full Cutout....
