FILENAME:,TR_T00079154_Lab_ID_14GP1171_Model_GEH80DEEJSC_AmbT_68_RH_50_Date_11_17_2014_Time_15_13_Heat Up.csv,,,,,,
TR NUMBER:,T00079154,,,,,,
LAB ID:,14GP1171,,,,,,
TEST NUMBER:,80G HU,,,,,,
MODEL NUMBER:,GEH80DEEJSC,,,,,,
SERIAL NUMBER:,SD600169G,,,,,,
AMBIENT TEMPERATURE:,68,,,,,,
AMBIENT RH (%),50,,,,,,
TEST STATION:,3D,,,,,,
SUPPLY VOLTAGE:,240,,,,,,
FREQUENCY,60,,,,,,
ENGINEER,RV,,,,,,
TECHNICIAN:,Donna,,,,,,
BUILD:,Pre-Pilot,,,,,,
HEATING MODE:,Hybrid Heating,,,,,,
TEST TYPE:,Heat Up,,,,,,
LABVIEW SOFTWARE VERSION:,1.0.0.277,,,,,,
COMPUTER NAME:,AP2LABADMIN-PC,,,,,,
COMPUTER IP ADDRESS:,10.2.0.206,,,,,,
COMMENTS,80G PP169,,,,,,
Ohio Semetronics,OSI,asdf,asdf,asdf,5/9/2014,5/10/2014,
MW100,Yoko,asdf,asdf,asdf,5/6/2014,5/10/2014,
34972A,Agilent,asdf,asdf,asdf,5/6/2014,5/10/2014,
Dispense Time Schedule (s),Total Gallons Schedule (gal),Flow Rate Schedule (gal/min),Incoming Water Temperature Schedule (F),,,,
Zero Pre-Draws,,,,,,,
Draw Start Time,Draw End Time,Draw Count,Max RTD Out Temp,Min RTD Out Temp,Average Flow Rate (GPM),Flow Rate Standard Deviation,Dispensed Gallons (Gallons)
1813.437,2213.761,0.000,139.600,89.300,3.018,0.126,10.830
5841.182,7065.789,0.000,138.500,96.800,3.025,0.064,63.320
HEWH Software Version,Critical Version=0.0 NonCrit Ver=0.0,,,,,,
System Time,Draw Elapsed Time (s),Elapsed Time (s),"Source","Destination","Command","Length","CRC","UE - state (1/0 on off)","LE - state (1/0 on off)","Comp - state (1/0 on off)","Fan  - state (1/0 on off)","Setpoint Deg F","T2(TankSensor)","T3A(EvapIn)","T3B(EvapOut)","T4(CompressorDischarge)","T5(Ambient)","Current","Voltage (Volts)","EEV Position (0-480)","Flow Events (Bit Encoded)","Heating Control Mode","Reason for last heating cycle termination","Reason Data word 1","Reason Data word 2","Reason Data word 3","Reason Data word 4","SW Debug Data",Voltage (RMS),Current (RMS),Power (Watts),Energy(Wh),TC Tree Average,Pressure HI1 (Atm),Pres HI2 (Atm),Pres Low (Atm),Upper Element- Event Lead,Lower Element- Event Lead,T1-7,T1,T2,T3,T4,T5,T6,Tc_down,T1-8,T1-9,T1-10,RTD_IN,RTD_OUT,RTD_AMB,GALLONS,FLOW(GPM),T_Shell,T1_Raw,T2_Raw,T3_Raw,T4_Raw,T5_Raw,T6_Raw,Tc_down_Raw,T1-8_Raw,T1-9_Raw,T1-10_Raw,Intellifaucet Valve % Open,Program Status
11/17/2014 15:15:17.266,0.000000,7439.357422,60,80,56,D,1D17,0,0,1,1,140,115.200000,47.100000,65.000000,120.100000,68.900000,1.800000,228,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,237.270,1.694,402.000,1.000,116.467,-127.175,-66.675,-65.175,1.000,1.000,214745087.900,116.900,116.900,116.700,116.300,115.900,116.100,127.500,-147.600,-198.900,-214738534.300,108.300,98.800,68.600,0.000,0.000,214745087.900,116.900,116.900,116.700,116.300,115.900,116.100,127.500,-147.600,-198.900,-214738534.300,0.000,Select Test....
11/17/2014 15:15:26.770,0.000000,7448.834961,60,80,56,D,E4E2,0,0,1,1,140,115.200000,47.500000,64.600000,120.300000,68.900000,1.800000,227,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.850,1.693,401.000,2.000,116.500,-127.425,-67.175,-65.550,1.000,1.000,214745087.900,117.000,116.900,116.700,116.400,115.900,116.100,127.200,-135.900,-198.100,-214738534.300,108.100,98.600,68.600,0.000,0.000,214745087.900,117.000,116.900,116.700,116.400,115.900,116.100,127.200,-135.900,-198.100,-214738534.300,0.000,Select Test....
11/17/2014 15:15:36.324,0.000000,7458.333984,60,80,56,D,B77C,0,0,1,1,140,115.200000,47.600000,64.100000,120.600000,68.900000,1.800000,228,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,237.030,1.700,403.000,3.000,116.500,-127.550,-67.175,-65.612,1.000,1.000,214745087.900,117.100,116.900,116.700,116.400,115.900,116.000,127.100,-140.100,-204.200,-214738534.300,108.500,99.000,68.600,0.000,0.000,214745087.900,117.100,116.900,116.700,116.400,115.900,116.000,127.100,-140.100,-204.200,-214738534.300,0.000,Select Test....
11/17/2014 15:15:45.824,0.000000,7467.775391,60,80,56,D,91E0,0,0,1,1,140,115.200000,48.000000,63.600000,120.800000,68.900000,1.800000,227,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.820,1.697,402.000,4.000,116.517,-134.300,-67.550,-65.612,1.000,1.000,214745087.900,117.100,116.900,116.700,116.400,116.000,116.000,127.200,-93.500,-152.500,-214738534.300,108.700,99.200,68.600,0.000,0.000,214745087.900,117.100,116.900,116.700,116.400,116.000,116.000,127.200,-93.500,-152.500,-214738534.300,0.000,Waiting for Full Cutout....
11/17/2014 15:15:55.375,0.000000,7477.262695,60,80,56,D,C0FD,0,0,1,1,140,115.200000,48.200000,63.300000,121.000000,68.900000,1.800000,225,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.910,1.701,403.000,5.000,116.567,-136.925,-69.550,-65.925,1.000,1.000,214745087.900,117.200,116.900,116.700,116.500,116.000,116.100,127.200,-72.600,-103.200,-244.600,108.300,98.100,68.600,0.000,0.000,214745087.900,117.200,116.900,116.700,116.500,116.000,116.100,127.200,-72.600,-103.200,-244.600,0.000,Waiting for Full Cutout....
11/17/2014 15:16:04.875,0.000000,7486.750977,60,80,56,D,D0A5,0,0,1,1,140,115.200000,48.400000,63.000000,121.200000,68.900000,1.800000,226,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.730,1.711,405.000,6.000,116.600,-137.425,-67.175,-66.925,1.000,1.000,214745087.900,117.300,116.900,116.800,116.500,116.000,116.100,127.200,-17.500,40.700,-138.600,107.700,97.600,68.600,0.000,0.000,214745087.900,117.300,116.900,116.800,116.500,116.000,116.100,127.200,-17.500,40.700,-138.600,0.000,Waiting for Full Cutout....
11/17/2014 15:16:14.423,0.000000,7496.161133,60,80,56,D,AF6A,0,0,1,1,140,115.200000,48.600000,62.700000,121.500000,68.900000,1.800000,226,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.730,1.711,405.000,7.000,116.550,-132.050,-72.425,-66.675,1.000,1.000,214745087.900,117.200,116.800,116.700,116.500,116.000,116.100,127.100,2.000,115.000,-73.200,108.300,97.600,68.600,0.000,0.000,214745087.900,117.200,116.800,116.700,116.500,116.000,116.100,127.100,2.000,115.000,-73.200,0.000,Waiting for Full Cutout....
11/17/2014 15:16:23.924,0.000000,7505.632812,60,80,56,D,AEF3,0,0,1,1,140,115.300000,48.700000,62.400000,121.700000,68.900000,1.700000,227,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.910,1.722,408.000,8.000,116.583,-126.425,-83.300,-65.050,1.000,1.000,214745087.900,117.200,116.900,116.800,116.500,116.000,116.100,126.800,29.900,169.600,23.800,108.800,97.400,68.600,0.000,0.000,214745087.900,117.200,116.900,116.800,116.500,116.000,116.100,126.800,29.900,169.600,23.800,0.000,Waiting for Full Cutout....
11/17/2014 15:16:33.474,0.000000,7515.133789,60,80,56,D,7BE5,0,0,1,1,140,115.200000,48.900000,62.100000,121.900000,68.900000,1.700000,228,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,237.000,1.722,408.000,9.000,116.650,-123.675,-87.925,-63.550,1.000,1.000,214745087.900,117.200,116.900,116.900,116.600,116.100,116.200,126.900,44.300,185.800,60.200,108.600,97.900,68.600,0.000,0.000,214745087.900,117.200,116.900,116.900,116.600,116.100,116.200,126.900,44.300,185.800,60.200,0.000,Waiting for Full Cutout....
11/17/2014 15:16:42.976,0.000000,7524.654297,60,80,56,D,1221,0,0,1,1,140,115.300000,48.900000,61.900000,122.200000,68.700000,1.700000,226,199,"Small Flow Active (1)",Hybrid (1),,0000,0000,0000,0000,0301010502,236.850,1.723,408.000,10.000,116.617,-124.175,-86.925,-63.862,1.000,1.000,214745087.900,117.200,116.900,116.800,116.600,116.000,116.200,126.800,31.600,171.400,35.500,108.100,98.300,68.600,0.000,0.000,214745087.900,117.200,116.900,116.800,116.600,116.000,116.200,126.800,31.600,171.400,35.500,0.000,Waiting for Full Cutout....
