0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA MID,CA MID,Current Leakage (mA),RoomTemp,Humidity
0:00:00,2,0.98,115.1,8.50,9.54,0.00000,-3.42,36.12,-999.00,-999.00,-999.00,0,-3.42,36.12,0.06475,109.92,19.1,111.57
0:00:51,2,0.98,115.1,9.30,10.52,0.00135,-1.72,36.66,-999.00,-999.00,-999.00,0,-1.72,36.66,0.06475,109.92,19.1,111.57
0:01:41,2,0.98,115.1,9.30,10.46,0.00283,-1.50,36.65,-999.00,-999.00,-999.00,0,-1.50,36.65,0.06475,109.92,19.1,111.57
0:02:19,4,1.00,115.2,22.20,25.60,0.00424,-1.31,36.59,-999.00,-999.00,-999.00,0,-1.31,36.59,0.06475,110.13,19.1,111.57
0:02:25,4,1.00,115.2,22.20,25.60,0.00424,-1.31,36.59,-999.00,-999.00,-999.00,0,-1.31,36.59,0.06475,110.13,19.1,111.57
0:02:25,4,1.00,115.2,22.20,25.60,0.00424,-1.31,36.59,-999.00,-999.00,-999.00,0,-1.31,36.59,0.06475,110.13,19.1,111.57
0:03:16,4,1.00,115.2,22.20,25.61,0.00784,-1.26,36.67,-999.00,-999.00,-999.00,0,-1.26,36.67,0,110.13,19.1,111.57
0:04:06,4,1.00,115.2,22.20,25.55,0.01145,-0.98,36.78,-999.00,-999.00,-999.00,0,-0.98,36.78,0,110.13,19.1,111.57
0:04:57,4,1.00,115.2,22.20,25.52,0.01504,-0.86,36.89,-999.00,-999.00,-999.00,0,-0.86,36.89,0.06475,110.13,19.1,111.57
0:05:47,4,1.00,115.2,22.10,25.48,0.01864,-0.69,37.00,-999.00,-999.00,-999.00,0,-0.69,37.00,0.06475,110.13,19.1,111.57
0:06:37,4,1.00,115.2,22.10,25.43,0.02222,-0.54,37.14,-999.00,-999.00,-999.00,0,-0.54,37.14,0,110.13,19.1,111.57
0:07:27,4,1.00,115.2,22.10,25.44,0.02579,-0.27,37.27,-999.00,-999.00,-999.00,0,-0.27,37.27,0,110.13,19.1,111.57
0:08:02,4,1.00,115.2,22.10,25.41,0.02818,-0.22,37.36,-999.00,-999.00,-999.00,0,-0.22,37.36,0.06475,110.13,19.2,111.57
0:08:02,4,1.00,115.2,22.10,25.41,0.02818,-0.22,37.36,-999.00,-999.00,-999.00,0,-0.22,37.36,0.06475,110.13,19.2,111.57
0:08:02,4,1.00,115.2,22.10,25.41,0.02818,-0.22,37.36,-999.00,-999.00,-999.00,0,-0.22,37.36,0.06475,110.13,19.2,111.57
0:08:08,4,1.00,115.2,22.40,25.42,0.02866,-0.27,37.36,-999.00,-999.00,-999.00,0,-0.27,37.36,0.06475,110.13,19.2,111.57
0:08:08,4,1.00,115.2,22.40,25.42,0.02866,-0.27,37.36,-999.00,-999.00,-999.00,0,-0.27,37.36,0.06475,110.13,19.2,111.57
0:08:08,4,1.00,115.2,22.40,25.42,0.02866,-0.27,37.36,-999.00,-999.00,-999.00,0,-0.27,37.36,0.06475,110.13,19.2,111.57
0:08:58,4,1.00,115.2,22.10,25.39,0.03224,0.15,38.10,-999.00,-999.00,-999.00,0,0.15,38.10,0,109.92,19.2,111.57
0:09:48,4,1.00,115.2,22.10,25.38,0.03581,0.58,38.46,-999.00,-999.00,-999.00,0,0.58,38.46,0,109.92,19.2,111.57
0:10:38,4,1.00,115.2,22.00,25.38,0.03939,1.00,38.76,-999.00,-999.00,-999.00,0,1.00,38.76,0.06475,109.92,19.2,111.57
0:11:29,4,1.00,115.3,22.00,25.39,0.04272,1.38,39.11,-999.00,-999.00,-999.00,0,1.38,39.11,0,109.92,19.2,111.57
0:12:19,4,1.00,115.2,22.10,25.45,0.04628,1.70,39.38,-999.00,-999.00,-999.00,0,1.70,39.38,0,109.92,19.2,111.57
0:13:09,4,1.00,115.1,22.00,25.33,0.04985,2.33,39.66,-999.00,-999.00,-999.00,0,2.33,39.66,0,109.92,19.2,111.57
0:13:59,4,1.00,115.0,22.00,25.33,0.05341,2.91,39.96,-999.00,-999.00,-999.00,0,2.91,39.96,0,109.92,19.2,111.57
0:14:49,4,1.00,115.1,22.00,25.35,0.05699,3.42,40.22,-999.00,-999.00,-999.00,0,3.42,40.22,0,109.92,19.2,111.57
0:15:40,4,1.00,115.1,22.10,25.41,0.06056,3.75,40.42,-999.00,-999.00,-999.00,0,3.75,40.42,0,109.92,19.2,111.57
0:16:04,4,1.00,115.1,22.10,25.41,0.06222,4.17,40.55,-999.00,-999.00,-999.00,0,4.17,40.55,0,109.92,19.2,111.57
0:16:04,4,1.00,115.1,22.10,25.41,0.06222,4.17,40.55,-999.00,-999.00,-999.00,0,4.17,40.55,0,109.92,19.2,111.57
0:16:04,4,1.00,115.1,22.10,25.41,0.06222,4.17,40.55,-999.00,-999.00,-999.00,0,4.17,40.55,0,109.92,19.2,111.57
0:16:10,4,1.00,115.1,22.40,25.41,0.06270,4.16,40.60,-999.00,-999.00,-999.00,0,4.16,40.60,0,109.92,19.2,111.57
0:16:10,4,1.00,115.1,22.40,25.41,0.06270,4.16,40.60,-999.00,-999.00,-999.00,0,4.16,40.60,0,109.92,19.2,111.57
0:16:10,4,1.00,115.1,22.40,25.41,0.06270,4.16,40.60,-999.00,-999.00,-999.00,0,4.16,40.60,0,109.92,19.2,111.57
0:17:00,4,1.00,115.1,22.10,25.37,0.06628,4.99,41.42,-999.00,-999.00,-999.00,0,4.99,41.42,0,109.92,19.2,111.57
0:17:50,4,1.00,115.1,22.10,25.40,0.06986,5.43,41.81,-999.00,-999.00,-999.00,0,5.43,41.81,0.06475,109.92,19.2,111.57
0:18:41,4,1.00,115.0,22.10,25.40,0.07343,6.00,42.25,-999.00,-999.00,-999.00,0,6.00,42.25,0,109.92,19.2,111.57
0:19:31,4,1.00,115.0,22.10,25.40,0.07678,6.51,42.58,-999.00,-999.00,-999.00,0,6.51,42.58,0.06475,109.92,19.2,111.57
0:20:21,4,1.00,115.0,22.10,25.40,0.08035,7.04,42.91,-999.00,-999.00,-999.00,0,7.04,42.91,0.06475,109.92,19.2,111.57
0:21:11,4,1.00,115.1,22.10,25.40,0.08392,7.56,43.21,-999.00,-999.00,-999.00,0,7.56,43.21,0,109.92,19.2,111.57
0:22:02,4,1.00,115.1,22.10,25.38,0.08750,8.34,43.54,-999.00,-999.00,-999.00,0,8.34,43.54,0.06475,109.92,19.2,111.57
0:22:52,4,1.00,115.1,22.10,25.37,0.09107,8.96,43.86,-999.00,-999.00,-999.00,0,8.96,43.86,0,109.92,19.3,111.57
0:23:42,4,1.00,115.0,22.00,25.32,0.09464,9.84,44.18,-999.00,-999.00,-999.00,0,9.84,44.18,0.06475,109.92,19.3,111.57
0:24:06,4,1.00,115.0,22.00,25.32,0.09630,10.12,44.29,-999.00,-999.00,-999.00,0,10.12,44.29,0,109.92,19.3,111.57
0:24:06,4,1.00,115.0,22.00,25.32,0.09630,10.12,44.29,-999.00,-999.00,-999.00,0,10.12,44.29,0,109.92,19.3,111.57
0:24:06,4,1.00,115.0,22.00,25.32,0.09630,10.12,44.29,-999.00,-999.00,-999.00,0,10.12,44.29,0,109.92,19.3,111.57
0:24:12,4,1.00,115.0,22.40,25.32,0.09677,10.34,44.35,-999.00,-999.00,-999.00,0,10.34,44.35,0,109.92,19.3,111.57
0:24:12,4,1.00,115.0,22.40,25.32,0.09677,10.34,44.35,-999.00,-999.00,-999.00,0,10.34,44.35,0,109.92,19.3,111.57
0:24:12,4,1.00,115.0,22.40,25.32,0.09677,10.34,44.35,-999.00,-999.00,-999.00,0,10.34,44.35,0,109.92,19.3,111.57
0:25:02,4,1.00,115.0,22.00,25.31,0.10035,11.39,45.08,-999.00,-999.00,-999.00,0,11.39,45.08,0.06475,109.92,19.3,111.57
0:25:53,4,1.00,115.0,22.00,25.29,0.10391,12.48,45.45,-999.00,-999.00,-999.00,0,12.48,45.45,0,109.92,19.3,111.57
0:26:43,4,1.00,115.0,22.00,25.29,0.10723,13.30,45.85,-999.00,-999.00,-999.00,0,13.30,45.85,0,109.92,19.3,111.57
0:26:51,8,0.19,115.1,0.30,0.06,0.10801,14.35,45.92,-999.00,-999.00,-999.00,0,14.35,45.92,0,109.92,19.3,111.57
0:26:57,8,0.18,115.1,0.30,0.06,0.10801,14.35,45.92,-999.00,-999.00,-999.00,0,14.35,45.92,0,109.92,19.3,111.57
0:26:57,8,0.18,115.1,0.30,0.06,0.10801,14.35,45.92,-999.00,-999.00,-999.00,0,14.35,45.92,0,109.92,19.3,111.57
0:27:47,8,0.19,115.0,0.30,0.06,0.10802,16.13,46.33,-999.00,-999.00,-999.00,0,16.13,46.33,0,109.92,19.3,111.57
0:28:38,8,0.19,115.0,0.30,0.06,0.10803,17.85,46.64,-999.00,-999.00,-999.00,0,17.85,46.64,0,109.92,19.3,111.57
0:29:28,8,0.19,115.1,0.30,0.06,0.10804,18.85,46.97,-999.00,-999.00,-999.00,0,18.85,46.97,0,109.92,19.3,111.57
0:30:19,8,0.19,115.1,0.30,0.06,0.10805,18.68,47.27,-999.00,-999.00,-999.00,0,18.68,47.27,0,109.92,19.3,111.57
0:31:09,8,0.19,115.1,0.30,0.06,0.10806,19.33,47.57,-999.00,-999.00,-999.00,0,19.33,47.57,0,109.92,19.3,111.57
0:31:59,8,0.19,115.1,0.30,0.06,0.10807,20.06,47.82,-999.00,-999.00,-999.00,0,20.06,47.82,0,109.92,19.3,111.57
0:32:49,8,0.19,115.1,0.30,0.06,0.10809,21.23,48.59,-999.00,-999.00,-999.00,0,21.23,48.59,0,109.92,19.3,111.57
0:32:53,2,0.99,115.0,13.80,15.76,0.10944,22.96,48.83,-999.00,-999.00,-999.00,0,22.96,48.83,0.06475,109.92,19.3,111.57
0:33:17,2,0.99,115.0,13.80,15.76,0.10944,22.96,48.83,-999.00,-999.00,-999.00,0,22.96,48.83,0.06475,109.92,19.3,111.57
0:33:17,2,0.99,115.0,13.80,15.76,0.10944,22.96,48.83,-999.00,-999.00,-999.00,0,22.96,48.83,0.06475,109.92,19.3,111.57
0:34:07,2,0.99,115.0,13.60,15.51,0.11163,23.77,49.20,-999.00,-999.00,-999.00,0,23.77,49.20,0.06475,109.92,19.3,111.57
0:34:57,2,0.99,115.1,12.90,14.74,0.11380,24.42,49.39,-999.00,-999.00,-999.00,0,24.42,49.39,0.06475,109.92,19.3,111.57
0:35:47,2,0.99,115.1,12.20,13.86,0.11580,24.84,49.57,-999.00,-999.00,-999.00,0,24.84,49.57,0.06475,109.92,19.3,111.57
0:36:37,2,0.99,115.1,12.10,13.73,0.11774,25.10,49.66,-999.00,-999.00,-999.00,0,25.10,49.66,0.06475,109.92,19.3,111.57
0:37:27,2,0.99,115.1,12.00,13.64,0.11953,25.26,49.64,-999.00,-999.00,-999.00,0,25.26,49.64,0.06475,109.92,19.3,111.57
0:38:18,2,0.99,115.1,11.90,13.47,0.12144,25.62,49.54,-999.00,-999.00,-999.00,0,25.62,49.54,0.06475,109.92,19.3,111.57
0:39:08,2,0.99,115.1,11.80,13.35,0.12332,25.71,49.46,-999.00,-999.00,-999.00,0,25.71,49.46,0.06475,110.13,19.3,111.57
0:39:59,2,0.99,115.1,11.70,13.26,0.12520,25.76,49.31,-999.00,-999.00,-999.00,0,25.76,49.31,0.06475,110.13,19.4,111.57
0:40:10,2,0.99,115.1,11.70,13.27,0.12570,25.64,49.25,-999.00,-999.00,-999.00,0,25.64,49.25,0.06475,110.13,19.4,111.57
0:40:10,2,0.99,115.1,11.70,13.27,0.12570,25.64,49.25,-999.00,-999.00,-999.00,0,25.64,49.25,0.06475,110.13,19.4,111.57
0:40:10,2,0.99,115.1,11.70,13.27,0.12570,25.64,49.25,-999.00,-999.00,-999.00,0,25.64,49.25,0.06475,110.13,19.4,111.57
0:40:16,2,0.99,115.1,12.00,13.24,0.12582,25.70,49.20,-999.00,-999.00,-999.00,0,25.70,49.20,0.06475,110.13,19.4,111.57
0:40:16,2,0.99,115.1,12.00,13.24,0.12582,25.70,49.20,-999.00,-999.00,-999.00,0,25.70,49.20,0.06475,110.13,19.4,111.57
0:40:16,2,0.99,115.1,12.00,13.24,0.12582,25.70,49.20,-999.00,-999.00,-999.00,0,25.70,49.20,0.06475,110.13,19.4,111.57
0:41:06,2,0.99,115.1,11.70,13.31,0.12771,25.98,49.67,-999.00,-999.00,-999.00,0,25.98,49.67,0.06475,110.13,19.4,111.57
0:41:57,2,0.99,115.1,11.70,13.23,0.12958,25.70,49.68,-999.00,-999.00,-999.00,0,25.70,49.68,0.06475,110.13,19.4,111.57
0:42:47,2,0.99,115.1,11.60,13.18,0.13144,25.64,49.58,-999.00,-999.00,-999.00,0,25.64,49.58,0.06475,110.13,19.4,111.57
0:43:37,2,0.99,115.1,11.70,13.24,0.13329,25.42,49.39,-999.00,-999.00,-999.00,0,25.42,49.39,0.06475,110.13,19.4,111.57
0:44:27,2,0.99,115.1,11.40,12.97,0.13513,25.31,49.20,-999.00,-999.00,-999.00,0,25.31,49.20,0.06475,110.13,19.5,111.57
0:45:17,2,0.99,115.2,11.30,12.86,0.13695,25.05,48.95,-999.00,-999.00,-999.00,0,25.05,48.95,0.06475,110.13,19.5,111.57
0:46:08,2,0.99,115.2,11.30,12.78,0.13875,24.78,48.71,-999.00,-999.00,-999.00,0,24.78,48.71,0.06475,110.13,19.5,111.57
0:46:58,2,0.99,115.1,11.10,12.65,0.14055,24.44,48.54,-999.00,-999.00,-999.00,0,24.44,48.54,0.06475,110.13,19.6,111.57
0:47:48,2,0.99,115.1,11.10,12.58,0.14232,24.02,48.41,-999.00,-999.00,-999.00,0,24.02,48.41,0.06475,110.13,19.6,111.57
0:48:12,2,0.98,115.1,11.10,12.55,0.14315,23.92,48.38,-999.00,-999.00,-999.00,0,23.92,48.38,0.06475,110.13,19.6,111.57
0:48:12,2,0.98,115.1,11.10,12.55,0.14315,23.92,48.38,-999.00,-999.00,-999.00,0,23.92,48.38,0.06475,110.13,19.6,111.57
0:48:12,2,0.98,115.1,11.10,12.55,0.14315,23.92,48.38,-999.00,-999.00,-999.00,0,23.92,48.38,0.06475,110.13,19.6,111.57
0:48:18,2,0.99,115.1,11.40,12.52,0.14327,23.81,48.37,-999.00,-999.00,-999.00,0,23.81,48.37,0.06475,110.13,19.6,111.57
0:48:18,2,0.99,115.1,11.40,12.52,0.14327,23.81,48.37,-999.00,-999.00,-999.00,0,23.81,48.37,0.06475,110.13,19.6,111.57
0:48:18,2,0.99,115.1,11.40,12.52,0.14327,23.81,48.37,-999.00,-999.00,-999.00,0,23.81,48.37,0.06475,110.13,19.6,111.57
