TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:00,2,0.54,114.9,9.600,5.98,0.0000,-999.00,42.02,90.20,-999.00,-999.00,0.000000,41.46,39.04,45.55,90.0600,90.5500,90.5100,89.3500,89.8500,89.7000
0:00:50,2,0.53,114.9,9.700,5.96,0.0008,-999.00,41.99,90.20,-999.00,-999.00,0,41.42,39.01,45.54,90.0800,90.5500,90.5000,89.3500,89.8500,89.7000
0:01:41,2,0.54,114.9,9.700,5.97,0.0017,-999.00,42.00,90.20,-999.00,-999.00,0,41.45,39.01,45.54,90.0600,90.5500,90.5100,89.3500,89.8500,89.7000
0:02:31,2,0.54,114.9,9.700,5.97,0.0025,-999.00,41.99,90.18,-999.00,-999.00,0,41.43,39.01,45.54,90.0600,90.5300,90.4800,89.3400,89.8200,89.6700
0:03:21,2,0.54,114.9,9.700,5.97,0.0033,-999.00,41.99,90.21,-999.00,-999.00,0,41.42,39.01,45.54,90.0800,90.5800,90.5100,89.3500,89.8500,89.7100
0:04:12,2,0.54,114.9,9.700,5.97,0.0042,-999.00,42.00,90.19,-999.00,-999.00,0,41.43,39.02,45.54,90.0800,90.5600,90.5100,89.3500,89.8200,89.7000
0:05:02,2,0.54,114.9,9.600,5.97,0.0050,-999.00,42.01,90.21,-999.00,-999.00,0,41.46,39.04,45.54,90.0700,90.6000,90.5100,89.3500,89.8200,89.7100
0:05:52,2,0.54,114.9,9.600,5.97,0.0058,-999.00,42.03,90.22,-999.00,-999.00,0,41.46,39.07,45.56,90.0600,90.6000,90.5100,89.3500,89.8500,89.7100
0:06:42,2,0.54,114.9,9.700,5.98,0.0067,-999.00,42.03,90.21,-999.00,-999.00,0,41.46,39.07,45.57,90.0600,90.5900,90.5100,89.3500,89.8400,89.7100
0:07:32,2,0.54,114.9,9.600,5.97,0.0075,-999.00,42.02,90.21,-999.00,-999.00,0,41.46,39.05,45.54,90.0500,90.6000,90.4900,89.3500,89.8300,89.7000
0:08:23,2,0.54,114.9,9.700,5.98,0.0084,-999.00,42.03,90.22,-999.00,-999.00,0,41.46,39.07,45.55,90.0500,90.6000,90.4800,89.3500,89.8500,89.7000
0:09:13,2,0.54,114.9,9.600,5.94,0.0092,-999.00,42.03,90.21,-999.00,-999.00,0,41.46,39.07,45.55,90.0500,90.5800,90.4300,89.3400,89.8400,89.6900
0:10:03,2,0.54,114.9,9.600,5.97,0.0100,-999.00,42.03,90.20,-999.00,-999.00,0,41.46,39.06,45.56,90.0500,90.5800,90.4600,89.3400,89.8200,89.6800
0:10:53,2,0.54,114.9,9.600,5.95,0.0108,-999.00,42.02,90.21,-999.00,-999.00,0,41.46,39.07,45.54,90.0500,90.5700,90.4400,89.3500,89.8400,89.6900
0:11:44,2,0.54,114.9,9.600,5.97,0.0117,-999.00,42.01,90.21,-999.00,-999.00,0,41.45,39.05,45.54,90.0500,90.5600,90.4400,89.3700,89.8600,89.6900
0:12:34,2,0.54,114.9,9.700,5.97,0.0125,-999.00,41.98,90.20,-999.00,-999.00,0,41.42,39.02,45.50,90.0500,90.5500,90.4200,89.3700,89.8500,89.7000
0:13:24,2,0.54,114.9,9.600,5.98,0.0133,-999.00,42.03,90.19,-999.00,-999.00,0,41.46,39.07,45.56,90.0500,90.5300,90.4000,89.3600,89.8600,89.6700
0:14:15,2,0.53,114.9,9.700,5.95,0.0142,-999.00,42.02,90.19,-999.00,-999.00,0,41.45,39.06,45.54,90.0200,90.5400,90.4300,89.3900,89.8500,89.7000
0:15:05,2,0.54,114.9,9.700,5.97,0.0150,-999.00,42.02,90.18,-999.00,-999.00,0,41.44,39.05,45.56,90.0400,90.5200,90.3900,89.3600,89.8400,89.6500
0:15:55,2,0.54,114.9,9.600,5.94,0.0159,-999.00,42.01,90.18,-999.00,-999.00,0,41.44,39.05,45.55,90.0500,90.5200,90.3900,89.3500,89.8500,89.6500
0:16:45,2,0.54,114.9,9.600,5.97,0.0167,-999.00,42.03,90.18,-999.00,-999.00,0,41.46,39.07,45.57,90.0500,90.5200,90.3700,89.3500,89.8500,89.6800
0:17:35,2,0.55,114.9,9.800,6.19,0.0176,-999.00,42.03,90.19,-999.00,-999.00,0,41.45,39.07,45.56,90.0100,90.5200,90.3800,89.3700,89.8600,89.7000
0:18:26,2,0.55,114.9,9.700,6.17,0.0184,-999.00,41.98,90.21,-999.00,-999.00,0,41.41,39.01,45.52,90.0000,90.5300,90.3800,89.3800,89.8800,89.6700
0:19:16,2,0.55,115.0,9.700,6.11,0.0192,-999.00,42.01,90.20,-999.00,-999.00,0,41.43,39.04,45.55,90.0000,90.5300,90.3900,89.3900,89.8700,89.6700
0:20:06,2,0.55,115.0,9.700,6.10,0.0201,-999.00,41.98,90.18,-999.00,-999.00,0,41.41,39.01,45.51,90.0100,90.4900,90.3700,89.3700,89.8600,89.6600
0:20:56,2,0.55,114.9,9.700,6.11,0.0210,-999.00,42.00,90.19,-999.00,-999.00,0,41.42,39.03,45.55,90.0400,90.5100,90.3800,89.4000,89.8800,89.6900
0:21:47,2,0.55,114.9,9.700,6.11,0.0218,-999.00,41.98,90.19,-999.00,-999.00,0,41.40,39.01,45.53,90.0300,90.4800,90.3700,89.4200,89.9000,89.7000
0:22:38,2,0.55,114.8,9.700,6.10,0.0227,-999.00,41.99,90.20,-999.00,-999.00,0,41.42,39.02,45.52,90.0000,90.4800,90.3700,89.4100,89.9100,89.7000
0:23:28,2,0.55,114.9,9.700,6.09,0.0235,-999.00,41.96,90.21,-999.00,-999.00,0,41.40,38.99,45.49,90.0400,90.5200,90.4000,89.4100,89.9100,89.7000
0:24:18,2,0.55,114.8,9.700,6.07,0.0244,-999.00,41.98,90.22,-999.00,-999.00,0,41.40,39.01,45.53,90.0500,90.5300,90.4000,89.4100,89.9100,89.7000
0:25:08,2,0.54,114.8,9.700,6.06,0.0252,-999.00,41.98,90.25,-999.00,-999.00,0,41.40,39.01,45.54,90.0500,90.5500,90.4400,89.4200,89.9400,89.7000
0:25:58,2,0.55,114.8,9.700,6.08,0.0261,-999.00,41.98,90.24,-999.00,-999.00,0,41.40,39.00,45.53,90.0800,90.5500,90.4500,89.4100,89.9300,89.7000
0:26:49,2,0.55,114.9,9.700,6.08,0.0270,-999.00,41.98,90.24,-999.00,-999.00,0,41.40,39.01,45.54,90.0800,90.5500,90.4500,89.4100,89.9300,89.7200
0:27:39,2,0.54,114.8,9.700,6.05,0.0278,-999.00,41.98,90.24,-999.00,-999.00,0,41.40,39.01,45.54,90.0600,90.5500,90.4100,89.4100,89.9300,89.7000
0:28:29,2,0.54,114.8,9.700,6.05,0.0286,-999.00,41.97,90.25,-999.00,-999.00,0,41.40,38.99,45.52,90.0600,90.5500,90.4200,89.4200,89.9500,89.7200
0:29:20,2,0.55,114.8,9.700,6.08,0.0295,-999.00,41.97,90.24,-999.00,-999.00,0,41.39,38.99,45.52,90.0500,90.5500,90.4500,89.4100,89.9300,89.7200
