0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,1,0.00,115.3,0.00,0.00,0.26850,-999.0000,59.1400,90.07,-999.00,-999.00,0.000000,0.000000,0.000000,58.41,57.01,62.00,89.94,90.22,90.07,89.46,89.91,89.81
0:00:11,2,0.73,115.3,12.50,10.51,0.00039,-999.0000,59.1533,90.07,-999.00,-999.00,0,999.00,999.00,58.43,57.03,62.00,89.96,90.22,90.07,89.46,89.91,89.81
0:00:19,2,0.73,115.3,12.50,10.51,0.00039,-999.0000,59.1533,90.07,-999.00,-999.00,0,999.00,999.00,58.43,57.03,62.00,89.96,90.22,90.07,89.46,89.91,89.81
0:00:19,2,0.73,115.3,12.50,10.51,0.00039,-999.0000,59.1533,90.07,-999.00,-999.00,0,999.00,999.00,58.43,57.03,62.00,89.96,90.22,90.07,89.46,89.91,89.81
0:01:09,2,0.64,115.0,10.80,7.94,0.00164,-999.0000,59.1600,90.08,-999.00,-999.00,0,999.00,999.00,58.45,57.03,62.00,89.99,90.24,90.09,89.46,89.93,89.82
0:01:34,1,0.00,115.1,0,0,0.00220,-999.0000,59.1467,90.07,-999.00,-999.00,0,999.00,999.00,58.41,57.03,62.00,90.00,90.22,90.07,89.46,89.91,89.81
0:01:41,1,0.00,115.1,0,0,0.00220,-999.0000,59.1467,90.07,-999.00,-999.00,0,999.00,999.00,58.41,57.03,62.00,90.00,90.22,90.07,89.46,89.91,89.81
0:01:41,1,0.00,115.1,0,0,0.00220,-999.0000,59.1467,90.07,-999.00,-999.00,0,999.00,999.00,58.41,57.03,62.00,90.00,90.22,90.07,89.46,89.91,89.81
0:02:31,1,0.00,115.3,0,0,0.00220,-999.0000,59.1400,90.08,-999.00,-999.00,0,999.00,999.00,58.41,57.01,62.00,90.00,90.24,90.08,89.46,89.92,89.81
0:03:21,1,0.00,115.2,0,0,0.00220,-999.0000,59.1400,90.08,-999.00,-999.00,0,999.00,999.00,58.41,57.01,62.00,90.00,90.24,90.10,89.47,89.93,89.82
0:04:11,1,0.00,115.2,0,0,0.00220,-999.0000,59.1400,90.11,-999.00,-999.00,0,999.00,999.00,58.41,57.01,62.00,90.00,90.25,90.13,89.49,89.97,89.85
0:05:02,1,0.00,115.3,0,0,0.00220,-999.0000,59.1633,90.09,-999.00,-999.00,0,0.02,999.00,58.44,57.03,62.02,89.99,90.23,90.09,89.47,89.94,89.83
