0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:00,2,0.98,114.8,8.10,9.05,0.78525,1.0367,38.8067,90.34,-999.00,-999.00,0.000000,0.000000,0.000000,1.18,0.97,0.96,40.53,39.05,36.84,90.46,90.50,90.33,90.15,90.18,89.98
0:00:50,2,0.98,114.8,8.00,9.02,0.00127,1.0567,38.7567,90.32,-999.00,-999.00,0,999.00,999.00,1.07,1.07,1.03,40.51,39.00,36.76,90.46,90.50,90.33,90.15,90.15,89.95
0:01:40,2,0.98,114.8,8.00,9.00,0.00254,0.9900,38.6767,90.31,-999.00,-999.00,0,999.00,999.00,0.89,1.06,1.02,40.44,38.94,36.65,90.46,90.47,90.31,90.16,90.15,89.96
0:02:31,2,0.98,114.8,8.00,8.95,0.00380,0.9100,38.6033,90.29,-999.00,-999.00,0,999.00,999.00,0.69,1.05,0.99,40.39,38.88,36.54,90.45,90.44,90.28,90.17,90.15,89.93
0:03:21,2,0.98,114.8,8.00,8.92,0.00506,0.8067,38.5000,90.29,-999.00,-999.00,0,999.00,999.00,0.45,1.00,0.97,40.27,38.80,36.43,90.45,90.44,90.31,90.20,90.15,89.93
0:04:12,2,0.98,114.9,7.90,8.90,0.00632,0.6867,38.4333,90.25,-999.00,-999.00,0,999.00,999.00,0.21,0.92,0.93,40.25,38.72,36.33,90.46,90.42,90.28,90.20,90.09,89.93
0:05:02,2,0.98,114.9,7.90,8.86,0.00749,0.5500,38.3133,90.24,-999.00,-999.00,0,0.49,0.49,-0.04,0.86,0.83,40.15,38.61,36.18,90.44,90.39,90.27,90.19,90.09,89.93
0:05:52,2,0.98,114.9,7.90,8.86,0.00873,0.4333,38.2033,90.23,-999.00,-999.00,0,0.60,0.60,-0.27,0.78,0.79,40.07,38.51,36.03,90.44,90.37,90.27,90.17,90.09,89.88
0:06:42,2,0.98,114.9,7.90,8.81,0.00998,0.2833,38.0800,90.23,-999.00,-999.00,0,0.73,0.75,-0.56,0.70,0.71,39.96,38.40,35.88,90.38,90.37,90.21,90.15,90.08,89.90
