0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC18,TC19,TC20,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA1,FA2,FA3,FA4,FA5,FA1_B,FA2_B,FA3_B,FA4_B,FA5_B,Frzr Door Top,Frzr Door Mid,Frzr Door Bottom,RoomTemp,Humidity
0:00:00,1,0.35,114.8,0.40,0.16,0.00000,0.65,0.07,-999.00,-2.33,-999.00,0,-0.52,1.36,1.12,-0.06,1.37,-0.73,-0.97,-0.62,0.73,1.95,-4.28,-1.43,-1.28,89.97,19.9
0:00:50,1,0.35,114.8,0.40,0.16,0.00002,0.67,0.11,-999.00,-2.20,-999.00,0,-0.43,1.36,1.12,-0.03,1.35,-0.66,-0.89,-0.60,0.75,1.94,-4.01,-1.36,-1.24,89.97,19.9
0:01:40,1,0.35,114.8,0.40,0.16,0.00005,0.69,0.15,-999.00,-2.11,-999.00,0,-0.42,1.38,1.16,-0.01,1.34,-0.56,-0.84,-0.59,0.79,1.96,-3.80,-1.31,-1.22,89.97,19.9
0:02:30,1,0.35,114.7,0.40,0.16,0.00007,0.67,0.15,-999.00,-2.02,-999.00,0,-0.40,1.38,1.14,-0.05,1.29,-0.52,-0.80,-0.61,0.76,1.91,-3.58,-1.27,-1.21,89.97,19.9
0:03:20,1,0.35,114.7,0.40,0.16,0.00009,0.72,0.21,-999.00,-1.86,-999.00,0,-0.26,1.41,1.16,0.00,1.29,-0.42,-0.70,-0.57,0.80,1.95,-3.30,-1.17,-1.11,89.97,19.9
0:04:10,1,0.35,114.7,0.40,0.17,0.00011,0.73,0.24,-999.00,-1.74,-999.00,0,-0.22,1.42,1.16,0.01,1.27,-0.32,-0.64,-0.56,0.80,1.93,-3.05,-1.10,-1.06,89.97,19.9
0:05:00,1,0.36,114.8,0.40,0.17,0.00014,0.73,0.24,-999.00,-1.63,-999.00,0,-0.19,1.42,1.16,0.02,1.24,-0.25,-0.62,-0.58,0.77,1.90,-2.81,-1.06,-1.02,89.97,19.9
0:05:50,1,0.36,114.7,0.40,0.17,0.00016,0.75,0.31,-999.00,-1.50,-999.00,0,-0.11,1.42,1.16,0.05,1.22,-0.14,-0.51,-0.56,0.83,1.93,-2.54,-0.98,-0.98,89.97,19.8
0:06:41,1,0.35,114.7,0.40,0.17,0.00018,0.77,0.36,-999.00,-1.37,-999.00,0,-0.05,1.42,1.20,0.09,1.21,-0.04,-0.45,-0.55,0.85,1.97,-2.28,-0.91,-0.93,89.97,19.8
0:07:31,1,0.35,114.7,0.40,0.16,0.00021,0.79,0.38,-999.00,-1.25,-999.00,0,-0.01,1.42,1.22,0.11,1.21,0.02,-0.38,-0.55,0.89,1.94,-2.00,-0.86,-0.89,89.97,19.7
0:08:21,1,0.35,114.7,0.40,0.16,0.00023,0.82,0.43,-999.00,-1.11,-999.00,0,0.08,1.43,1.22,0.14,1.21,0.13,-0.31,-0.52,0.89,1.96,-1.74,-0.78,-0.81,89.97,19.7
0:09:12,1,0.36,114.8,0.40,0.17,0.00025,0.84,0.48,-999.00,-0.97,-999.00,0,0.15,1.44,1.22,0.16,1.21,0.22,-0.22,-0.49,0.93,1.97,-1.47,-0.67,-0.78,89.97,19.7
0:10:02,1,0.35,114.7,0.40,0.17,0.00028,0.86,0.52,-999.00,-0.83,-999.00,0,0.23,1.45,1.23,0.19,1.21,0.33,-0.16,-0.49,0.94,1.97,-1.20,-0.59,-0.69,90.17,19.7
