0:00:00,STATE,PFACTOR,RMDRY1,RMHUM1,RMSUPPT1,RMCOOLT1,RMDEHUMT1,RMHEATCTRL1,RMSTEAMCTRL1,RMCOOLCTRL1,RMDEHUMCTRL1,RMSTATUS1,DOORENABLE,VOLTSET1,VOLTSET2,VOLTSET3,VOLTSET4,VOLTSET5,VOLTSET6,VOLTSET7,VOLTSET8,GBLRMDRY1,GBLRMHUM1,GBLESTOP1,FREQ
0:00:00,State,Pwr Fac,RM1 Rm Dry1,RM1 Rm Hum1,RM1 Rm Supp T1,RM1 Rm Cool T1,RM1 Rm Dehum T1,RM1 Rm Heat Ctrl1,RM1 Rm Steam Valve1,RM1 Rm Cool Valve1,RM1 Rm Dehum Valve1,RM1 Rm Status1,RM3 Door Enable,RM1 Volt Set1,RM1 Volt Set2,RM1 Volt Set3,RM1 Volt Set4,RM1 Volt Set5,RM1 Volt Set6,RM1 Volt Set7,RM1 Volt Set8,RM1 Gbl Rm Dry1,RM1 Gbl Rm Hum1,RM1 Gbl Estop1,RM1-1 Frequency
0:00:00,0,0.00,90.20,29.54,87.94,64.90,60.40,55.28,0.00,35.87,7.23,0.00,1,115,115,115,115,115,115,115,115,90.20,29.5,0.00,60.00
0:01:00,0,0.00,90.20,29.54,87.76,64.90,60.13,55.95,0,35.85,6.73,0,1,115.20,115.11,114.90,115.25,115.27,114.95,114.77,115.12,90.20,29.5,0,60.01
0:02:00,0,0.00,90.20,29.54,88.12,64.90,60.13,54.35,0,35.84,6.75,0,1,115.10,115.06,114.96,115.22,115.09,114.95,114.84,115.19,90.20,29.5,0,60.00
0:03:00,0,0.00,90.20,29.54,87.49,64.90,60.13,56.69,0,35.82,6.78,0,1,115.20,115.09,114.96,115.18,115.16,114.99,114.75,115.21,90.20,29.5,0,60.00
0:04:00,0,0.00,90.20,29.54,87.49,64.63,60.13,56.64,0,35.38,6.80,0,1,115.04,115.11,114.85,115.12,115.10,114.92,114.65,115.17,90.20,29.5,0,59.98
0:05:01,0,0.00,90.20,29.54,87.31,65.26,60.40,57.33,0,36.34,7.42,0,1,115.03,115.03,114.89,115.10,115.07,114.94,115.32,115.29,90.20,29.5,0,59.99
0:06:01,0,0.00,90.20,29.54,87.76,65.26,60.13,55.38,0,36.38,6.90,0,1,115.14,115.27,115.00,115.22,115.21,115.04,114.83,115.33,90.20,29.5,0,60.02
0:07:01,0,0.00,90.20,29.44,87.49,65.26,60.13,56.29,0,36.41,6.93,0,1,115.25,115.30,115.11,114.74,115.15,114.93,114.79,115.33,90.20,29.4,0,60.02
0:08:01,0,0.00,90.20,29.44,87.31,64.99,60.13,56.86,0,36.02,6.95,0,1,114.78,115.16,115.06,114.75,115.19,115.00,114.85,115.15,90.20,29.4,0,60.02
0:09:01,0,0.00,90.20,29.44,87.49,64.99,60.13,56.19,0,36.02,6.97,0,1,114.74,115.24,115.12,114.82,115.21,114.95,114.83,115.20,90.20,29.4,0,60.02
0:10:01,0,0.00,90.20,29.44,87.49,65.26,60.13,56.09,0,36.46,6.99,0,1,114.77,115.24,115.05,114.84,115.23,115.01,114.84,114.98,90.20,29.4,0,60.03
0:11:02,0,0.00,90.20,29.44,87.58,65.26,60.13,55.83,0,36.06,7.02,0,1,114.58,115.10,115.03,114.79,115.18,115.00,114.81,114.97,90.20,29.4,0,60.00
0:12:02,0,0.00,90.20,29.44,87.76,65.26,60.13,54.98,0,36.51,7.04,0,1,115.51,115.10,114.95,114.79,115.18,114.94,114.78,114.72,90.20,29.4,0,59.98
0:13:02,0,0.00,90.40,29.34,87.13,64.99,60.13,55.73,0,36.12,7.07,0,1,115.25,115.07,114.99,114.81,115.27,115.01,114.84,114.73,90.40,29.3,0,60.01
0:14:02,0,0.00,90.40,29.34,87.13,65.44,60.13,55.46,0,36.82,7.09,0,1,114.81,115.12,115.13,114.83,115.29,115.05,114.83,114.82,90.40,29.3,0,60.01
