0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA1,CA1,Chute side,Chute back,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.74,115.2,1.320,0.30,0.0000,-2.42,34.34,-999.00,-999.00,-999.00,0,-2.42,34.34,64.86,64.49,0.09,90.20,29.1,41.21
0:00:31,1,0.29,115.1,0.890,0.30,0.0001,-2.49,34.43,-999.00,-999.00,-999.00,0,-2.49,34.43,65.02,64.44,0.07,90.20,29.1,41.21
0:01:01,1,0.29,115.1,0.900,1.12,0.0002,-2.54,34.51,-999.00,-999.00,-999.00,0,-2.54,34.51,65.08,64.48,0.09,90.20,29.0,41.21
0:01:31,1,0.83,115.1,1.590,1.12,0.0002,-2.59,34.58,-999.00,-999.00,-999.00,0,-2.59,34.58,65.10,64.39,0.07,90.20,29.0,41.21
0:02:01,1,0.74,115.1,1.330,0.30,0.0003,-2.64,34.64,-999.00,-999.00,-999.00,0,-2.64,34.64,65.15,64.22,0.09,90.20,29.0,41.21
0:02:32,1,0.74,115.2,1.320,0.30,0.0004,-2.67,34.67,-999.00,-999.00,-999.00,0,-2.67,34.67,65.11,64.32,0.09,90.40,29.0,41.21
0:03:02,1,0.29,115.2,0.890,0.30,0.0005,-2.72,34.72,-999.00,-999.00,-999.00,0,-2.72,34.72,65.16,64.25,0.09,90.40,29.0,41.21
0:03:33,1,0.29,115.2,1.600,1.12,0.0006,-2.78,34.78,-999.00,-999.00,-999.00,0,-2.78,34.78,65.21,64.34,0.09,90.40,29.0,41.21
0:04:03,1,0.83,115.2,1.600,1.13,0.0007,-2.79,34.85,-999.00,-999.00,-999.00,0,-2.79,34.85,65.24,64.17,0.07,90.40,29.0,41.21
0:04:34,1,0.74,115.2,1.320,0.29,0.0007,-2.83,34.91,-999.00,-999.00,-999.00,0,-2.83,34.91,65.30,64.29,0.09,90.40,29.0,41.21
0:05:04,1,0.74,115.2,1.320,0.30,0.0008,-2.83,34.94,-999.00,-999.00,-999.00,0,-2.83,34.94,65.31,64.30,0.09,90.40,29.0,41.21
0:05:34,1,0.29,115.2,0.890,0.30,0.0009,-2.85,35.00,-999.00,-999.00,-999.00,0,-2.85,35.00,65.35,64.17,0.09,90.40,29.0,41.21
0:06:04,1,0.83,115.2,1.600,1.12,0.0010,-2.84,35.05,-999.00,-999.00,-999.00,0,-2.84,35.05,65.37,64.27,0.09,90.40,29.0,41.21
0:06:35,1,0.83,115.2,1.460,1.12,0.0011,-2.84,35.12,-999.00,-999.00,-999.00,0,-2.84,35.12,65.40,64.19,0.07,90.40,29.0,41.21
0:07:05,1,0.74,115.2,1.320,0.30,0.0011,-2.84,35.16,-999.00,-999.00,-999.00,0,-2.84,35.16,65.45,64.19,0.09,90.40,29.0,41.21
0:07:35,1,0.74,115.2,1.100,0.30,0.0012,-2.85,35.21,-999.00,-999.00,-999.00,0,-2.85,35.21,65.47,64.19,0.07,90.40,29.0,41.21
0:08:05,1,0.29,115.2,0.890,0.30,0.0013,-2.84,35.27,-999.00,-999.00,-999.00,0,-2.84,35.27,65.51,64.12,0.09,90.40,29.0,41.21
0:08:36,1,0.83,115.2,1.590,1.12,0.0014,-2.84,35.30,-999.00,-999.00,-999.00,0,-2.84,35.30,65.56,64.16,0.09,90.40,29.0,41.21
0:09:06,1,0.74,115.2,1.320,1.12,0.0015,-2.79,35.38,-999.00,-999.00,-999.00,0,-2.79,35.38,65.60,64.10,0.09,90.40,29.0,41.21
0:09:36,1,0.74,114.8,1.320,0.30,0.0015,-2.79,35.41,-999.00,-999.00,-999.00,0,-2.79,35.41,65.65,64.29,0.09,90.40,29.0,41.21
0:10:07,1,0.29,115.0,0.890,0.29,0.0016,-2.76,35.46,-999.00,-999.00,-999.00,0,-2.76,35.46,65.67,64.36,0.07,90.40,29.0,41.21
0:10:37,1,0.29,115.0,0.890,1.12,0.0017,-2.72,35.54,-999.00,-999.00,-999.00,0,-2.72,35.54,65.67,64.33,0.07,90.40,29.1,41.21
0:11:07,1,0.83,115.0,1.600,1.12,0.0018,-2.68,35.60,-999.00,-999.00,-999.00,0,-2.68,35.60,65.72,64.46,0.07,90.40,29.1,41.21
0:11:38,1,0.74,115.0,1.320,0.30,0.0019,-2.65,35.66,-999.00,-999.00,-999.00,0,-2.65,35.66,65.73,64.44,0.09,90.40,29.1,41.21
0:12:08,1,0.74,115.0,1.330,0.30,0.0019,-2.65,35.68,-999.00,-999.00,-999.00,0,-2.65,35.68,65.72,64.52,0.07,90.40,29.3,41.21
0:12:38,1,0.29,115.0,0.900,0.30,0.0020,-2.59,35.75,-999.00,-999.00,-999.00,0,-2.59,35.75,65.80,64.43,0.07,90.40,29.3,41.21
0:13:09,1,0.29,115.0,0.890,1.12,0.0021,-2.54,35.82,-999.00,-999.00,-999.00,0,-2.54,35.82,65.82,64.46,0.09,90.40,29.3,41.21
0:13:39,1,0.83,115.0,1.600,1.52,0.0022,-2.48,35.88,-999.00,-999.00,-999.00,0,-2.48,35.88,65.81,64.37,0.07,90.40,29.3,41.21
0:14:09,1,0.74,115.0,1.320,1.12,0.0022,-2.43,35.93,-999.00,-999.00,-999.00,0,-2.43,35.93,65.89,64.48,0.07,90.40,29.3,41.21
0:14:39,1,0.74,115.0,1.320,0.30,0.0023,-2.40,35.99,-999.00,-999.00,-999.00,0,-2.40,35.99,65.94,64.48,0.07,90.40,29.3,41.21
0:15:10,1,0.28,115.0,0.890,0.29,0.0024,-2.35,36.02,-999.00,-999.00,-999.00,0,-2.35,36.02,65.95,64.55,0.07,90.40,29.3,41.21
0:15:40,1,0.30,115.0,1.600,1.12,0.0025,-2.24,36.12,-999.00,-999.00,-999.00,0,-2.24,36.12,66.02,64.53,0.07,90.40,29.3,41.21
0:16:10,1,0.83,115.0,1.460,1.12,0.0026,-2.21,36.15,-999.00,-999.00,-999.00,0,-2.21,36.15,66.01,64.60,0.09,90.40,29.3,41.21
0:16:41,1,0.74,115.0,1.320,0.29,0.0026,-2.15,36.24,-999.00,-999.00,-999.00,0,-2.15,36.24,66.07,64.63,0.09,90.40,29.3,41.21
0:17:11,1,0.74,115.0,1.100,0.29,0.0027,-2.10,36.26,-999.00,-999.00,-999.00,0,-2.10,36.26,66.08,64.81,0.07,90.40,29.3,41.21
0:17:42,1,0.29,115.0,0.900,0.30,0.0028,-2.02,36.34,-999.00,-999.00,-999.00,0,-2.02,36.34,66.17,64.81,0.07,90.40,29.3,41.21
0:18:12,1,0.83,115.0,1.600,1.12,0.0029,-1.96,36.40,-999.00,-999.00,-999.00,0,-1.96,36.40,66.21,64.85,0.07,90.40,29.3,41.21
0:18:42,1,0.83,115.0,1.460,1.12,0.0029,-1.86,36.43,-999.00,-999.00,-999.00,0,-1.86,36.43,66.26,64.80,0.09,90.40,29.3,41.21
0:19:12,1,0.74,115.0,1.320,1.12,0.0030,-1.80,36.48,-999.00,-999.00,-999.00,0,-1.80,36.48,66.28,64.81,0.07,90.40,29.3,41.21
0:19:43,1,0.29,115.0,0.890,0.30,0.0031,-1.76,36.54,-999.00,-999.00,-999.00,0,-1.76,36.54,66.28,64.80,0.07,90.40,29.4,41.21
0:20:13,1,0.29,114.9,0.890,1.12,0.0032,-1.65,36.59,-999.00,-999.00,-999.00,0,-1.65,36.59,66.31,64.76,0.09,90.40,29.4,41.21
0:20:44,1,0.83,114.9,1.590,1.12,0.0033,-1.58,36.66,-999.00,-999.00,-999.00,0,-1.58,36.66,66.37,64.88,0.09,90.40,29.4,41.21
0:21:14,1,0.74,114.9,1.320,1.12,0.0033,-1.48,36.74,-999.00,-999.00,-999.00,0,-1.48,36.74,66.42,64.97,0.07,90.40,29.4,41.21
0:21:44,1,0.74,114.9,1.320,1.12,0.0034,-1.41,36.81,-999.00,-999.00,-999.00,0,-1.41,36.81,66.45,65.06,0.09,90.40,29.4,41.21
0:22:15,1,0.29,114.9,0.890,0.29,0.0035,-1.33,36.87,-999.00,-999.00,-999.00,0,-1.33,36.87,66.49,65.09,0.07,90.40,29.5,41.21
0:22:45,1,0.29,114.9,0.890,0.30,0.0036,-1.28,36.88,-999.00,-999.00,-999.00,0,-1.28,36.88,66.38,65.05,0.07,90.19,29.5,41.21
0:23:16,1,0.83,114.9,1.600,1.12,0.0036,-1.15,36.96,-999.00,-999.00,-999.00,0,-1.15,36.96,66.48,65.07,0.09,90.19,29.5,41.21
0:23:46,1,0.74,114.9,1.310,0.30,0.0037,-1.08,37.02,-999.00,-999.00,-999.00,0,-1.08,37.02,66.53,64.93,0.09,90.19,29.5,41.21
0:24:17,1,0.74,115.0,1.310,0.30,0.0038,-0.99,37.07,-999.00,-999.00,-999.00,0,-0.99,37.07,66.56,65.03,0.07,90.19,29.5,41.21
0:24:47,1,0.29,115.0,0.890,0.30,0.0039,-0.90,37.16,-999.00,-999.00,-999.00,0,-0.90,37.16,66.63,65.04,0.09,90.19,29.5,41.21
0:25:17,1,0.29,115.1,0.890,0.29,0.0040,-0.83,37.18,-999.00,-999.00,-999.00,0,-0.83,37.18,66.61,65.07,0.09,90.19,29.5,41.21
0:25:47,1,0.83,115.1,1.590,1.12,0.0040,-0.74,37.27,-999.00,-999.00,-999.00,0,-0.74,37.27,66.69,65.11,0.09,90.19,29.5,41.21
0:26:02,2,0.98,114.8,11.640,13.07,0.0044,-0.66,37.29,-999.00,-999.00,-999.00,0,-0.66,37.29,66.64,65.22,0.11,90.19,29.5,41.21
0:26:11,2,0.98,114.8,11.640,13.07,0.0045,-0.66,37.29,-999.00,-999.00,-999.00,0,-0.66,37.29,66.64,65.22,0.11,90.19,29.5,41.21
0:26:11,2,0.98,114.8,11.640,13.07,0.0045,-0.66,37.29,-999.00,-999.00,-999.00,0,-0.66,37.29,66.64,65.22,0.11,90.19,29.5,41.21
0:26:41,2,0.98,115.1,11.680,14.07,0.0057,-0.50,37.30,-999.00,-999.00,-999.00,0,-0.50,37.30,66.50,65.46,0.12,90.00,29.6,41.21
0:27:12,2,0.98,115.2,12.120,13.43,0.0069,-0.36,37.36,-999.00,-999.00,-999.00,0,-0.36,37.36,66.49,65.90,0.12,90.00,29.6,41.21
0:27:42,2,0.98,115.2,11.330,12.00,0.0079,-0.31,37.36,-999.00,-999.00,-999.00,0,-0.31,37.36,66.47,66.09,0.12,90.00,29.6,41.21
0:28:12,2,0.98,115.3,11.210,11.79,0.0090,-0.25,37.36,-999.00,-999.00,-999.00,0,-0.25,37.36,66.37,66.19,0.11,90.00,29.6,41.21
0:28:42,2,0.98,115.2,10.430,11.73,0.0100,-0.25,37.41,-999.00,-999.00,-999.00,0,-0.25,37.41,66.23,66.23,0.11,90.00,29.7,41.21
0:29:12,2,0.98,115.2,11.470,12.57,0.0111,-0.25,37.41,-999.00,-999.00,-999.00,0,-0.25,37.41,66.07,66.25,0.12,89.80,29.7,41.21
0:29:43,2,0.98,115.2,11.240,12.49,0.0120,-0.22,37.41,-999.00,-999.00,-999.00,0,-0.22,37.41,66.01,66.31,0.12,89.80,29.7,41.21
0:30:13,2,0.98,115.2,11.120,12.54,0.0131,-0.25,37.41,-999.00,-999.00,-999.00,0,-0.25,37.41,65.92,66.31,0.12,89.80,29.7,41.21
0:30:43,2,0.98,115.3,11.090,11.64,0.0141,-0.30,37.41,-999.00,-999.00,-999.00,0,-0.30,37.41,65.82,66.31,0.11,89.80,29.7,41.21
0:31:14,2,0.98,115.2,10.360,12.89,0.0152,-0.30,37.41,-999.00,-999.00,-999.00,0,-0.30,37.41,65.82,66.39,0.11,89.80,29.7,41.21
0:31:45,2,0.98,115.2,11.410,12.89,0.0162,-0.36,37.41,-999.00,-999.00,-999.00,0,-0.36,37.41,65.80,66.39,0.11,89.80,29.7,41.21
0:32:15,2,0.98,115.2,11.200,12.43,0.0173,-0.42,37.41,-999.00,-999.00,-999.00,0,-0.42,37.41,65.79,66.41,0.12,89.80,29.7,41.21
0:32:45,2,0.98,115.2,11.060,11.61,0.0182,-0.46,37.41,-999.00,-999.00,-999.00,0,-0.46,37.41,65.68,66.47,0.12,89.80,29.6,41.21
0:33:16,2,0.98,115.2,10.330,11.61,0.0193,-0.53,37.37,-999.00,-999.00,-999.00,0,-0.53,37.37,65.67,66.45,0.12,89.80,29.6,41.21
0:33:46,2,0.98,115.2,10.320,11.60,0.0204,-0.62,37.41,-999.00,-999.00,-999.00,0,-0.62,37.41,65.65,66.46,0.11,89.80,29.6,41.21
0:34:16,2,0.98,115.2,11.320,12.39,0.0214,-0.71,37.36,-999.00,-999.00,-999.00,0,-0.71,37.36,65.65,66.45,0.12,90.00,29.6,41.21
0:34:46,2,0.98,115.2,10.950,12.36,0.0225,-0.78,37.36,-999.00,-999.00,-999.00,0,-0.78,37.36,65.60,66.48,0.12,90.00,29.6,41.21
0:35:16,2,0.98,115.2,10.950,11.54,0.0234,-0.90,37.36,-999.00,-999.00,-999.00,0,-0.90,37.36,65.58,66.45,0.12,90.00,29.6,41.21
0:35:47,2,0.98,115.2,10.260,12.76,0.0245,-0.96,37.33,-999.00,-999.00,-999.00,0,-0.96,37.33,65.51,66.42,0.11,90.00,29.6,41.21
0:36:17,2,0.98,115.2,10.250,12.35,0.0255,-1.11,37.30,-999.00,-999.00,-999.00,0,-1.11,37.30,65.46,66.41,0.12,90.00,29.6,41.21
0:36:47,2,0.98,115.3,11.290,12.31,0.0264,-1.18,37.30,-999.00,-999.00,-999.00,0,-1.18,37.30,65.45,66.42,0.12,90.00,29.6,41.21
0:37:18,2,0.98,115.2,10.910,12.30,0.0275,-1.32,37.29,-999.00,-999.00,-999.00,0,-1.32,37.29,65.44,66.40,0.12,90.00,29.6,41.21
0:37:48,2,0.98,115.2,10.890,11.45,0.0285,-1.40,37.28,-999.00,-999.00,-999.00,0,-1.40,37.28,65.43,66.42,0.12,90.00,29.5,41.21
0:38:19,2,0.98,115.2,10.190,11.46,0.0296,-1.49,37.28,-999.00,-999.00,-999.00,0,-1.49,37.28,65.43,66.45,0.12,90.00,29.5,41.21
0:38:49,2,0.98,115.2,10.180,12.25,0.0306,-1.59,37.22,-999.00,-999.00,-999.00,0,-1.59,37.22,65.29,66.45,0.12,90.00,29.5,41.21
0:39:20,2,0.98,115.2,11.240,12.25,0.0316,-1.73,37.20,-999.00,-999.00,-999.00,0,-1.73,37.20,65.29,66.39,0.12,90.00,29.5,41.21
0:39:50,2,0.98,115.2,10.810,11.45,0.0327,-1.84,37.17,-999.00,-999.00,-999.00,0,-1.84,37.17,65.29,66.44,0.11,90.00,29.5,41.21
0:40:08,1,0.25,115.2,1.690,0.47,0.0335,-1.95,37.16,-999.00,-999.00,-999.00,0,-1.95,37.16,65.21,66.36,0.12,90.00,29.5,41.21
0:40:14,1,0.24,115.2,1.690,0.47,0.0335,-1.95,37.16,-999.00,-999.00,-999.00,0,-1.95,37.16,65.21,66.36,0.12,90.00,29.5,41.21
0:40:14,1,0.24,115.2,1.690,0.47,0.0335,-1.95,37.16,-999.00,-999.00,-999.00,0,-1.95,37.16,65.21,66.36,0.12,90.00,29.5,41.21
0:40:45,1,0.67,115.0,2.230,1.31,0.0336,-2.04,37.15,-999.00,-999.00,-999.00,0,-2.04,37.15,65.19,66.31,0.09,90.00,29.5,41.21
0:41:15,1,0.56,115.0,2.010,1.30,0.0337,-2.14,37.17,-999.00,-999.00,-999.00,0,-2.14,37.17,65.10,66.31,0.09,90.00,29.5,41.21
0:41:46,1,0.56,115.0,2.020,0.49,0.0338,-2.20,37.12,-999.00,-999.00,-999.00,0,-2.20,37.12,65.10,66.36,0.09,90.00,29.5,41.21
0:42:16,1,0.56,114.9,1.850,0.48,0.0339,-2.22,37.11,-999.00,-999.00,-999.00,0,-2.22,37.11,65.10,66.34,0.07,90.00,29.5,41.21
0:42:47,1,0.25,115.1,1.700,1.31,0.0340,-2.21,37.03,-999.00,-999.00,-999.00,0,-2.21,37.03,65.07,66.25,0.07,90.00,29.5,41.21
0:43:17,1,0.67,115.1,2.230,1.31,0.0340,-2.18,36.97,-999.00,-999.00,-999.00,0,-2.18,36.97,65.04,66.26,0.07,90.00,29.6,41.21
0:43:48,1,0.56,115.0,2.010,1.31,0.0341,-2.10,36.99,-999.00,-999.00,-999.00,0,-2.10,36.99,65.04,66.23,0.07,90.00,29.6,41.21
0:44:18,1,0.56,115.0,2.010,0.48,0.0342,-2.04,36.97,-999.00,-999.00,-999.00,0,-2.04,36.97,65.02,66.23,0.09,90.00,29.6,41.21
0:44:48,1,0.25,115.0,1.700,0.49,0.0343,-1.98,36.95,-999.00,-999.00,-999.00,0,-1.98,36.95,64.99,66.20,0.07,90.00,29.6,41.21
0:45:18,1,0.25,115.0,1.700,1.31,0.0344,-1.85,36.95,-999.00,-999.00,-999.00,0,-1.85,36.95,64.94,66.17,0.07,90.00,29.6,41.21
0:45:49,1,0.67,115.0,2.230,1.31,0.0345,-1.77,36.95,-999.00,-999.00,-999.00,0,-1.77,36.95,64.93,66.24,0.09,90.00,29.6,41.21
0:46:19,1,0.56,115.1,2.010,0.49,0.0346,-1.61,36.91,-999.00,-999.00,-999.00,0,-1.61,36.91,64.88,66.23,0.09,90.00,29.6,41.21
0:46:49,1,0.56,115.1,2.020,0.48,0.0347,-1.49,36.89,-999.00,-999.00,-999.00,0,-1.49,36.89,64.95,66.24,0.09,90.00,29.6,41.21
0:47:20,1,0.25,115.0,1.700,1.71,0.0348,-1.38,36.84,-999.00,-999.00,-999.00,0,-1.38,36.84,64.95,66.24,0.07,90.00,29.6,41.21
0:47:50,1,0.25,115.0,1.700,1.31,0.0349,-1.19,36.84,-999.00,-999.00,-999.00,0,-1.19,36.84,64.84,66.17,0.09,90.00,29.6,41.21
0:48:20,1,0.67,115.1,2.230,1.31,0.0350,-1.03,36.81,-999.00,-999.00,-999.00,0,-1.03,36.81,64.83,66.17,0.07,90.00,29.6,41.21
0:48:50,1,0.56,115.1,2.020,0.49,0.0351,-0.86,36.76,-999.00,-999.00,-999.00,0,-0.86,36.76,64.83,66.17,0.09,90.00,29.6,41.21
0:49:21,1,0.56,115.1,2.020,0.49,0.0352,-0.71,36.76,-999.00,-999.00,-999.00,0,-0.71,36.76,64.77,66.05,0.07,90.00,29.6,41.21
0:49:51,1,0.25,115.0,1.700,0.49,0.0353,-0.52,36.73,-999.00,-999.00,-999.00,0,-0.52,36.73,64.78,66.03,0.09,90.00,29.6,41.21
0:50:21,1,0.25,115.1,1.700,1.31,0.0354,-0.31,36.69,-999.00,-999.00,-999.00,0,-0.31,36.69,64.77,66.03,0.09,90.00,29.6,41.21
0:50:52,1,0.64,115.2,2.140,0.49,0.0354,-0.13,36.69,-999.00,-999.00,-999.00,0,-0.13,36.69,64.80,66.03,0.09,90.00,29.6,41.21
0:51:22,1,0.57,115.2,2.020,0.49,0.0355,0.10,36.67,-999.00,-999.00,-999.00,0,0.10,36.67,64.74,66.01,0.09,90.00,29.6,41.21
0:51:52,1,0.25,114.9,1.700,0.49,0.0356,0.31,36.66,-999.00,-999.00,-999.00,0,0.31,36.66,64.73,66.01,0.07,90.00,29.6,41.21
