0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,HREF,LREF,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC,FF,FC door bin,FF door bin,Setra Pressure 0-500,Setra Pressure -14.7 to 200,RoomTemp,Humidity
0:00:00,1,0.84,114.8,1.580,1.21,0.0000,-4.84,32.32,-999.00,-999.00,-999.00,0,-4.84,32.32,-2.81,37.18,-10.0000,-18.9511,90.00,29.1,-10.0000
0:00:11,1,0.77,114.8,1.360,0.29,0.0000,-4.84,32.35,-999.00,-999.00,-999.00,0,-4.84,32.35,-2.56,37.19,-10.0000,-18.9940,90.00,29.1,-10.0000
0:00:21,1,0.29,114.8,0.870,0.29,0.0000,-4.84,32.33,-999.00,-999.00,-999.00,0,-4.84,32.33,-2.39,37.23,-10.0000,-18.9940,90.00,29.1,-10.0000
0:00:31,1,0.83,114.8,1.570,0.30,0.0001,-4.66,32.32,-999.00,-999.00,-999.00,0,-4.66,32.32,-2.22,37.25,-10.0000,-18.9511,90.00,29.1,-10.0000
0:00:41,1,0.77,114.8,1.360,1.21,0.0001,-4.67,32.35,-999.00,-999.00,-999.00,0,-4.67,32.35,-2.10,37.26,-10.0000,-18.9940,90.00,29.1,-10.0000
0:00:51,1,0.84,114.7,1.590,1.21,0.0001,-4.65,32.35,-999.00,-999.00,-999.00,0,-4.65,32.35,-1.96,37.30,-9.9000,-18.9940,90.00,29.1,-9.9000
0:01:01,1,0.77,114.7,1.360,0.29,0.0002,-4.67,32.37,-999.00,-999.00,-999.00,0,-4.67,32.37,-1.86,37.32,-10.0000,-18.9940,90.00,29.1,-10.0000
0:01:11,1,0.29,114.7,0.870,1.52,0.0002,-4.72,32.37,-999.00,-999.00,-999.00,0,-4.72,32.37,-1.76,37.38,-9.9000,-18.9511,90.00,29.2,-9.9000
0:01:21,1,0.84,114.7,1.480,1.21,0.0002,-4.67,32.38,-999.00,-999.00,-999.00,0,-4.67,32.38,-1.65,37.43,-10.0000,-18.9940,90.00,29.2,-10.0000
0:01:32,1,0.77,114.7,1.360,0.29,0.0002,-4.69,32.39,-999.00,-999.00,-999.00,0,-4.69,32.39,-1.54,37.45,-10.0000,-18.9940,90.00,29.2,-10.0000
0:01:42,1,0.84,114.7,1.580,1.21,0.0003,-4.73,32.39,-999.00,-999.00,-999.00,0,-4.73,32.39,-1.44,37.47,-10.0000,-18.9940,90.00,29.2,-10.0000
0:01:52,1,0.77,114.8,1.360,0.29,0.0003,-4.75,32.40,-999.00,-999.00,-999.00,0,-4.75,32.40,-1.39,37.50,-10.0000,-18.9940,90.00,29.2,-10.0000
0:02:02,1,0.29,115.0,0.870,0.29,0.0003,-4.73,32.40,-999.00,-999.00,-999.00,0,-4.73,32.40,-1.31,37.52,-10.0000,-18.9940,90.00,29.2,-10.0000
0:02:13,1,0.84,115.0,1.480,1.24,0.0003,-4.68,32.42,-999.00,-999.00,-999.00,0,-4.68,32.42,-1.21,37.58,-10.0000,-18.9940,90.00,29.2,-10.0000
0:02:23,1,0.77,115.0,1.360,0.29,0.0004,-4.70,32.45,-999.00,-999.00,-999.00,0,-4.70,32.45,-1.12,37.59,-10.0000,-18.9940,90.00,29.2,-10.0000
0:02:33,1,0.29,115.0,1.590,1.21,0.0004,-4.69,32.46,-999.00,-999.00,-999.00,0,-4.69,32.46,-1.04,37.60,-10.0000,-18.9940,90.00,29.2,-10.0000
0:02:43,1,0.77,115.0,1.370,0.29,0.0004,-4.66,32.46,-999.00,-999.00,-999.00,0,-4.66,32.46,-0.92,37.63,-10.0000,-18.9940,90.00,29.3,-10.0000
0:02:53,1,0.29,115.0,0.870,0.29,0.0005,-4.68,32.46,-999.00,-999.00,-999.00,0,-4.68,32.46,-0.87,37.66,-10.0000,-18.9940,90.00,29.3,-10.0000
0:03:03,1,0.84,115.0,1.580,1.21,0.0005,-4.65,32.51,-999.00,-999.00,-999.00,0,-4.65,32.51,-0.77,37.66,-10.0000,-18.9940,90.00,29.3,-10.0000
