0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC8,TC10,TC11,TC12,TC13,TC14,TC15,TC18,TC19,TC20,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA1 Block,FA2 Block,FA3 Block,FD Top Block,FD Bottom Block,Cab Air 1  Jar,Cab Air 2  Jar,Cab Air 3  Jar,Crisper Left  Jar,Crisper Right  Jar,Cab Dr Top  Jar,Cab Dr Mid  Jar,Cab Dr Bottom  Jar,RoomTemp,Humidity
0:00:00,2,0.98,115.0,7.740,8.68,0.0000,-1.23,32.85,-999.00,-999.00,35.58,0,-2.79,-0.78,-0.11,2.08,-0.48,32.90,32.65,33.01,37.63,38.46,35.40,34.52,36.81,90.40,28.8
0:00:50,2,0.98,114.9,7.720,8.66,0.0012,-1.31,32.83,-999.00,-999.00,35.58,0,-2.92,-0.85,-0.17,1.94,-0.60,32.87,32.64,32.98,37.63,38.46,35.40,34.52,36.81,90.40,28.8
0:01:41,2,0.98,115.0,7.710,8.65,0.0024,-1.37,32.82,-999.00,-999.00,35.58,0,-3.02,-0.88,-0.22,1.84,-0.68,32.87,32.62,32.98,37.63,38.46,35.40,34.52,36.81,90.40,28.8
0:02:31,2,0.98,115.0,7.690,8.63,0.0036,-1.44,32.82,-999.00,-999.00,35.58,0,-3.09,-0.96,-0.28,1.76,-0.74,32.87,32.62,32.98,37.63,38.46,35.40,34.52,36.81,90.40,28.8
0:03:21,2,0.98,115.0,7.690,8.62,0.0048,-1.51,32.80,-999.00,-999.00,35.56,0,-3.19,-1.02,-0.33,1.67,-0.81,32.84,32.62,32.93,37.63,38.46,35.40,34.47,36.81,90.40,28.9
0:04:11,2,0.98,114.9,7.680,8.61,0.0060,-1.57,32.77,-999.00,-999.00,35.56,0,-3.29,-1.05,-0.36,1.56,-0.89,32.82,32.57,32.93,37.63,38.46,35.40,34.47,36.81,90.19,28.9
0:05:02,2,0.98,115.0,7.650,8.58,0.0072,-1.65,32.77,-999.00,-999.00,35.56,0,-3.38,-1.15,-0.41,1.48,-0.98,32.82,32.57,32.93,37.63,38.46,35.40,34.46,36.81,90.19,29.0
0:05:52,2,0.98,114.9,7.630,8.56,0.0084,-1.71,32.75,-999.00,-999.00,35.54,0,-3.47,-1.20,-0.47,1.36,-1.01,32.79,32.57,32.89,37.64,38.46,35.36,34.46,36.80,90.19,29.0
0:06:42,2,0.98,115.0,7.640,8.57,0.0096,-1.78,32.73,-999.00,-999.00,35.53,0,-3.57,-1.24,-0.52,1.24,-1.12,32.78,32.54,32.87,37.64,38.46,35.34,34.43,36.81,90.19,29.0
0:07:32,2,0.98,115.0,7.630,8.56,0.0108,-1.84,32.72,-999.00,-999.00,35.52,0,-3.66,-1.30,-0.55,1.16,-1.16,32.77,32.52,32.87,37.64,38.46,35.34,34.42,36.81,90.19,29.0
0:08:22,2,0.98,114.9,7.620,8.54,0.0120,-1.92,32.71,-999.00,-999.00,35.53,0,-3.76,-1.40,-0.61,1.05,-1.26,32.75,32.52,32.85,37.65,38.46,35.35,34.42,36.82,90.19,29.0
0:09:13,2,0.97,115.0,7.620,8.54,0.0132,-1.97,32.69,-999.00,-999.00,35.51,0,-3.82,-1.44,-0.66,0.93,-1.36,32.74,32.51,32.81,37.63,38.46,35.31,34.40,36.81,90.00,29.0
0:10:04,2,0.98,115.0,7.600,8.53,0.0144,-2.04,32.68,-999.00,-999.00,35.49,0,-3.89,-1.49,-0.73,0.90,-1.38,32.74,32.49,32.80,37.64,38.46,35.30,34.39,36.77,90.00,29.0
0:10:54,2,0.98,115.0,7.590,8.51,0.0156,-2.12,32.68,-999.00,-999.00,35.51,0,-3.98,-1.58,-0.80,0.77,-1.47,32.72,32.50,32.83,37.65,38.49,35.32,34.40,36.81,90.00,29.0
0:11:44,2,0.98,115.0,7.570,8.49,0.0167,-2.20,32.67,-999.00,-999.00,35.51,0,-4.08,-1.66,-0.85,0.70,-1.56,32.73,32.49,32.78,37.66,38.50,35.33,34.40,36.80,90.00,29.0
