0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC8,TC10,TC11,TC12,TC13,TC14,TC15,TC18,TC19,TC20,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FA1 Block,FA2 Block,FA3 Block,FD Top Block,FD Bottom Block,Cab Air 1  Jar,Cab Air 2  Jar,Cab Air 3  Jar,Crisper Left  Jar,Crisper Right  Jar,Cab Dr Top  Jar,Cab Dr Mid  Jar,Cab Dr Bottom  Jar,RoomTemp,Humidity
0:00:00,2,0.97,115.0,7.540,8.43,0.0000,-1.68,32.17,-999.00,-999.00,34.66,0,-3.57,-0.87,-0.61,2.94,-1.02,32.35,31.73,32.42,36.46,37.95,34.75,33.72,35.52,90.40,28.8,28.8
0:00:50,2,0.97,115.0,7.540,8.44,0.0012,-1.73,32.14,-999.00,-999.00,34.63,0,-3.63,-0.94,-0.62,2.82,-1.09,32.35,31.69,32.38,36.44,37.95,34.72,33.71,35.47,90.40,28.8,28.8
0:01:40,2,0.97,115.0,7.530,8.42,0.0023,-1.82,32.10,-999.00,-999.00,34.60,0,-3.75,-1.00,-0.70,2.72,-1.18,32.32,31.65,32.33,36.44,37.95,34.70,33.66,35.45,90.40,28.8,28.8
0:02:30,2,0.97,115.0,7.520,8.41,0.0036,-1.91,32.08,-999.00,-999.00,34.59,0,-3.85,-1.07,-0.81,2.59,-1.33,32.27,31.64,32.32,36.42,37.95,34.71,33.64,35.41,90.40,28.8,28.8
0:03:20,2,0.97,114.9,7.520,8.40,0.0047,-1.97,32.11,-999.00,-999.00,34.60,0,-3.93,-1.13,-0.84,2.50,-1.36,32.27,31.68,32.37,36.45,37.95,34.72,33.65,35.44,90.40,28.9,28.9
0:04:11,2,0.97,114.9,7.500,8.38,0.0059,-2.06,32.04,-999.00,-999.00,34.55,0,-4.03,-1.22,-0.93,2.36,-1.50,32.21,31.61,32.30,36.39,37.93,34.65,33.60,35.39,90.19,28.9,28.9
0:05:01,2,0.97,114.9,7.490,8.37,0.0071,-2.09,32.06,-999.00,-999.00,34.58,0,-4.08,-1.22,-0.96,2.27,-1.55,32.21,31.64,32.32,36.44,37.95,34.70,33.60,35.45,90.19,29.0,29.0
0:05:51,2,0.97,114.9,7.490,8.37,0.0082,-2.20,32.01,-999.00,-999.00,34.53,0,-4.19,-1.37,-1.05,2.12,-1.67,32.18,31.58,32.26,36.40,37.94,34.63,33.57,35.38,90.19,29.0,29.0
0:06:42,2,0.97,114.9,7.490,8.37,0.0094,-2.24,31.99,-999.00,-999.00,34.52,0,-4.24,-1.39,-1.08,2.04,-1.76,32.13,31.57,32.26,36.41,37.92,34.63,33.54,35.39,90.19,29.0,29.0
0:07:32,2,0.97,114.9,7.490,8.36,0.0105,-2.33,31.97,-999.00,-999.00,34.52,0,-4.34,-1.47,-1.18,1.96,-1.84,32.13,31.55,32.23,36.43,37.92,34.63,33.53,35.39,90.19,29.0,29.0
