0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC4,TC5,TC6,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FC4,FC5,FC6,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:01,2,0.58,115.1,8.660,5.79,0.0098,-3.6767,43.1767,90.06,-999.00,-999.00,0.000000,0.000000,0.000000,-2.33,-3.07,-3.30,-3.54,-5.25,-4.57,46.15,40.27,43.11,89.78,90.17,90.17,90.40,89.94,90.00
0:00:50,2,0.58,115.1,8.910,5.94,0.0008,-3.5600,42.9033,90.06,-999.00,-999.00,0,999.00,999.00,-2.21,-2.90,-3.09,-3.52,-5.16,-4.48,45.85,40.09,42.77,89.80,90.21,90.13,90.40,89.91,89.99
0:01:40,2,0.58,115.0,9.020,5.97,0.0016,-3.3817,42.5600,90.07,-999.00,-999.00,0,999.00,999.00,-2.03,-2.69,-2.84,-3.40,-5.01,-4.32,45.45,39.80,42.43,89.81,90.20,90.17,90.47,89.93,90.00
0:02:30,2,0.58,115.0,9.070,6.06,0.0025,-3.2017,42.2467,90.02,-999.00,-999.00,0,999.00,999.00,-1.82,-2.50,-2.55,-3.30,-4.88,-4.16,45.11,39.53,42.10,89.84,90.17,90.15,90.46,89.88,89.99
0:03:21,2,0.58,115.1,9.110,6.08,0.0034,-3.0117,42.0700,90.04,-999.00,-999.00,0,999.00,999.00,-1.62,-2.28,-2.23,-3.22,-4.70,-4.02,44.94,39.34,41.93,89.86,90.19,90.17,90.46,89.89,90.00
0:04:11,2,0.58,115.0,9.180,6.11,0.0042,-2.8200,41.9600,90.07,-999.00,-999.00,0,999.00,999.00,-1.42,-2.06,-1.94,-3.11,-4.53,-3.86,44.85,39.24,41.79,89.91,90.22,90.20,90.41,89.93,90.00
0:05:00,2,0.58,115.0,9.190,6.12,0.0051,-2.6317,41.8267,90.07,-999.00,-999.00,0,1.35,1.04,-1.20,-1.84,-1.67,-3.02,-4.37,-3.69,44.75,39.07,41.66,89.92,90.23,90.20,90.46,89.91,90.03
0:05:52,2,0.58,115.0,9.210,6.13,0.0059,-2.4317,41.7000,90.10,-999.00,-999.00,0,1.46,1.24,-1.01,-1.64,-1.36,-2.89,-4.19,-3.50,44.65,38.96,41.49,89.94,90.25,90.24,90.47,89.94,90.03
0:06:42,2,0.58,115.0,9.210,6.13,0.0068,-2.2467,41.5667,90.11,-999.00,-999.00,0,1.60,1.43,-0.82,-1.40,-1.14,-2.78,-4.01,-3.33,44.56,38.81,41.33,90.01,90.26,90.28,90.47,89.96,90.06
0:07:32,2,0.58,115.0,9.170,6.11,0.0076,-2.0733,41.4167,90.10,-999.00,-999.00,0,1.74,1.60,-0.64,-1.21,-0.90,-2.65,-3.87,-3.17,44.43,38.67,41.15,90.01,90.26,90.25,90.44,89.95,90.06
0:08:22,2,0.58,115.0,9.250,6.17,0.0085,-1.9017,41.2700,90.11,-999.00,-999.00,0,1.91,1.77,-0.47,-1.02,-0.66,-2.53,-3.72,-3.01,44.31,38.52,40.98,90.06,90.27,90.30,90.47,89.96,90.08
0:09:12,2,0.58,115.1,9.250,6.11,0.0094,-1.7433,41.1100,90.13,-999.00,-999.00,0,2.07,1.93,-0.30,-0.84,-0.46,-2.44,-3.55,-2.87,44.16,38.38,40.79,90.08,90.28,90.31,90.48,89.97,90.09
0:10:02,2,0.58,115.1,9.290,6.19,0.0102,-1.5650,40.9467,90.11,-999.00,-999.00,0,0.88,1.07,-0.11,-0.67,-0.25,-2.28,-3.39,-2.69,44.01,38.24,40.59,90.07,90.26,90.29,90.47,89.96,90.07
0:10:52,2,0.58,115.0,9.330,6.21,0.0111,-1.3717,40.7400,90.13,-999.00,-999.00,0,1.09,1.26,0.07,-0.45,-0.02,-2.16,-3.19,-2.48,43.82,38.03,40.37,90.11,90.28,90.31,90.54,89.97,90.09
0:11:42,2,0.58,115.0,9.330,6.20,0.0120,-1.2533,40.5300,90.13,-999.00,-999.00,0,1.30,1.38,0.20,-0.33,0.14,-2.06,-3.10,-2.37,43.62,37.85,40.12,90.11,90.28,90.33,90.57,89.97,90.09
0:12:33,2,0.58,115.0,9.370,6.24,0.0128,-1.0883,40.3333,90.13,-999.00,-999.00,0,1.49,1.54,0.36,-0.17,0.31,-1.91,-2.92,-2.20,43.42,37.66,39.92,90.16,90.28,90.33,90.55,89.97,90.09
0:13:23,2,0.58,115.0,9.340,6.24,0.0137,-0.9400,40.1233,90.13,-999.00,-999.00,0,1.70,1.69,0.50,-0.01,0.50,-1.82,-2.77,-2.04,43.21,37.47,39.69,90.16,90.28,90.33,90.54,89.97,90.09
0:14:13,2,0.58,115.1,9.390,6.25,0.0146,-0.7917,39.9133,90.13,-999.00,-999.00,0,1.91,1.84,0.64,0.14,0.67,-1.70,-2.62,-1.88,43.02,37.28,39.44,90.16,90.28,90.33,90.52,89.97,90.10
0:15:03,2,0.58,115.0,9.410,6.27,0.0154,-0.6617,39.6933,90.12,-999.00,-999.00,0,1.25,0.90,0.77,0.28,0.82,-1.61,-2.49,-1.74,42.80,37.07,39.21,90.16,90.27,90.33,90.49,89.97,90.10
0:15:54,2,0.58,115.1,9.370,6.24,0.0164,-0.5183,39.4667,90.10,-999.00,-999.00,0,1.47,1.04,0.91,0.45,0.95,-1.46,-2.36,-1.60,42.58,36.87,38.95,90.20,90.23,90.33,90.47,89.97,90.09
0:16:44,2,0.58,115.0,9.400,6.26,0.0172,-0.3900,39.2633,90.10,-999.00,-999.00,0,1.71,1.17,1.02,0.57,1.11,-1.37,-2.22,-1.45,42.37,36.69,38.73,90.19,90.22,90.33,90.54,89.97,90.09
0:17:34,2,0.58,115.1,9.460,6.27,0.0181,-0.2567,39.0367,90.11,-999.00,-999.00,0,1.91,1.31,1.16,0.70,1.24,-1.23,-2.09,-1.32,42.14,36.47,38.50,90.22,90.24,90.38,90.54,89.99,90.07
0:18:24,2,0.58,115.0,9.490,6.31,0.0190,-0.1450,38.8400,90.16,-999.00,-999.00,0,2.10,1.42,1.27,0.83,1.34,-1.14,-1.98,-1.19,41.92,36.32,38.28,90.24,90.27,90.39,90.56,90.05,90.10
0:19:14,2,0.58,115.1,9.450,6.30,0.0198,-0.0167,38.6000,90.14,-999.00,-999.00,0,2.34,1.55,1.38,0.94,1.49,-1.02,-1.84,-1.05,41.66,36.09,38.05,90.24,90.23,90.39,90.54,90.04,90.09
0:20:05,2,0.58,115.0,9.450,6.31,0.0207,0.1050,38.3767,90.15,-999.00,-999.00,0,1.32,0.77,1.49,1.08,1.59,-0.93,-1.68,-0.92,41.44,35.90,37.79,90.25,90.24,90.36,90.55,90.05,90.06
