0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,VOLTACT,AMPACT,WATTACT,WHRACT,YVTHD,YATHD,YFREQ,WATTSSTDDEV,VOLTSSTDDEV,WATTSDELTA,AMPSDELTA,VOLTSDELTA,WATTSDELTARBAR,VOLTSDELTARBAR,AMPSDELTARBAR,ARWATTSDELTA,RAWWATTSDELTA
0:00:00,State,Pwr Fac,Voltage V,Amps A,Wattage W,Kwatt Hours,Frequency,Volt Actual,Amp Actual,Watt Actual,Whr Actual,Yok Vthd,Yok Athd,Yok Freq,Watts Std Dev,Volts Std Dev,Watts Delta,Amps Delta,Volts Delta,Watts Delta RBar,Volts Delta RBar,Amps Delta RBar,Watts Delta Avg,Raw Watts Delta
0:00:00,0,0.00,57.400,10.0000,0.0000,0.00000,60.00,0.000,0.0000,0.0000,0.00000,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0:00:00,1,0.00,57.404,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.404,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.404,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:03,1,0.00,57.404,0,0,0,60.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:14,1,0.00,57.403,0,0,0,60.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:24,1,0.00,57.402,0,0,0,60.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.401,0,0,0,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.403,0,0,0,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.404,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.398,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.387,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.389,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.391,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.405,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.415,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.417,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.422,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.416,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.417,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.416,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.407,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.425,0,0,0,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.425,0,0,0,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.432,0,0,0,60.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.443,0,0,0,60.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.431,0,0,0,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.419,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.410,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.403,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.407,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.409,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.412,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.408,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.412,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.410,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.415,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.399,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.400,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.399,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.402,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.404,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.403,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.396,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.399,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.403,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.405,0,0,0,59.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:07,1,0.00,57.396,0,0,0,59.97,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:18,1,0.00,57.400,0,0,0,59.97,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:28,1,0.00,57.408,0,0,0,59.98,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:38,1,0.00,57.412,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:48,1,0.00,57.409,0,0,0,59.98,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:58,1,0.00,57.411,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:01:09,1,0.00,57.421,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:01:19,1,0.00,57.425,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:01:29,1,0.00,57.419,0,0,0,59.99,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:01:39,1,0.00,57.417,0,0,0,59.99,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:01:49,1,0.00,57.432,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:02:00,1,0.00,57.431,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:02:10,1,0.00,57.425,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:02:21,1,0.00,57.425,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:02:31,1,0.00,57.430,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:02:41,1,0.00,57.428,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.428,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:09,1,0.00,57.423,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:20,1,0.00,57.417,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:30,1,0.00,57.425,0,0,0,59.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:40,1,0.00,57.436,0,0,0,60.00,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:00:50,1,0.00,57.439,0,0,0,60.00,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:01:00,1,0.00,57.437,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:01:10,1,0.00,57.439,0,0,0,60.00,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
0:00:01,1,0.00,57.433,0,0,0,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:10,1,0.00,57.432,0,0,0,59.99,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:20,1,0.00,57.425,0,0,0,59.99,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:00,1,0.00,57.428,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0:00:09,1,0.00,57.429,0,0,0,59.99,1.039,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:19,1,0.00,57.430,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:29,1,0.00,57.428,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:39,1,0.00,57.429,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:00:49,1,0.00,57.426,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:01:00,1,0.00,57.430,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:01:10,1,0.00,57.424,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:01:20,1,0.00,57.430,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:01:31,1,0.00,57.424,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0
0:01:41,1,0.00,57.417,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:01:51,1,0.00,57.417,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:02:01,1,0.00,57.415,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:02:11,1,0.00,57.423,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:02:21,1,0.00,57.416,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:02:31,1,0.00,57.417,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:02:41,1,0.00,57.421,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:02:52,1,0.00,57.423,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:03:02,1,0.00,57.421,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:03:12,1,0.00,57.424,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:03:22,1,0.00,57.424,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:03:33,1,0.00,57.430,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:03:43,1,0.00,57.418,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:03:53,1,0.00,57.419,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:04:03,1,0.00,57.415,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:04:13,1,0.00,57.410,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:04:23,1,0.00,57.417,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:04:33,1,0.00,57.417,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:04:44,1,0.00,57.417,0,0,0,59.98,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:04:54,1,0.00,57.415,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:05:04,1,0.00,57.415,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:05:14,1,0.00,57.425,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:05:24,1,0.00,57.424,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:05:34,1,0.00,57.432,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:05:45,1,0.00,57.420,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:05:55,1,0.00,57.426,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0:06:05,1,0.00,57.424,0,0,0,59.99,1.040,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
