0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC11,TC12,TC13,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC1,FC2,FC3,FF1,FF2,FF3,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.00,0.0,0.00,0.00,0.00000,-4.76,44.07,-999.00,-999.00,-999.00,0,1.22,-7.35,-8.15,45.69,43.67,42.86,6.34235,89.94,70.1
0:00:52,1,0.00,0,0,0,0,-4.77,44.10,-999.00,-999.00,-999.00,0,1.22,-7.36,-8.17,45.70,43.72,42.87,6.34235,89.94,70.2
0:01:42,1,0.00,0,0,0,0,-4.77,44.10,-999.00,-999.00,-999.00,0,1.24,-7.37,-8.17,45.70,43.72,42.87,9.24569,89.94,70.5
0:02:33,1,0.00,0,0,0,0,-4.79,44.14,-999.00,-999.00,-999.00,0,1.22,-7.40,-8.19,45.75,43.75,42.92,9.24569,90.14,70.3
0:03:23,1,0.00,0,0,0,0,-4.78,44.15,-999.00,-999.00,-999.00,0,1.24,-7.40,-8.19,45.76,43.77,42.93,9.24569,90.14,70.8
0:04:13,1,0.00,0,0,0,0,-4.80,44.16,-999.00,-999.00,-999.00,0,1.23,-7.41,-8.21,45.77,43.77,42.94,6.34235,90.14,70.2
0:05:04,1,0.00,0,0,0,0,-4.81,44.18,-999.00,-999.00,-999.00,0,1.22,-7.40,-8.24,45.79,43.79,42.95,6.34235,90.14,69.7
0:05:54,1,0.00,0,0,0,0,-4.82,44.20,-999.00,-999.00,-999.00,0,1.21,-7.44,-8.24,45.80,43.82,42.98,9.24569,90.14,70.1
0:06:45,1,0.00,0,0,0,0,-4.83,44.23,-999.00,-999.00,-999.00,0,1.22,-7.46,-8.24,45.84,43.84,43.00,9.24569,90.14,69.9
0:07:35,1,0.00,0,0,0,0,-4.83,44.24,-999.00,-999.00,-999.00,0,1.22,-7.46,-8.26,45.84,43.88,43.01,6.34235,90.14,69.2
0:08:26,1,0.00,0,0,0,0,-4.82,44.27,-999.00,-999.00,-999.00,0,1.21,-7.42,-8.26,45.84,43.91,43.07,9.24569,90.14,70.4
0:09:16,1,0.00,0,0,0,0,-4.86,44.27,-999.00,-999.00,-999.00,0,1.19,-7.49,-8.27,45.87,43.88,43.07,6.34235,90.14,70.0
0:10:06,1,0.00,0,0,0,0,-4.85,44.30,-999.00,-999.00,-999.00,0,1.19,-7.47,-8.26,45.90,43.91,43.08,6.34235,90.14,69.6
0:10:57,1,0.00,0,0,0,0,-4.85,44.31,-999.00,-999.00,-999.00,0,1.19,-7.47,-8.26,45.90,43.91,43.11,6.34235,90.34,69.4
0:11:47,1,0.00,0,0,0,0,-4.86,44.32,-999.00,-999.00,-999.00,0,1.19,-7.48,-8.30,45.90,43.94,43.11,6.34235,90.34,69.1
0:12:37,1,0.00,0,0,0,0,-4.87,44.35,-999.00,-999.00,-999.00,0,1.16,-7.48,-8.28,45.95,43.95,43.14,9.24569,90.34,70.1
0:13:27,1,0.00,0,0,0,0,-4.91,44.34,-999.00,-999.00,-999.00,0,1.13,-7.54,-8.33,45.93,43.96,43.14,6.34235,90.34,69.6
0:14:18,1,0.00,0,0,0,0,-4.90,44.35,-999.00,-999.00,-999.00,0,1.13,-7.51,-8.33,45.96,43.96,43.14,9.24569,90.34,70.1
0:15:08,1,0.00,0,0,0,0,-4.92,44.40,-999.00,-999.00,-999.00,0,1.10,-7.51,-8.34,45.98,44.02,43.20,6.34235,90.34,69.9
0:15:58,1,0.00,0,0,0,0,-4.95,44.39,-999.00,-999.00,-999.00,0,1.09,-7.57,-8.37,45.98,43.99,43.19,9.24569,90.34,70.2
0:16:48,1,0.00,0,0,0,0,-4.95,44.42,-999.00,-999.00,-999.00,0,1.09,-7.56,-8.38,46.01,44.05,43.20,6.34235,90.34,70.4
0:17:39,1,0.00,0,0,0,0,-4.96,44.43,-999.00,-999.00,-999.00,0,1.08,-7.57,-8.38,46.03,44.05,43.21,6.34235,90.34,70.3
0:18:29,1,0.00,0,0,0,0,-4.91,44.44,-999.00,-999.00,-999.00,0,1.12,-7.52,-8.34,46.03,44.05,43.25,6.34235,90.34,70.3
0:19:19,1,0.00,0,0,0,0,-5.01,44.44,-999.00,-999.00,-999.00,0,1.02,-7.60,-8.44,46.03,44.06,43.23,6.34235,90.14,70.3
0:20:10,1,0.00,0,0,0,0,-4.97,44.47,-999.00,-999.00,-999.00,0,1.06,-7.58,-8.40,46.07,44.08,43.26,6.34235,90.14,70.3
0:21:00,1,0.00,0,0,0,0,-4.99,44.46,-999.00,-999.00,-999.00,0,1.03,-7.58,-8.43,46.04,44.08,43.26,6.34235,90.14,70.4
0:21:51,1,0.00,0,0,0,0,-5.00,44.49,-999.00,-999.00,-999.00,0,1.02,-7.57,-8.44,46.12,44.08,43.26,6.34235,90.14,70.4
0:22:41,1,0.00,0,0,0,0,-5.01,44.50,-999.00,-999.00,-999.00,0,1.02,-7.60,-8.44,46.12,44.11,43.27,6.34235,90.14,70.4
0:23:31,1,0.00,0,0,0,0,-4.99,44.53,-999.00,-999.00,-999.00,0,1.05,-7.59,-8.42,46.14,44.13,43.31,9.24569,90.14,70.3
0:24:22,1,0.00,0,0,0,0,-5.02,44.53,-999.00,-999.00,-999.00,0,1.01,-7.60,-8.46,46.15,44.13,43.31,6.34235,90.14,70.7
0:25:12,1,0.00,0,0,0,0,-5.01,44.53,-999.00,-999.00,-999.00,0,1.02,-7.60,-8.44,46.16,44.13,43.31,6.34235,90.14,70.5
0:26:03,1,0.00,0,0,0,0,-5.01,44.54,-999.00,-999.00,-999.00,0,1.02,-7.61,-8.45,46.17,44.15,43.31,9.24569,90.14,70.4
0:26:54,1,0.00,0,0,0,0,-5.01,44.56,-999.00,-999.00,-999.00,0,1.01,-7.60,-8.44,46.17,44.18,43.33,6.34235,90.14,70.2
0:27:44,1,0.00,0,0,0,0,-5.04,44.59,-999.00,-999.00,-999.00,0,1.00,-7.64,-8.49,46.20,44.20,43.37,6.34235,90.14,70.0
0:28:34,1,0.00,0,0,0,0,-5.05,44.60,-999.00,-999.00,-999.00,0,1.00,-7.65,-8.49,46.23,44.20,43.38,6.34235,90.14,70.3
0:29:24,1,0.00,0,0,0,0,-5.05,44.59,-999.00,-999.00,-999.00,0,1.00,-7.65,-8.49,46.24,44.19,43.35,9.24569,90.14,70.7
0:30:15,1,0.00,0,0,0,0,-5.04,44.63,-999.00,-999.00,-999.00,0,0.98,-7.62,-8.47,46.25,44.23,43.41,6.34235,90.14,70.5
0:31:05,1,0.00,0,0,0,0,-5.07,44.63,-999.00,-999.00,-999.00,0,0.94,-7.65,-8.49,46.24,44.23,43.42,6.34235,90.14,70.3
0:31:55,1,0.00,0,0,0,0,-5.08,44.66,-999.00,-999.00,-999.00,0,0.94,-7.69,-8.49,46.27,44.27,43.45,6.34235,90.14,69.7
0:32:46,1,0.00,0,0,0,0,-5.06,44.68,-999.00,-999.00,-999.00,0,0.99,-7.66,-8.50,46.31,44.27,43.45,6.34235,90.14,70.4
0:33:36,1,0.00,0,0,0,0,-5.07,44.68,-999.00,-999.00,-999.00,0,0.95,-7.67,-8.50,46.31,44.29,43.45,6.34235,90.14,69.1
0:34:26,1,0.00,0,0,0,0,-5.08,44.70,-999.00,-999.00,-999.00,0,0.95,-7.68,-8.50,46.31,44.31,43.47,9.24569,90.14,70.7
0:35:16,1,0.00,0,0,0,0,-5.09,44.71,-999.00,-999.00,-999.00,0,0.94,-7.69,-8.51,46.33,44.32,43.49,9.24569,90.14,70.3
0:36:07,1,0.00,0,0,0,0,-5.10,44.70,-999.00,-999.00,-999.00,0,0.94,-7.71,-8.52,46.31,44.32,43.48,6.34235,90.14,69.7
