0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,TC5,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC,FF,FC top door bin,FC bot door bin,FF door bin,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.80,114.8,2.70,2.52,0.00000,1.92,35.26,-999.00,-999.00,-999.00,0,1.92,35.26,89.38,89.77,90.23,0.67897,90.14,70.7,0.67897
0:00:10,1,0.57,114.8,2.00,2.52,0.00007,1.98,35.25,-999.00,-999.00,-999.00,0,1.98,35.25,89.38,89.77,90.14,0.67897,90.14,70.7,0.67897
0:00:20,1,0.80,114.8,2.70,2.52,0.00014,2.07,35.23,-999.00,-999.00,-999.00,0,2.07,35.23,89.34,89.76,90.13,0.67897,90.14,70.9,0.67897
0:00:30,1,0.80,114.8,2.70,2.52,0.00020,2.11,35.23,-999.00,-999.00,-999.00,0,2.11,35.23,89.37,89.77,90.11,0.67897,90.14,70.6,0.67897
0:00:40,1,0.80,114.8,2.70,2.52,0.00025,2.17,35.23,-999.00,-999.00,-999.00,0,2.17,35.23,89.38,89.77,90.10,0.67897,90.14,70.6,0.67897
0:00:51,1,0.80,114.8,2.70,2.52,0.00032,2.26,35.23,-999.00,-999.00,-999.00,0,2.26,35.23,89.38,89.82,90.04,0.67897,90.14,70.9,0.67897
0:01:01,1,0.57,114.8,2.00,2.52,0.00039,2.27,35.21,-999.00,-999.00,-999.00,0,2.27,35.21,89.37,89.80,89.99,0.67897,90.14,70.7,0.67897
0:01:11,1,0.80,114.8,2.70,2.52,0.00046,2.35,35.22,-999.00,-999.00,-999.00,0,2.35,35.22,89.31,89.77,90.11,0,90.14,70.8,0
0:01:22,1,0.80,114.8,2.70,2.52,0.00052,2.37,35.16,-999.00,-999.00,-999.00,0,2.37,35.16,89.28,89.78,89.98,0.67897,90.14,70.8,0.67897
0:01:32,1,0.80,114.8,2.70,2.52,0.00060,2.46,35.15,-999.00,-999.00,-999.00,0,2.46,35.15,89.32,89.79,89.96,0,90.14,70.8,0
