0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC11,TC12,TC13,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC1,FC2,FC3,FF1,FF2,FF3,Current Leakage (mA),RoomTemp,Humidity
0:00:00,2,0.95,115.0,6.50,7.18,0.00000,7.89,56.28,-999.00,-999.00,-999.00,0,10.86,6.82,6.00,57.22,56.13,55.48,0.00000,90.14,70.1,42.25
0:00:51,2,0.95,115.0,6.60,7.25,0.00101,7.87,56.30,-999.00,-999.00,-999.00,0,10.83,6.75,6.03,57.21,56.18,55.51,0,90.14,69.3,42.25
0:01:41,2,0.95,115.1,6.40,7.00,0.00202,7.90,56.31,-999.00,-999.00,-999.00,0,10.93,6.71,6.05,57.22,56.18,55.52,0,90.14,69.8,42.25
0:02:31,2,0.95,115.0,6.30,6.88,0.00299,7.91,56.33,-999.00,-999.00,-999.00,0,11.05,6.71,5.97,57.27,56.19,55.53,0,90.14,70.0,42.25
0:03:22,2,0.95,115.1,6.30,6.88,0.00395,7.91,56.35,-999.00,-999.00,-999.00,0,11.12,6.71,5.91,57.27,56.23,55.56,0,90.14,69.8,42.25
0:04:12,2,0.95,115.1,6.30,6.86,0.00490,7.92,56.40,-999.00,-999.00,-999.00,0,11.25,6.71,5.80,57.32,56.25,55.64,0,90.14,69.2,42.25
0:05:02,2,0.95,115.0,6.20,6.76,0.00584,7.91,56.41,-999.00,-999.00,-999.00,0,11.31,6.70,5.72,57.33,56.25,55.65,0,90.34,69.7,42.25
0:05:52,2,0.95,115.1,6.20,6.80,0.00678,7.93,56.43,-999.00,-999.00,-999.00,0,11.43,6.71,5.66,57.34,56.27,55.68,0,90.34,70.0,42.25
0:06:42,2,0.95,115.0,6.20,6.78,0.00772,7.96,56.49,-999.00,-999.00,-999.00,0,11.56,6.71,5.61,57.40,56.34,55.74,0,90.34,69.8,42.25
0:07:32,2,0.95,115.1,6.20,6.72,0.00865,7.96,56.51,-999.00,-999.00,-999.00,0,11.66,6.71,5.52,57.41,56.36,55.75,0,90.34,70.2,42.25
0:08:23,2,0.95,115.1,6.10,6.66,0.00965,7.98,56.55,-999.00,-999.00,-999.00,0,11.77,6.71,5.47,57.45,56.40,55.81,0,90.34,70.0,42.25
0:09:13,2,0.95,115.1,6.20,6.78,0.01058,7.97,56.56,-999.00,-999.00,-999.00,0,11.85,6.71,5.36,57.46,56.40,55.83,0,90.34,70.1,42.25
