0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC11,TC12,TC13,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC1,FC2,FC3,FF1,FF2,FF3,RoomTemp,Humidity
0:00:00,2,0.95,115.0,6.10,6.67,0.00000,5.42,53.67,-999.00,-999.00,-999.00,0,9.63,3.76,2.86,54.60,53.86,52.55,90.14,18.8
0:00:10,2,0.95,115.0,6.10,6.69,0.00020,5.41,53.65,-999.00,-999.00,-999.00,0,9.62,3.75,2.85,54.59,53.82,52.53,90.14,18.8
0:00:20,2,0.95,115.0,6.10,6.67,0.00040,5.41,53.67,-999.00,-999.00,-999.00,0,9.62,3.75,2.85,54.60,53.85,52.55,89.94,18.8
0:00:30,2,0.95,115.0,6.10,6.65,0.00053,5.43,53.68,-999.00,-999.00,-999.00,0,9.62,3.78,2.88,54.63,53.87,52.55,89.94,18.8
0:00:41,2,0.95,115.0,6.10,6.63,0.00073,5.43,53.67,-999.00,-999.00,-999.00,0,9.65,3.79,2.86,54.60,53.87,52.55,89.94,18.8
0:00:51,2,0.95,115.0,6.10,6.64,0.00093,5.45,53.68,-999.00,-999.00,-999.00,0,9.67,3.80,2.89,54.62,53.87,52.55,89.94,18.8
0:01:01,2,0.95,115.0,6.00,6.60,0.00112,5.46,53.68,-999.00,-999.00,-999.00,0,9.67,3.80,2.90,54.60,53.87,52.56,89.94,18.8
0:01:11,2,0.95,115.0,6.00,6.59,0.00132,5.48,53.71,-999.00,-999.00,-999.00,0,9.73,3.80,2.90,54.65,53.88,52.61,89.94,18.8
0:01:21,2,0.95,115.0,6.00,6.57,0.00151,5.48,53.71,-999.00,-999.00,-999.00,0,9.73,3.80,2.90,54.63,53.88,52.61,89.94,18.8
0:01:31,2,0.95,115.0,6.00,6.54,0.00171,5.50,53.71,-999.00,-999.00,-999.00,0,9.78,3.80,2.92,54.63,53.88,52.61,89.94,18.8
0:01:41,2,0.95,115.0,6.00,6.60,0.00184,5.52,53.72,-999.00,-999.00,-999.00,0,9.78,3.83,2.96,54.66,53.88,52.61,89.94,18.8
0:01:52,2,0.95,115.0,6.10,6.69,0.00204,5.53,53.72,-999.00,-999.00,-999.00,0,9.81,3.83,2.96,54.66,53.88,52.61,89.94,18.8
0:02:02,2,0.95,115.0,6.10,6.69,0.00224,5.53,53.69,-999.00,-999.00,-999.00,0,9.81,3.81,2.96,54.62,53.88,52.57,89.94,18.8
0:02:12,2,0.95,115.0,6.10,6.71,0.00243,5.54,53.72,-999.00,-999.00,-999.00,0,9.82,3.83,2.97,54.63,53.90,52.62,89.94,18.8
0:02:22,2,0.95,115.0,6.10,6.72,0.00263,5.52,53.71,-999.00,-999.00,-999.00,0,9.82,3.81,2.93,54.63,53.90,52.61,89.94,18.8
0:02:32,2,0.95,115.0,6.10,6.72,0.00283,5.53,53.71,-999.00,-999.00,-999.00,0,9.83,3.81,2.96,54.62,53.89,52.62,89.94,18.8
0:02:43,2,0.95,115.0,6.10,6.73,0.00303,5.56,53.71,-999.00,-999.00,-999.00,0,9.84,3.85,2.98,54.62,53.89,52.62,89.94,18.8
0:02:53,2,0.95,115.0,6.10,6.71,0.00317,5.58,53.71,-999.00,-999.00,-999.00,0,9.87,3.88,3.00,54.64,53.88,52.61,89.94,18.8
0:03:03,2,0.95,115.0,6.10,6.70,0.00337,5.60,53.71,-999.00,-999.00,-999.00,0,9.91,3.88,3.01,54.64,53.88,52.61,89.94,18.8
0:03:13,2,0.95,114.9,6.10,6.66,0.00356,5.57,53.73,-999.00,-999.00,-999.00,0,9.89,3.85,2.98,54.66,53.89,52.63,89.94,18.8
0:03:23,2,0.95,114.9,6.10,6.64,0.00376,5.61,53.72,-999.00,-999.00,-999.00,0,9.94,3.87,3.01,54.66,53.89,52.61,89.94,18.8
0:03:33,2,0.95,114.9,6.00,6.58,0.00396,5.58,53.72,-999.00,-999.00,-999.00,0,9.92,3.83,2.99,54.66,53.88,52.61,89.94,18.8
0:03:44,2,0.95,114.9,6.00,6.60,0.00415,5.62,53.73,-999.00,-999.00,-999.00,0,9.98,3.86,3.02,54.66,53.92,52.62,89.94,18.8
0:03:54,2,0.95,114.9,6.00,6.56,0.00435,5.61,53.75,-999.00,-999.00,-999.00,0,9.98,3.83,3.01,54.66,53.94,52.66,89.94,18.8
0:04:04,2,0.95,114.9,6.00,6.57,0.00455,5.64,53.75,-999.00,-999.00,-999.00,0,10.03,3.86,3.03,54.66,53.94,52.66,89.94,18.8
0:04:14,2,0.95,114.9,6.00,6.55,0.00467,5.63,53.75,-999.00,-999.00,-999.00,0,10.03,3.85,3.02,54.66,53.94,52.66,89.94,18.8
0:04:24,2,0.95,114.9,6.00,6.61,0.00487,5.63,53.75,-999.00,-999.00,-999.00,0,10.02,3.85,3.02,54.66,53.94,52.66,89.94,18.8
0:04:35,2,0.95,114.9,6.10,6.67,0.00507,5.64,53.76,-999.00,-999.00,-999.00,0,10.01,3.88,3.03,54.67,53.94,52.66,89.94,18.8
0:04:45,2,0.95,115.0,6.10,6.68,0.00527,5.66,53.77,-999.00,-999.00,-999.00,0,10.05,3.90,3.04,54.70,53.94,52.66,89.94,18.8
0:04:55,2,0.95,115.0,6.10,6.68,0.00547,5.66,53.78,-999.00,-999.00,-999.00,0,10.06,3.89,3.04,54.71,53.96,52.66,89.94,18.8
0:05:05,2,0.95,115.0,6.10,6.71,0.00566,5.68,53.77,-999.00,-999.00,-999.00,0,10.08,3.90,3.06,54.69,53.95,52.67,89.94,18.8
0:05:15,2,0.95,114.9,6.10,6.66,0.00580,5.72,53.79,-999.00,-999.00,-999.00,0,10.13,3.96,3.07,54.71,53.98,52.69,89.94,18.8
0:05:25,2,0.95,115.0,6.10,6.67,0.00600,5.73,53.80,-999.00,-999.00,-999.00,0,10.14,3.97,3.09,54.71,53.99,52.69,89.94,18.8
0:05:36,2,0.95,115.0,6.10,6.63,0.00619,5.69,53.80,-999.00,-999.00,-999.00,0,10.14,3.90,3.04,54.71,53.99,52.69,89.94,18.8
0:05:46,2,0.95,115.0,6.10,6.62,0.00639,5.71,53.80,-999.00,-999.00,-999.00,0,10.15,3.89,3.10,54.71,53.99,52.69,89.94,18.7
0:05:57,2,0.95,115.0,6.10,6.63,0.00659,5.74,53.80,-999.00,-999.00,-999.00,0,10.20,3.93,3.10,54.71,53.99,52.69,89.94,18.7
0:06:07,2,0.95,115.0,6.00,6.61,0.00678,5.73,53.80,-999.00,-999.00,-999.00,0,10.20,3.90,3.10,54.71,53.99,52.71,89.94,18.7
0:06:17,2,0.95,115.0,6.00,6.59,0.00698,5.74,53.82,-999.00,-999.00,-999.00,0,10.23,3.90,3.10,54.71,53.99,52.75,89.94,18.7
0:06:27,2,0.95,115.0,6.00,6.58,0.00718,5.72,53.78,-999.00,-999.00,-999.00,0,10.18,3.90,3.08,54.69,53.96,52.70,89.94,18.7
0:06:37,2,0.95,115.0,6.00,6.58,0.00737,5.75,53.82,-999.00,-999.00,-999.00,0,10.20,3.93,3.13,54.73,53.99,52.73,89.94,18.7
0:06:48,2,0.95,115.0,6.00,6.60,0.00750,5.76,53.83,-999.00,-999.00,-999.00,0,10.20,3.94,3.13,54.74,54.01,52.75,89.94,18.7
0:06:58,2,0.95,115.0,6.10,6.69,0.00770,5.76,53.83,-999.00,-999.00,-999.00,0,10.20,3.94,3.15,54.74,54.01,52.75,89.94,18.7
0:07:08,2,0.95,115.0,6.10,6.74,0.00790,5.77,53.83,-999.00,-999.00,-999.00,0,10.22,3.94,3.15,54.74,54.00,52.75,89.94,18.7
0:07:18,2,0.95,115.0,6.20,6.78,0.00810,5.79,53.84,-999.00,-999.00,-999.00,0,10.25,3.96,3.15,54.74,54.02,52.75,89.94,18.7
0:07:28,2,0.95,115.0,6.10,6.71,0.00830,5.80,53.84,-999.00,-999.00,-999.00,0,10.25,4.00,3.15,54.74,54.02,52.75,89.94,18.7
0:07:38,2,0.95,115.0,6.10,6.70,0.00850,5.83,53.84,-999.00,-999.00,-999.00,0,10.31,4.00,3.17,54.74,54.02,52.76,89.94,18.7
0:07:48,2,0.95,115.0,6.10,6.67,0.00870,5.83,53.84,-999.00,-999.00,-999.00,0,10.33,4.00,3.15,54.74,54.02,52.77,89.94,18.7
0:07:59,2,0.95,115.0,6.10,6.64,0.00889,5.85,53.86,-999.00,-999.00,-999.00,0,10.34,4.00,3.20,54.75,54.02,52.80,89.94,18.7
0:08:09,2,0.95,115.0,6.10,6.62,0.00903,5.83,53.85,-999.00,-999.00,-999.00,0,10.33,3.97,3.18,54.76,54.02,52.78,89.94,18.7
0:08:19,2,0.95,115.0,6.00,6.59,0.00922,5.84,53.85,-999.00,-999.00,-999.00,0,10.33,3.98,3.21,54.75,54.02,52.79,89.94,18.7
0:08:29,2,0.95,115.0,6.00,6.59,0.00942,5.84,53.88,-999.00,-999.00,-999.00,0,10.35,3.96,3.21,54.79,54.05,52.80,89.94,18.7
0:08:40,2,0.95,115.0,6.00,6.58,0.00962,5.87,53.89,-999.00,-999.00,-999.00,0,10.39,4.00,3.21,54.79,54.08,52.80,89.94,18.7
0:08:50,2,0.95,115.0,6.00,6.56,0.00981,5.87,53.89,-999.00,-999.00,-999.00,0,10.39,4.00,3.21,54.79,54.08,52.80,89.94,18.7
0:09:00,2,0.95,115.0,6.00,6.56,0.01001,5.87,53.90,-999.00,-999.00,-999.00,0,10.39,4.00,3.23,54.79,54.08,52.82,89.94,18.7
0:09:10,2,0.95,115.0,6.00,6.59,0.01020,5.89,53.90,-999.00,-999.00,-999.00,0,10.43,4.01,3.23,54.79,54.07,52.83,89.94,18.7
0:09:20,2,0.95,115.0,6.10,6.62,0.01033,5.89,53.90,-999.00,-999.00,-999.00,0,10.44,4.01,3.23,54.79,54.09,52.83,89.94,18.7
0:09:30,2,0.95,115.0,6.10,6.62,0.01053,5.90,53.89,-999.00,-999.00,-999.00,0,10.49,3.99,3.23,54.79,54.07,52.82,89.94,18.7
0:09:40,2,0.95,115.0,6.10,6.62,0.01073,5.92,53.90,-999.00,-999.00,-999.00,0,10.52,4.00,3.23,54.79,54.08,52.83,89.94,18.7
0:09:51,2,0.95,115.0,6.00,6.61,0.01092,5.92,53.94,-999.00,-999.00,-999.00,0,10.53,4.00,3.23,54.84,54.11,52.86,89.94,18.7
0:10:01,2,0.95,115.0,6.10,6.63,0.01112,5.96,53.93,-999.00,-999.00,-999.00,0,10.57,4.01,3.29,54.84,54.12,52.84,89.94,18.7
0:10:11,2,0.95,115.0,6.00,6.61,0.01132,5.94,53.93,-999.00,-999.00,-999.00,0,10.57,3.98,3.26,54.83,54.11,52.86,89.94,18.7
0:10:21,2,0.95,115.0,6.00,6.61,0.01145,5.95,53.94,-999.00,-999.00,-999.00,0,10.58,4.00,3.26,54.83,54.13,52.86,89.94,18.7
0:10:31,2,0.95,115.0,6.10,6.62,0.01164,5.95,53.94,-999.00,-999.00,-999.00,0,10.58,3.99,3.29,54.85,54.12,52.86,89.94,18.7
0:10:41,2,0.95,115.0,6.10,6.65,0.01184,5.93,53.93,-999.00,-999.00,-999.00,0,10.56,3.97,3.26,54.82,54.10,52.86,89.94,18.7
