0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC4,TC5,TC11,TC12,TC13,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FC4,FC5,FF1,FF2,FF3,Current Leakage (mA),RoomTemp,Humidity
0:00:05,2,0.60,114.9,15.60,10.75,0.00053,46.8880,66.8867,-999.00,-999.00,-999.00,0.000000,0.000000,0.000000,37.27,40.79,42.22,52.96,61.20,66.31,70.34,64.01,0.00000,90.34,21.8
0:00:50,2,0.60,114.9,15.70,10.84,0.00150,46.3900,66.6900,-999.00,-999.00,-999.00,0,999.00,999.00,36.74,40.22,41.69,52.53,60.77,66.12,70.18,63.77,0,90.34,21.8
0:01:40,2,0.60,114.9,15.70,10.80,0.00300,45.9120,66.4833,-999.00,-999.00,-999.00,0,999.00,999.00,36.21,39.69,41.18,52.10,60.38,65.91,70.03,63.51,0,90.34,21.7
0:02:30,2,0.60,114.9,15.70,10.79,0.00461,45.4400,66.2933,-999.00,-999.00,-999.00,0,999.00,999.00,35.70,39.19,40.67,51.67,59.97,65.73,69.87,63.28,0,90.34,21.7
0:03:21,2,0.60,114.9,15.60,10.75,0.00611,44.9520,66.0833,-999.00,-999.00,-999.00,0,999.00,999.00,35.18,38.63,40.16,51.23,59.56,65.52,69.72,63.01,0,90.34,21.8
0:04:11,2,0.60,114.9,15.70,10.77,0.00761,44.4480,65.8733,-999.00,-999.00,-999.00,0,999.00,999.00,34.66,38.05,39.63,50.77,59.13,65.31,69.57,62.74,0,90.14,21.6
0:05:01,2,0.60,114.9,15.60,10.75,0.00910,43.9800,65.6667,-999.00,-999.00,-999.00,0,1.21,2.88,34.16,37.58,39.13,50.32,58.71,65.10,69.39,62.51,0,90.14,21.6
0:05:51,2,0.60,114.9,15.50,10.73,0.01059,43.5140,65.4867,-999.00,-999.00,-999.00,0,1.40,3.36,33.65,37.05,38.65,49.92,58.30,64.95,69.27,62.24,0,90.14,21.5
0:06:42,2,0.60,114.9,15.60,10.72,0.01208,43.0440,65.2667,-999.00,-999.00,-999.00,0,1.62,3.84,33.19,36.53,38.16,49.45,57.89,64.71,69.11,61.98,0,90.14,21.4
0:07:32,2,0.60,115.0,15.50,10.65,0.01356,42.5800,65.0667,-999.00,-999.00,-999.00,0,1.82,4.31,32.71,36.02,37.67,49.03,57.47,64.52,68.94,61.74,0,90.14,21.1
0:08:22,2,0.60,114.9,15.40,10.68,0.01504,42.1520,64.8867,-999.00,-999.00,-999.00,0,2.00,4.74,32.24,35.58,37.25,48.64,57.05,64.35,68.79,61.52,0,90.14,21.0
0:09:12,2,0.60,114.9,15.40,10.57,0.01662,41.6900,64.6800,-999.00,-999.00,-999.00,0,2.21,5.20,31.79,35.04,36.79,48.20,56.63,64.15,68.64,61.25,0,90.14,21.2
0:10:03,2,0.60,114.9,15.30,10.53,0.01808,41.2600,64.5000,-999.00,-999.00,-999.00,0,1.18,2.75,31.36,34.59,36.33,47.81,56.21,63.98,68.50,61.02,0,90.14,21.2
0:10:53,2,0.60,114.9,15.30,10.53,0.01955,40.8180,64.2900,-999.00,-999.00,-999.00,0,1.39,3.19,30.90,34.13,35.88,47.39,55.79,63.78,68.32,60.77,0,90.14,20.9
0:11:43,2,0.60,114.9,15.40,10.56,0.02101,40.4000,64.0967,-999.00,-999.00,-999.00,0,1.58,3.61,30.47,33.69,35.48,47.00,55.36,63.61,68.15,60.53,0,90.14,20.8
0:12:33,2,0.60,114.9,15.30,10.48,0.02247,39.9540,63.8900,-999.00,-999.00,-999.00,0,1.77,4.04,30.03,33.23,34.97,46.58,54.96,63.41,67.98,60.28,0,90.14,20.9
