0:00:00,STATE,PFACTOR,RMDRY1,RMHUM1,RMSUPPT1,RMCOOLT1,RMDEHUMT1,RMGLYT1,RMHEATCTRL1,RMSTEAMCTRL1,RMCOOLCTRL1,RMDEHUMCTRL1,RMSTATUS1,DOORENABLE,VOLTSET1,VOLTSET2,VOLTSET3,VOLTSET4,VOLTSET5,VOLTSET6,VOLTSET7,VOLTSET8,GBLRMDRY1,GBLRMHUM1,GBLESTOP1,FREQ
0:00:00,State,Pwr Fac,RM3 Rm Dry1,RM3 Rm Hum1,RM3 Rm Supp T1,RM3 Rm Cool T1,RM3 Rm Dehum T1,RM3 Rm Gly T1,RM3 Rm Heat Ctrl1,RM3 Rm Steam Valve1,RM3 Rm Cool Valve1,RM3 Rm Dehum Valve1,RM3 Rm Status1,RM3 Door Enable,RM3 Volt Set1,RM3 Volt Set2,RM3 Volt Set3,RM3 Volt Set4,RM3 Volt Set5,RM3 Volt Set6,RM3 Volt Set7,RM3 Volt Set8,RM3 Gbl Rm Dry1,RM3 Gbl Rm Hum1,RM3 Gbl Estop1,RM3-1 Frequency
0:00:00,0,0.00,78.09,82.66,72.91,73.18,71.02,0.00,10.70,54.33,27.74,0.00,0.00,1,115,115,115,115,115,115,115,115,78.09,82.7,0.00,60.00
0:01:00,0,0.00,78.09,82.36,72.91,72.91,71.02,0,10.93,54.71,27.74,0,0,1,114.99,115.06,115.04,115.07,114.89,114.86,115.13,114.96,78.09,82.4,0,60.01
0:02:00,0,0.00,78.09,82.46,72.91,73.00,71.02,0,11.12,54.49,27.45,0,0,1,114.97,115.04,115.08,115.09,114.82,114.95,115.09,114.72,78.09,82.6,0,60.00
0:03:00,0,0.00,78.09,82.47,72.91,73.18,71.20,0,11.35,54.63,27.73,0.32,0,1,114.91,115.12,115.07,115.19,114.97,115.07,115.10,115.01,78.09,82.5,0,60.00
0:04:00,0,0.00,78.09,82.56,72.91,73.00,70.93,0,11.52,54.54,27.46,0,0,1,114.99,115.00,115.01,115.16,114.82,114.95,115.00,115.02,78.09,82.6,0,59.99
0:05:00,0,0.00,78.09,82.66,72.91,73.18,70.93,0,11.73,54.43,27.75,0,0,1,115.00,115.01,115.21,115.13,114.98,114.94,115.05,114.78,78.09,82.7,0,59.99
0:06:01,0,0.00,78.09,82.57,72.91,73.18,71.20,0,11.89,54.56,27.75,0.52,0,1,115.00,115.11,115.18,115.18,114.98,115.05,115.08,114.80,78.09,82.6,0,60.02
0:07:01,0,0.00,78.09,82.67,72.91,73.00,71.20,0,12.09,54.45,27.47,0.55,0,1,115.00,115.06,115.09,115.23,115.02,115.05,115.18,114.98,78.09,82.7,0,60.02
0:08:01,0,0.00,78.09,82.67,72.91,72.73,70.93,0,12.24,54.47,27.07,0,0,1,115.01,115.12,115.03,115.16,115.08,115.07,115.13,114.85,78.09,82.7,0,60.02
