0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC Mid,FF Mid,Evap (Bimetal),Evap Out,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.04,115.2,0.30,0.01,0.00000,4.25,38.18,-999.00,-999.00,-999.00,0,4.25,38.18,9.00,9.33,0.08116,78.30,80.9
0:00:00,1,0.04,115.2,0.30,0.01,0,4.25,38.18,-999.00,-999.00,-999.00,0,4.25,38.18,9.00,9.33,0.08116,78.30,80.9
0:00:00,1,0.04,115.2,0.30,0.01,0,4.25,38.18,-999.00,-999.00,-999.00,0,4.25,38.18,9.00,9.33,0.08116,78.30,80.9
0:00:00,1,0.04,115.2,0.30,0.01,0,4.25,38.18,-999.00,-999.00,-999.00,0,4.25,38.18,9.00,9.33,0.08116,78.30,80.9
0:00:50,1,0.04,115.2,0.30,0.01,0.00002,4.92,39.13,-999.00,-999.00,-999.00,0,4.92,39.13,9.95,12.42,0.09623,79.09,80.6
0:01:41,1,0.03,114.8,0.30,0.01,0.00002,5.19,39.44,-999.00,-999.00,-999.00,0,5.19,39.44,10.79,11.91,0.08116,79.68,78.4
0:02:31,1,0.04,115.2,0.30,0.01,0.00002,5.34,39.63,-999.00,-999.00,-999.00,0,5.34,39.63,11.05,11.67,0.08116,80.28,75.6
0:03:21,1,0.04,115.2,0.30,0.01,0.00002,5.54,39.80,-999.00,-999.00,-999.00,0,5.54,39.80,11.16,11.74,0.09623,80.87,75.4
0:04:11,1,0.04,115.2,0.30,0.01,0.00003,5.67,39.96,-999.00,-999.00,-999.00,0,5.67,39.96,11.19,11.83,0.08116,81.47,75.4
0:05:02,1,0.03,115.2,0.30,0.01,0.00003,5.88,40.12,-999.00,-999.00,-999.00,0,5.88,40.12,11.25,11.91,0.08116,82.06,74.9
0:05:24,2,0.98,115.0,8.80,9.91,0.00039,6.00,40.23,-999.00,-999.00,-999.00,0,6.00,40.23,11.22,11.64,0.09623,82.46,74.4
0:05:30,2,0.98,115.0,8.80,9.91,0.00039,6.00,40.23,-999.00,-999.00,-999.00,0,6.00,40.23,11.22,11.64,0.09623,82.46,74.4
0:05:30,2,0.98,115.0,8.80,9.91,0.00039,6.00,40.23,-999.00,-999.00,-999.00,0,6.00,40.23,11.22,11.64,0.09623,82.46,74.4
0:06:21,2,0.98,114.9,8.40,9.35,0.00172,6.43,40.26,-999.00,-999.00,-999.00,0,6.43,40.26,10.03,6.50,0.09623,82.86,73.7
0:07:11,2,0.98,114.9,7.90,8.83,0.00297,6.64,40.26,-999.00,-999.00,-999.00,0,6.64,40.26,9.01,3.17,0.09623,83.25,71.6
0:08:01,2,0.98,114.9,7.80,8.76,0.00420,6.69,40.24,-999.00,-999.00,-999.00,0,6.69,40.24,8.04,1.28,0.11059,83.85,71.8
0:08:01,2,0.98,114.9,7.80,8.76,0.00420,6.69,40.24,-999.00,-999.00,-999.00,0,6.69,40.24,8.04,1.28,0.11059,83.85,71.8
0:08:01,2,0.98,114.9,7.80,8.76,0.00420,6.69,40.24,-999.00,-999.00,-999.00,0,6.69,40.24,8.04,1.28,0.11059,83.85,71.8
0:08:51,2,0.98,114.9,7.80,8.77,0.00543,6.61,40.89,-999.00,-999.00,-999.00,0,6.61,40.89,7.13,0.45,0.11059,84.05,72.2
