0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,HAUXINPUT,ROOMTEMP,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC,FF,Current Leakage (mA),RoomTemp,Humidity
0:00:00,1,0.05,115.2,0.30,0.02,0.00000,7.90,42.22,-999.00,-999.00,-999.00,0,7.90,42.22,0.10351,78.49,80.7
0:00:00,1,0.05,115.2,0.30,0.02,0,7.90,42.22,-999.00,-999.00,-999.00,0,7.90,42.22,0.10351,78.49,80.7
0:00:00,1,0.05,115.2,0.30,0.02,0,7.90,42.22,-999.00,-999.00,-999.00,0,7.90,42.22,0.10351,78.49,80.7
0:00:00,1,0.05,115.2,0.30,0.02,0,7.90,42.22,-999.00,-999.00,-999.00,0,7.90,42.22,0.10351,78.49,80.7
0:00:50,1,0.05,115.2,0.30,0.02,0.00002,8.57,42.96,-999.00,-999.00,-999.00,0,8.57,42.96,0.10351,79.09,80.5
0:01:04,2,0.99,115.1,9.20,10.41,0.00035,8.75,43.08,-999.00,-999.00,-999.00,0,8.75,43.08,0.10271,79.49,79.8
0:01:10,2,0.98,115.1,9.20,10.41,0.00035,8.75,43.08,-999.00,-999.00,-999.00,0,8.75,43.08,0.10271,79.49,79.8
0:01:10,2,0.98,115.1,9.20,10.41,0.00035,8.75,43.08,-999.00,-999.00,-999.00,0,8.75,43.08,0.10271,79.49,79.8
0:02:00,2,0.98,114.9,8.60,9.72,0.00177,9.56,43.12,-999.00,-999.00,-999.00,0,9.56,43.12,0.10191,80.08,76.4
0:02:50,2,0.98,115.1,8.20,9.18,0.00307,10.14,43.13,-999.00,-999.00,-999.00,0,10.14,43.13,0.10271,80.68,75.4
0:03:41,2,0.98,114.9,8.10,9.14,0.00434,10.47,43.04,-999.00,-999.00,-999.00,0,10.47,43.04,0.10191,81.27,75.4
0:04:31,2,0.98,114.9,8.10,9.11,0.00560,10.66,42.97,-999.00,-999.00,-999.00,0,10.66,42.97,0.10191,81.87,75.2
0:05:21,2,0.98,114.9,8.10,9.03,0.00695,10.73,42.89,-999.00,-999.00,-999.00,0,10.73,42.89,0.10191,82.46,74.4
0:06:11,2,0.98,114.9,8.00,9.01,0.00820,10.67,42.72,-999.00,-999.00,-999.00,0,10.67,42.72,0.10191,82.86,73.7
0:07:01,2,0.98,114.9,8.00,8.98,0.00944,10.54,42.57,-999.00,-999.00,-999.00,0,10.54,42.57,0.10271,83.25,71.4
0:07:52,2,0.98,114.9,8.00,8.97,0.01068,10.35,42.42,-999.00,-999.00,-999.00,0,10.35,42.42,0.10191,83.85,71.8
0:08:01,2,0.98,114.9,8.00,8.96,0.01086,10.30,42.36,-999.00,-999.00,-999.00,0,10.30,42.36,0.10191,83.85,72.0
0:08:01,2,0.98,114.9,8.00,8.96,0.01086,10.30,42.36,-999.00,-999.00,-999.00,0,10.30,42.36,0.10191,83.85,72.0
0:08:01,2,0.98,114.9,8.00,8.96,0.01086,10.30,42.36,-999.00,-999.00,-999.00,0,10.30,42.36,0.10191,83.85,72.0
0:08:51,2,0.98,114.9,8.00,8.96,0.01221,10.10,42.96,-999.00,-999.00,-999.00,0,10.10,42.96,0.10271,84.05,72.2
0:09:41,2,0.98,115.0,8.00,9.05,0.01345,9.85,42.98,-999.00,-999.00,-999.00,0,9.85,42.98,0.10191,84.44,71.6
0:10:31,2,0.98,115.0,8.10,9.07,0.01471,9.59,42.97,-999.00,-999.00,-999.00,0,9.59,42.97,0.10191,84.64,72.1
0:11:21,2,0.98,114.9,8.10,9.05,0.01596,9.31,42.85,-999.00,-999.00,-999.00,0,9.31,42.85,0.10191,84.84,72.1
0:12:12,2,0.98,114.9,8.00,9.04,0.01722,9.02,42.76,-999.00,-999.00,-999.00,0,9.02,42.76,0.10191,85.04,70.3
0:13:02,2,0.98,114.9,8.00,9.05,0.01847,8.76,42.64,-999.00,-999.00,-999.00,0,8.76,42.64,0.10191,85.24,69.6
0:13:52,2,0.98,114.9,8.00,9.02,0.01972,8.50,42.47,-999.00,-999.00,-999.00,0,8.50,42.47,0.10191,85.44,70.1
0:14:42,2,0.98,115.0,8.00,9.04,0.02106,8.24,42.35,-999.00,-999.00,-999.00,0,8.24,42.35,0.10271,85.64,71.0
0:15:33,2,0.98,115.0,8.00,9.01,0.02231,7.96,42.22,-999.00,-999.00,-999.00,0,7.96,42.22,0.10271,85.83,71.1
0:16:23,2,0.98,115.0,8.00,9.00,0.02357,7.68,42.44,-999.00,-999.00,-999.00,0,7.68,42.44,0.10191,85.83,70.9
0:17:13,2,0.98,115.0,8.00,9.02,0.02482,7.46,42.78,-999.00,-999.00,-999.00,0,7.46,42.78,0.10191,86.03,69.2
0:18:04,2,0.98,115.0,8.00,9.05,0.02607,7.15,42.70,-999.00,-999.00,-999.00,0,7.15,42.70,0.10191,86.23,69.6
0:18:54,2,0.98,114.9,8.00,9.06,0.02732,6.92,42.63,-999.00,-999.00,-999.00,0,6.92,42.63,0.10271,86.23,70.4
0:19:44,2,0.98,114.9,8.00,9.01,0.02857,6.67,42.57,-999.00,-999.00,-999.00,0,6.67,42.57,0.10271,86.43,70.7
0:20:34,2,0.98,114.9,8.00,8.99,0.02982,6.48,42.48,-999.00,-999.00,-999.00,0,6.48,42.48,0.10191,86.43,71.0
0:21:24,2,0.98,115.0,8.00,8.99,0.03115,6.19,42.31,-999.00,-999.00,-999.00,0,6.19,42.31,0.10191,86.63,70.7
0:22:15,2,0.98,115.1,8.00,8.98,0.03240,5.96,42.14,-999.00,-999.00,-999.00,0,5.96,42.14,0.10191,86.63,69.2
0:23:05,2,0.98,115.2,8.00,8.98,0.03364,5.73,42.02,-999.00,-999.00,-999.00,0,5.73,42.02,0.10191,86.83,68.8
