0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC11,TC12,TC13,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FC1,FC2,FC3,FF1,FF2,FF3,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:07,1,0.00,115.0,0.10,0.02,0.00000,-0.9333,43.1200,91.02,-999.00,-999.00,0,0.99,1.20,-2.03,-0.03,-0.74,42.53,43.42,43.41,90.24,91.07,90.78,90.25,90.97,90.87
0:00:51,1,0.00,115.2,0.10,0.02,0.00000,-0.9900,43.1067,91.03,-999.00,-999.00,0,0.45,0.73,-2.08,-0.08,-0.81,42.56,43.35,43.41,90.27,91.08,90.78,90.25,90.98,90.85
0:01:41,1,0.00,115.1,0.10,0.02,0.00001,-1.0333,43.1233,91.00,-999.00,-999.00,0,0.42,0.76,-2.14,-0.11,-0.85,42.59,43.35,43.43,90.24,91.06,90.78,90.23,90.95,90.85
0:02:31,1,0.00,115.1,0.10,0.02,0.00001,-1.0200,43.1700,91.02,-999.00,-999.00,0,0.36,0.74,-2.11,-0.11,-0.84,42.68,43.37,43.46,90.25,91.09,90.79,90.23,90.96,90.85
0:03:21,1,0.00,115.1,0.10,0.02,0.00001,-0.9800,43.2600,91.02,-999.00,-999.00,0,0.28,0.70,-2.08,-0.09,-0.77,42.80,43.43,43.55,90.24,91.07,90.79,90.23,90.97,90.85
0:04:12,1,0.00,115.2,0.10,0.02,0.00002,-0.9733,43.3167,91.00,-999.00,-999.00,0,0.22,0.70,-2.06,-0.09,-0.77,42.89,43.47,43.59,90.27,91.06,90.84,90.23,90.95,90.85
0:05:02,1,0.00,115.2,0.10,0.02,0.00002,-0.9367,43.3800,91.02,-999.00,-999.00,0,0.26,0.00,-1.99,-0.10,-0.72,42.96,43.51,43.67,90.27,91.09,90.84,90.23,90.95,90.85
0:05:52,1,0.00,115.2,0.10,0.02,0.00002,-0.8600,43.4767,91.01,-999.00,-999.00,0,0.36,0.07,-1.91,-0.04,-0.63,43.10,43.57,43.76,90.26,91.07,90.84,90.25,90.96,90.86
0:06:43,1,0.00,115.2,0.10,0.02,0.00003,-0.8067,43.5500,91.00,-999.00,-999.00,0,0.43,0.13,-1.81,-0.03,-0.58,43.18,43.61,43.86,90.27,91.05,90.84,90.24,90.95,90.85
0:07:33,1,0.00,115.1,0.10,0.02,0.00003,-0.7500,43.6333,91.00,-999.00,-999.00,0,0.51,0.18,-1.70,-0.00,-0.55,43.28,43.69,43.93,90.27,91.05,90.84,90.25,90.95,90.85
0:08:23,1,0.00,115.1,0.10,0.02,0.00003,-0.6433,43.7300,90.99,-999.00,-999.00,0,0.59,0.26,-1.55,0.06,-0.44,43.40,43.75,44.04,90.28,91.06,90.84,90.24,90.93,90.86
0:09:13,1,0.00,115.1,0.10,0.02,0.00004,-0.5933,43.8167,90.98,-999.00,-999.00,0,0.70,0.34,-1.44,0.07,-0.41,43.50,43.83,44.12,90.27,91.04,90.84,90.23,90.92,90.85
0:10:04,1,0.00,115.2,0.10,0.02,0.00004,-0.4767,43.9233,90.98,-999.00,-999.00,0,0.54,0.46,-1.26,0.13,-0.30,43.61,43.91,44.25,90.27,91.04,90.84,90.25,90.92,90.85
0:10:55,1,0.00,115.3,0.10,0.02,0.00004,-0.3567,44.0133,90.96,-999.00,-999.00,0,0.63,0.58,-1.08,0.22,-0.21,43.72,43.97,44.35,90.25,91.00,90.79,90.23,90.92,90.85
0:11:19,2,0.88,115.0,8.30,8.41,0.00029,-0.2967,44.0833,90.94,-999.00,-999.00,0,0.70,0.64,-0.98,0.25,-0.16,43.80,44.02,44.43,90.24,90.99,90.78,90.23,90.89,90.85
0:11:25,2,0.88,115.0,8.30,8.41,0.00029,-0.2967,44.0833,90.94,-999.00,-999.00,0,0.70,0.64,-0.98,0.25,-0.16,43.80,44.02,44.43,90.24,90.99,90.78,90.23,90.89,90.85
0:11:25,2,0.88,115.0,8.30,8.41,0.00029,-0.2967,44.0833,90.94,-999.00,-999.00,0,0.70,0.64,-0.98,0.25,-0.16,43.80,44.02,44.43,90.24,90.99,90.78,90.23,90.89,90.85
