0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,TC28,TC29,TC30,TC31,HUMIDITY
0:00:00,State,Pwr Fac,Voltage V (Y * 1.0),Amps A,Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Comp. Shell Top,Comp. Shell Bttm,Comp. Shell OLP,Comp. Lead Com.,Overload Lead,Overload case,TSD2 Case,Run Cap. Case,Cond. Fan Case,Cond. Fan Lead,SpplyCordStrainRlf,SpplyCordSeparation,IM Water Valve,Ambient Left,Left Side Wall,Top,Rear Wall,Right Side Wall,Floor,Fresh Food Mid,Frzr Air Mid,Evap. Fan Case,Evap. Fan Lead,Heater lead wire,HeaterMoldedTermnl,LeadClosest Heater,FlammableMaterialClosest to H,TCO,Ambient Right,Liner Adj IM,IM mold near htr,Humidity
0:00:00,2,0.97,121.965,0.8330,9.8630,0.00000,-0.29,40.37,109.19,199.02,189.39,182.14,144.63,146.23,166.98,162.44,153.51,126.85,123.17,120.09,121.61,121.43,109.06,104.01,104.40,129.90,120.77,129.38,40.37,-0.29,27.82,0.45,-3.36,-3.61,-4.39,1.83,-3.44,109.33,-0.81,-1.65,9.0
0:00:11,2,0.97,121.961,0.8314,9.8431,0.00029,-0.29,40.37,109.21,199.03,189.32,182.14,144.63,146.24,167.04,162.51,153.51,126.85,123.16,120.04,121.62,121.37,109.06,104.01,104.39,129.95,120.77,129.38,40.37,-0.29,27.80,0.45,-3.34,-3.60,-4.43,1.83,-3.41,109.35,-0.80,-1.64,9.0
0:00:21,2,0.97,121.958,0.8303,9.8302,0.00058,-0.30,40.37,109.20,199.01,189.37,182.13,144.64,146.23,167.00,162.50,153.49,126.82,123.16,120.12,121.59,121.42,109.06,104.01,104.40,129.99,120.76,129.38,40.37,-0.30,27.80,0.42,-3.36,-3.60,-4.41,1.82,-3.47,109.34,-0.84,-1.64,9.0
0:00:31,2,0.97,121.960,0.8302,9.8264,0.00087,-0.27,40.38,109.22,198.99,189.24,182.13,144.66,146.26,167.02,162.48,153.48,126.83,123.11,120.14,121.58,121.41,109.07,104.02,104.41,130.06,120.76,129.38,40.38,-0.27,27.81,0.42,-3.33,-3.59,-4.40,1.83,-3.46,109.37,-0.82,-1.63,9.0
0:00:41,2,0.97,121.948,0.8338,9.8683,0.00107,-0.30,40.37,109.18,198.98,189.36,182.13,144.66,146.26,167.02,162.48,153.47,126.83,123.13,120.12,121.58,121.42,109.06,104.01,104.40,130.07,120.75,129.38,40.37,-0.30,27.80,0.38,-3.36,-3.61,-4.45,1.82,-3.52,109.31,-0.86,-1.65,9.0
0:00:51,2,0.97,121.937,0.8365,9.9075,0.00136,-0.30,40.37,109.16,199.00,189.33,182.15,144.62,146.26,167.02,162.48,153.47,126.83,123.08,120.17,121.61,121.49,109.04,104.01,104.41,129.95,120.77,129.38,40.37,-0.30,27.80,0.37,-3.34,-3.60,-4.44,1.84,-3.43,109.28,-0.85,-1.65,9.0
0:00:52,1,0.00,122.056,0,0,0.00148,-0.30,40.37,109.10,198.99,189.31,182.14,144.63,146.22,167.02,162.46,153.48,126.91,123.14,120.13,121.61,121.49,108.95,104.01,104.40,129.87,120.74,129.39,40.37,-0.30,27.95,0.37,-3.34,-3.60,-4.44,1.83,-3.42,109.26,-0.83,-1.64,9.0
0:00:58,1,0.00,122.056,0,0,0.00148,-0.30,40.37,109.10,198.99,189.31,182.14,144.63,146.22,167.02,162.46,153.48,126.91,123.14,120.13,121.61,121.49,108.95,104.01,104.40,129.87,120.74,129.39,40.37,-0.30,27.95,0.37,-3.34,-3.60,-4.44,1.83,-3.42,109.26,-0.83,-1.64,9.0
0:00:58,1,0.00,122.056,0,0,0.00148,-0.30,40.37,109.10,198.99,189.31,182.14,144.63,146.22,167.02,162.46,153.48,126.91,123.14,120.13,121.61,121.49,108.95,104.01,104.40,129.87,120.74,129.39,40.37,-0.30,27.95,0.37,-3.34,-3.60,-4.44,1.83,-3.42,109.26,-0.83,-1.64,9.0
