0:00:00,STATE,PFACTOR
0:00:00,State,Pwr Fac
0:00:00,0,0.00
0:01:00,0,0.00
0:02:00,0,0.00
0:03:01,0,0.00
0:04:01,0,0.00
0:05:01,0,0.00
0:06:01,0,0.00
0:07:01,0,0.00
0:08:01,0,0.00
0:09:02,0,0.00
0:10:02,0,0.00
0:11:02,0,0.00
0:12:02,0,0.00
0:13:02,0,0.00
0:14:02,0,0.00
0:15:03,0,0.00
0:16:03,0,0.00
0:17:03,0,0.00
0:18:03,0,0.00
0:19:03,0,0.00
0:20:03,0,0.00
0:21:03,0,0.00
0:22:04,0,0.00
0:23:04,0,0.00
0:24:04,0,0.00
0:25:04,0,0.00
0:26:04,0,0.00
0:27:04,0,0.00
0:28:05,0,0.00
0:29:05,0,0.00
0:30:05,0,0.00
0:31:05,0,0.00
0:32:05,0,0.00
0:33:05,0,0.00
0:34:05,0,0.00
0:35:06,0,0.00
0:36:06,0,0.00
0:37:06,0,0.00
0:38:06,0,0.00
0:39:06,0,0.00
0:40:06,0,0.00
0:41:07,0,0.00
0:42:07,0,0.00
0:43:07,0,0.00
0:44:07,0,0.00
0:45:07,0,0.00
0:46:07,0,0.00
0:47:08,0,0.00
0:48:08,0,0.00
0:49:08,0,0.00
0:50:08,0,0.00
0:51:08,0,0.00
0:52:08,0,0.00
0:53:08,0,0.00
0:54:09,0,0.00
0:55:09,0,0.00
0:56:09,0,0.00
0:57:09,0,0.00
0:58:09,0,0.00
0:59:09,0,0.00
1:00:10,0,0.00
1:01:10,0,0.00
1:02:10,0,0.00
1:03:10,0,0.00
1:04:10,0,0.00
1:05:10,0,0.00
1:06:11,0,0.00
1:07:11,0,0.00
1:08:11,0,0.00
1:09:11,0,0.00
1:10:11,0,0.00
1:11:11,0,0.00
1:12:11,0,0.00
1:13:12,0,0.00
1:14:12,0,0.00
1:15:12,0,0.00
1:16:12,0,0.00
1:17:12,0,0.00
1:18:12,0,0.00
1:19:13,0,0.00
1:20:13,0,0.00
1:21:13,0,0.00
1:22:13,0,0.00
1:23:13,0,0.00
1:24:13,0,0.00
1:25:14,0,0.00
1:26:14,0,0.00
1:27:14,0,0.00
1:28:14,0,0.00
1:29:14,0,0.00
1:30:14,0,0.00
1:31:14,0,0.00
1:32:15,0,0.00
1:33:15,0,0.00
1:34:15,0,0.00
1:35:15,0,0.00
1:36:15,0,0.00
1:37:15,0,0.00
1:38:16,0,0.00
1:39:16,0,0.00
1:40:16,0,0.00
1:41:16,0,0.00
1:42:16,0,0.00
1:43:16,0,0.00
1:44:17,0,0.00
1:45:17,0,0.00
1:46:17,0,0.00
1:47:17,0,0.00
1:48:17,0,0.00
1:49:17,0,0.00
1:50:17,0,0.00
1:51:18,0,0.00
1:52:18,0,0.00
1:53:18,0,0.00
1:54:18,0,0.00
1:55:18,0,0.00
1:56:18,0,0.00
1:57:19,0,0.00
1:58:19,0,0.00
1:59:19,0,0.00
2:00:19,0,0.00
2:01:19,0,0.00
2:02:19,0,0.00
2:03:19,0,0.00
2:04:20,0,0.00
2:05:20,0,0.00
2:06:20,0,0.00
2:07:20,0,0.00
2:08:20,0,0.00
2:09:20,0,0.00
2:10:21,0,0.00
2:11:21,0,0.00
2:12:21,0,0.00
2:13:21,0,0.00
2:14:21,0,0.00
2:15:21,0,0.00
2:16:22,0,0.00
2:17:22,0,0.00
2:18:22,0,0.00
2:19:22,0,0.00
2:20:22,0,0.00
2:21:22,0,0.00
2:22:22,0,0.00
2:23:23,0,0.00
2:24:23,0,0.00
2:25:23,0,0.00
2:26:23,0,0.00
2:27:23,0,0.00
2:28:23,0,0.00
2:29:24,0,0.00
2:30:24,0,0.00
2:31:24,0,0.00
2:32:24,0,0.00
2:33:24,0,0.00
2:34:24,0,0.00
2:35:25,0,0.00
2:36:25,0,0.00
2:37:25,0,0.00
2:38:25,0,0.00
2:39:25,0,0.00
2:40:25,0,0.00
2:41:25,0,0.00
2:42:26,0,0.00
2:43:26,0,0.00
2:44:26,0,0.00
2:45:26,0,0.00
2:46:26,0,0.00
2:47:26,0,0.00
2:48:27,0,0.00
2:49:27,0,0.00
2:50:27,0,0.00
2:51:27,0,0.00
2:52:27,0,0.00
2:53:27,0,0.00
2:54:28,0,0.00
2:55:28,0,0.00
2:56:28,0,0.00
2:57:28,0,0.00
2:58:28,0,0.00
2:59:28,0,0.00
3:00:28,0,0.00
3:01:29,0,0.00
3:02:29,0,0.00
3:03:29,0,0.00
3:04:29,0,0.00
3:05:29,0,0.00
3:06:29,0,0.00
3:07:30,0,0.00
3:08:30,0,0.00
3:09:30,0,0.00
3:10:30,0,0.00
3:11:30,0,0.00
3:12:30,0,0.00
3:13:31,0,0.00
3:14:31,0,0.00
3:15:31,0,0.00
3:16:31,0,0.00
3:17:31,0,0.00
3:18:31,0,0.00
3:19:31,0,0.00
3:20:32,0,0.00
3:21:32,0,0.00
3:22:32,0,0.00
3:23:32,0,0.00
3:24:32,0,0.00
3:25:32,0,0.00
3:26:33,0,0.00
3:27:33,0,0.00
3:28:33,0,0.00
3:29:33,0,0.00
3:30:33,0,0.00
3:31:33,0,0.00
3:32:33,0,0.00
3:33:34,0,0.00
3:34:34,0,0.00
3:35:34,0,0.00
3:36:34,0,0.00
3:37:34,0,0.00
3:38:34,0,0.00
3:39:35,0,0.00
3:40:35,0,0.00
3:41:35,0,0.00
3:42:35,0,0.00
3:43:35,0,0.00
3:44:35,0,0.00
3:45:36,0,0.00
3:46:36,0,0.00
3:47:36,0,0.00
3:48:36,0,0.00
3:49:36,0,0.00
3:50:36,0,0.00
3:51:36,0,0.00
3:52:37,0,0.00
3:53:37,0,0.00
3:54:37,0,0.00
3:55:37,0,0.00
3:56:37,0,0.00
3:57:37,0,0.00
3:58:38,0,0.00
3:59:38,0,0.00
4:00:38,0,0.00
4:01:38,0,0.00
4:02:38,0,0.00
4:03:38,0,0.00
4:04:39,0,0.00
4:05:39,0,0.00
4:06:39,0,0.00
4:07:39,0,0.00
4:08:39,0,0.00
4:09:39,0,0.00
4:10:39,0,0.00
4:11:40,0,0.00
4:12:40,0,0.00
4:13:40,0,0.00
4:14:40,0,0.00
4:15:40,0,0.00
4:16:40,0,0.00
4:17:41,0,0.00
4:18:41,0,0.00
4:19:41,0,0.00
4:20:41,0,0.00
4:21:41,0,0.00
4:22:41,0,0.00
4:23:41,0,0.00
4:24:42,0,0.00
4:25:42,0,0.00
4:26:42,0,0.00
4:27:42,0,0.00
4:28:42,0,0.00
4:29:42,0,0.00
4:30:43,0,0.00
4:31:43,0,0.00
4:32:43,0,0.00
4:33:43,0,0.00
4:34:43,0,0.00
4:35:43,0,0.00
4:36:44,0,0.00
4:37:44,0,0.00
4:38:44,0,0.00
4:39:44,0,0.00
4:40:44,0,0.00
4:41:44,0,0.00
4:42:44,0,0.00
4:43:45,0,0.00
4:44:45,0,0.00
4:45:45,0,0.00
4:46:45,0,0.00
4:47:45,0,0.00
4:48:45,0,0.00
4:49:46,0,0.00
4:50:46,0,0.00
4:51:46,0,0.00
4:52:46,0,0.00
4:53:46,0,0.00
4:54:46,0,0.00
4:55:47,0,0.00
4:56:47,0,0.00
4:57:47,0,0.00
4:58:47,0,0.00
4:59:47,0,0.00
5:00:47,0,0.00
5:01:47,0,0.00
5:02:48,0,0.00
5:03:48,0,0.00
5:04:48,0,0.00
5:05:48,0,0.00
5:06:48,0,0.00
5:07:48,0,0.00
5:08:49,0,0.00
5:09:49,0,0.00
5:10:49,0,0.00
5:11:49,0,0.00
5:12:49,0,0.00
5:13:49,0,0.00
5:14:50,0,0.00
5:15:50,0,0.00
5:16:50,0,0.00
5:17:50,0,0.00
5:18:50,0,0.00
5:19:50,0,0.00
5:20:50,0,0.00
5:21:51,0,0.00
5:22:51,0,0.00
5:23:51,0,0.00
5:24:51,0,0.00
5:25:51,0,0.00
5:26:51,0,0.00
5:27:52,0,0.00
5:28:52,0,0.00
5:29:52,0,0.00
5:30:52,0,0.00
5:31:52,0,0.00
5:32:52,0,0.00
5:33:52,0,0.00
5:34:53,0,0.00
5:35:53,0,0.00
5:36:53,0,0.00
5:37:53,0,0.00
5:38:53,0,0.00
5:39:53,0,0.00
5:40:54,0,0.00
5:41:54,0,0.00
5:42:54,0,0.00
5:43:54,0,0.00
5:44:54,0,0.00
5:45:54,0,0.00
5:46:55,0,0.00
5:47:55,0,0.00
5:48:55,0,0.00
5:49:55,0,0.00
5:50:55,0,0.00
5:51:55,0,0.00
5:52:55,0,0.00
5:53:56,0,0.00
5:54:56,0,0.00
5:55:56,0,0.00
5:56:56,0,0.00
5:57:56,0,0.00
5:58:56,0,0.00
5:59:57,0,0.00
6:00:57,0,0.00
6:01:57,0,0.00
6:02:57,0,0.00
6:03:57,0,0.00
6:04:57,0,0.00
6:05:58,0,0.00
6:06:58,0,0.00
6:07:58,0,0.00
6:08:58,0,0.00
6:09:58,0,0.00
6:10:58,0,0.00
6:11:58,0,0.00
6:12:59,0,0.00
6:13:59,0,0.00
6:14:59,0,0.00
6:15:59,0,0.00
6:16:59,0,0.00
6:17:59,0,0.00
6:19:00,0,0.00
6:20:00,0,0.00
6:21:00,0,0.00
6:22:00,0,0.00
6:23:00,0,0.00
6:24:00,0,0.00
6:25:01,0,0.00
6:26:01,0,0.00
6:27:01,0,0.00
6:28:01,0,0.00
6:29:01,0,0.00
6:30:01,0,0.00
6:31:01,0,0.00
6:32:02,0,0.00
6:33:02,0,0.00
6:34:02,0,0.00
6:35:02,0,0.00
6:36:02,0,0.00
6:37:02,0,0.00
6:38:03,0,0.00
6:39:03,0,0.00
6:40:03,0,0.00
6:41:03,0,0.00
6:42:03,0,0.00
6:43:03,0,0.00
6:44:04,0,0.00
6:45:04,0,0.00
6:46:04,0,0.00
6:47:04,0,0.00
6:48:04,0,0.00
6:49:04,0,0.00
6:50:04,0,0.00
6:51:05,0,0.00
