0:00:00,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3
0:00:00,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,Defrost Heater Lead,Liner adj Heater,lab ambient
0:00:00,8,0.00,120.3,0.00,0.00,0.00000,-999.00,-999.00,73.30,-999.00,-999.00,0,170.39,195.11,73.30,110.04
0:00:10,8,0.00,120.3,0,0,0,-999.00,-999.00,73.29,-999.00,-999.00,0,169.77,194.51,73.29,110.04
0:00:21,8,0.00,120.3,0,0,0,-999.00,-999.00,73.29,-999.00,-999.00,0,169.19,193.97,73.29,110.04
0:00:31,8,0.00,120.3,0,0,0,-999.00,-999.00,73.25,-999.00,-999.00,0,168.67,193.45,73.25,110.04
0:00:41,8,0.00,120.3,0,0,0,-999.00,-999.00,73.19,-999.00,-999.00,0,168.21,192.98,73.19,110.04
0:00:51,8,0.00,120.3,0,0,0,-999.00,-999.00,73.19,-999.00,-999.00,0,167.70,192.46,73.19,110.04
0:01:02,8,0.00,120.3,0,0,0,-999.00,-999.00,73.14,-999.00,-999.00,0,167.19,191.96,73.14,110.04
0:01:12,8,0.00,120.3,0,0,0,-999.00,-999.00,73.09,-999.00,-999.00,0,166.67,191.46,73.09,110.04
0:01:22,8,0.00,120.3,0,0,0,-999.00,-999.00,73.08,-999.00,-999.00,0,166.11,190.85,73.08,110.04
0:01:32,8,0.00,120.3,0,0,0,-999.00,-999.00,73.03,-999.00,-999.00,0,165.54,190.24,73.03,110.04
0:01:43,8,0.00,120.3,0,0,0,-999.00,-999.00,73.00,-999.00,-999.00,0,165.14,189.78,73.00,110.04
0:01:53,8,0.00,120.3,0,0,0,-999.00,-999.00,73.00,-999.00,-999.00,0,164.65,189.25,73.00,110.04
0:02:03,8,0.00,120.4,0,0,0,-999.00,-999.00,72.95,-999.00,-999.00,0,164.13,188.72,72.95,110.04
0:02:13,8,0.00,120.4,0,0,0,-999.00,-999.00,72.92,-999.00,-999.00,0,163.67,188.15,72.92,110.04
0:02:24,8,0.00,120.4,0,0,0,-999.00,-999.00,72.86,-999.00,-999.00,0,163.16,187.61,72.86,110.04
0:02:34,8,0.00,120.4,0,0,0,-999.00,-999.00,72.84,-999.00,-999.00,0,162.75,187.13,72.84,110.04
0:02:44,8,0.00,120.4,0,0,0,-999.00,-999.00,72.84,-999.00,-999.00,0,162.25,186.60,72.84,110.04
0:02:54,8,0.00,120.4,0,0,0,-999.00,-999.00,72.84,-999.00,-999.00,0,161.77,186.01,72.84,110.04
0:03:05,8,0.00,120.3,0,0,0,-999.00,-999.00,72.78,-999.00,-999.00,0,161.35,185.55,72.78,110.04
0:03:15,8,0.00,120.3,0,0,0,-999.00,-999.00,72.73,-999.00,-999.00,0,160.95,185.06,72.73,110.04
0:03:26,8,0.00,120.3,0,0,0,-999.00,-999.00,72.73,-999.00,-999.00,0,160.52,184.58,72.73,110.04
0:03:36,8,0.00,120.4,0,0,0,-999.00,-999.00,72.73,-999.00,-999.00,0,160.11,184.07,72.73,110.04
0:03:46,8,0.00,120.4,0,0,0,-999.00,-999.00,72.70,-999.00,-999.00,0,159.62,183.45,72.70,110.04
0:03:56,8,0.00,120.4,0,0,0,-999.00,-999.00,72.70,-999.00,-999.00,0,159.21,182.97,72.70,110.04
0:04:06,8,0.00,120.4,0,0,0,-999.00,-999.00,72.65,-999.00,-999.00,0,158.82,182.48,72.65,110.04
0:04:16,8,0.00,120.4,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,158.37,181.98,72.64,110.04
0:04:26,8,0.00,120.4,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,158.00,181.49,72.64,110.04
0:04:37,8,0.00,120.4,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,157.63,181.02,72.64,110.04
0:04:47,8,0.00,120.4,0,0,0,-999.00,-999.00,72.63,-999.00,-999.00,0,157.23,180.54,72.63,110.04
0:04:57,8,0.00,120.4,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,156.87,180.08,72.64,110.04
0:05:07,8,0.00,120.4,0,0,0,-999.00,-999.00,72.62,-999.00,-999.00,0,156.50,179.57,72.62,110.04
0:05:17,8,0.00,120.4,0,0,0,-999.00,-999.00,72.63,-999.00,-999.00,0,156.12,179.09,72.63,110.04
0:05:28,8,0.00,120.4,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,155.78,178.64,72.64,110.04
0:05:38,8,0.00,120.3,0,0,0,-999.00,-999.00,72.60,-999.00,-999.00,0,155.41,178.15,72.60,110.04
0:05:48,8,0.00,120.3,0,0,0,-999.00,-999.00,72.63,-999.00,-999.00,0,155.01,177.59,72.63,110.04
0:05:58,8,0.00,120.3,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,154.65,177.10,72.58,110.04
0:06:09,8,0.00,120.3,0,0,0,-999.00,-999.00,72.57,-999.00,-999.00,0,154.31,176.68,72.57,110.04
0:06:19,8,0.00,120.3,0,0,0,-999.00,-999.00,72.59,-999.00,-999.00,0,153.97,176.21,72.59,110.04
0:06:29,8,0.00,120.3,0,0,0,-999.00,-999.00,72.57,-999.00,-999.00,0,153.64,175.76,72.57,110.04
0:06:40,8,0.00,120.4,0,0,0,-999.00,-999.00,72.56,-999.00,-999.00,0,153.31,175.35,72.56,110.04
0:06:50,8,0.00,120.4,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,152.91,174.82,72.58,110.04
0:07:00,8,0.00,120.4,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,152.56,174.31,72.58,110.04
0:07:10,8,0.00,120.4,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,152.25,173.86,72.58,110.04
0:07:21,8,0.00,120.4,0,0,0,-999.00,-999.00,72.57,-999.00,-999.00,0,151.95,173.49,72.57,110.04
0:07:31,8,0.00,120.3,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,151.64,173.08,72.58,110.04
0:07:41,8,0.00,120.3,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,151.36,172.65,72.58,110.04
0:07:52,8,0.00,120.4,0,0,0,-999.00,-999.00,72.58,-999.00,-999.00,0,151.07,172.23,72.58,110.04
0:08:02,8,0.00,120.4,0,0,0,-999.00,-999.00,72.60,-999.00,-999.00,0,150.70,171.72,72.60,110.04
0:08:12,8,0.00,120.4,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,150.41,171.32,72.64,110.04
0:08:22,8,0.00,120.3,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,150.15,170.89,72.64,110.04
0:08:32,8,0.00,120.3,0,0,0,-999.00,-999.00,72.64,-999.00,-999.00,0,149.84,170.50,72.64,110.04
0:08:43,8,0.00,120.3,0,0,0,-999.00,-999.00,72.67,-999.00,-999.00,0,149.57,170.12,72.67,110.04
0:08:53,8,0.00,120.4,0,0,0,-999.00,-999.00,72.69,-999.00,-999.00,0,149.28,169.71,72.69,110.04
0:09:04,8,0.00,120.4,0,0,0,-999.00,-999.00,72.69,-999.00,-999.00,0,148.95,169.28,72.69,110.04
0:09:14,8,0.00,120.4,0,0,0,-999.00,-999.00,72.72,-999.00,-999.00,0,148.62,168.77,72.72,110.04
0:09:24,8,0.00,120.4,0,0,0,-999.00,-999.00,72.72,-999.00,-999.00,0,148.34,168.38,72.72,110.04
0:09:34,8,0.00,120.4,0,0,0,-999.00,-999.00,72.72,-999.00,-999.00,0,148.07,168.02,72.72,110.04
0:09:45,8,0.00,120.4,0,0,0,-999.00,-999.00,72.72,-999.00,-999.00,0,147.84,167.69,72.72,110.04
0:09:55,8,0.00,120.4,0,0,0,-999.00,-999.00,72.76,-999.00,-999.00,0,147.59,167.31,72.76,110.04
0:10:05,8,0.00,120.4,0,0,0,-999.00,-999.00,72.77,-999.00,-999.00,0,147.33,166.91,72.77,110.04
0:10:16,8,0.00,120.4,0,0,0,-999.00,-999.00,72.77,-999.00,-999.00,0,147.09,166.56,72.77,110.04
0:10:26,8,0.00,120.4,0,0,0,-999.00,-999.00,72.78,-999.00,-999.00,0,146.86,166.21,72.78,110.04
0:10:36,8,0.00,120.4,0,0,0,-999.00,-999.00,72.83,-999.00,-999.00,0,146.55,165.73,72.83,110.04
0:10:47,8,0.00,120.5,0,0,0,-999.00,-999.00,72.83,-999.00,-999.00,0,146.28,165.33,72.83,110.04
0:10:57,8,0.00,120.4,0,0,0,-999.00,-999.00,72.83,-999.00,-999.00,0,146.07,164.99,72.83,110.04
0:11:07,8,0.00,120.4,0,0,0,-999.00,-999.00,72.84,-999.00,-999.00,0,145.86,164.67,72.84,110.04
0:11:17,8,0.00,120.5,0,0,0,-999.00,-999.00,72.85,-999.00,-999.00,0,145.62,164.35,72.85,110.04
0:11:28,8,0.00,120.5,0,0,0,-999.00,-999.00,72.85,-999.00,-999.00,0,145.41,163.99,72.85,110.04
0:11:38,8,0.00,120.4,0,0,0,-999.00,-999.00,72.91,-999.00,-999.00,0,145.09,163.55,72.91,110.04
0:11:48,8,0.00,120.5,0,0,0,-999.00,-999.00,72.93,-999.00,-999.00,0,144.88,163.18,72.93,110.04
0:11:59,8,0.00,120.5,0,0,0,-999.00,-999.00,72.92,-999.00,-999.00,0,144.65,162.83,72.92,110.04
0:12:09,8,0.00,120.4,0,0,0,-999.00,-999.00,72.89,-999.00,-999.00,0,144.43,162.55,72.89,110.04
0:12:19,8,0.00,120.4,0,0,0,-999.00,-999.00,72.94,-999.00,-999.00,0,144.23,162.22,72.94,110.04
0:12:29,8,0.00,120.5,0,0,0,-999.00,-999.00,72.93,-999.00,-999.00,0,144.01,161.88,72.93,110.04
0:12:40,8,0.00,120.5,0,0,0,-999.00,-999.00,72.98,-999.00,-999.00,0,143.76,161.55,72.98,110.04
0:12:50,8,0.00,120.5,0,0,0,-999.00,-999.00,72.99,-999.00,-999.00,0,143.27,161.12,72.99,110.04
0:13:00,8,0.00,120.5,0,0,0,-999.00,-999.00,73.05,-999.00,-999.00,0,142.93,160.61,73.05,110.04
