TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,CABVARIATION,FRZVARIATION,TC1,TC2,TC3,TC4,TC5,TC6,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Cab,Ambient,Frez Door,Cab Door,Def/Rec Time,CabVariation,FrzVariation,FF 1 Upper,FF 2 Upper,FF 3 Upper,FF 1  Lower,FF 2 Lower,FF3 Lower,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:50,2,0.99,114.9,7.400,8.38,0.0012,-999.0000,43.2300,89.84,-999.00,-999.00,0.000000,999.00,999.00,47.65,44.93,41.53,44.52,38.98,41.77,89.5900,89.8700,89.9000,90.1300,89.8100,89.8000
0:01:41,2,0.98,114.9,7.300,8.24,0.0023,-999.0000,43.1200,89.83,-999.00,-999.00,0,999.00,999.00,47.60,44.85,41.40,44.46,38.76,41.65,89.5800,89.8500,89.9000,90.1200,89.8200,89.8100
0:02:31,2,0.97,114.8,7.300,8.15,0.0034,-999.0000,43.0333,89.83,-999.00,-999.00,0,999.00,999.00,47.58,44.80,41.28,44.43,38.55,41.56,89.5700,89.8500,89.9000,90.0900,89.8200,89.8000
0:03:21,2,0.98,114.9,7.200,8.09,0.0046,-999.0000,42.9283,89.84,-999.00,-999.00,0,999.00,999.00,47.52,44.75,41.14,44.38,38.30,41.48,89.6000,89.8700,89.9000,90.0800,89.8100,89.8200
0:03:57,1,0.98,115.1,0.600,0.29,0.0054,-999.0000,42.8033,89.82,-999.00,-999.00,0,999.00,999.00,47.46,44.67,40.98,44.27,38.07,41.37,89.5500,89.8500,89.9000,90.0600,89.7900,89.7900
0:04:04,1,0.42,115.1,0.600,0.29,0.0054,-999.0000,42.8033,89.82,-999.00,-999.00,0,999.00,999.00,47.46,44.67,40.98,44.27,38.07,41.37,89.5500,89.8500,89.9000,90.0600,89.7900,89.7900
0:04:55,1,0.42,115.3,0.600,0.29,0.0055,-999.0000,42.6817,89.83,-999.00,-999.00,0,999.00,999.00,47.39,44.60,40.85,44.19,37.79,41.27,89.5700,89.8500,89.9000,90.0500,89.8100,89.7900
0:05:45,1,0.42,114.9,0.600,0.29,0.0055,-999.0000,42.5900,89.83,-999.00,-999.00,0,999.00,999.00,47.33,44.54,40.71,44.16,37.62,41.18,89.6000,89.8500,89.9000,90.0500,89.8100,89.8000
0:06:35,1,0.42,115.3,0.600,0.29,0.0055,-999.0000,42.4583,89.82,-999.00,-999.00,0,999.00,999.00,47.22,44.41,40.57,44.05,37.46,41.04,89.5500,89.8500,89.8400,90.0500,89.7800,89.7700
0:07:26,1,0.42,115.2,0.600,0.29,0.0056,-999.0000,42.3850,89.82,-999.00,-999.00,0,999.00,999.00,47.17,44.37,40.46,43.98,37.33,41.00,89.5400,89.8400,89.8500,90.0500,89.8100,89.7700
0:08:16,1,0.42,115.2,0.600,0.29,0.0056,-999.0000,42.3967,89.81,-999.00,-999.00,0,999.00,999.00,47.44,44.39,40.44,43.96,37.23,40.92,89.5400,89.8100,89.8400,90.0400,89.8100,89.7900
0:08:54,2,0.42,114.9,11.100,12.69,0.0060,-999.0000,42.3567,89.81,-999.00,-999.00,0,999.00,999.00,47.46,44.33,40.38,43.91,37.18,40.88,89.5400,89.8000,89.8400,90.0000,89.8100,89.7700
0:09:00,2,0.99,114.9,11.100,12.69,0.0060,-999.0000,42.3567,89.81,-999.00,-999.00,0,999.00,999.00,47.46,44.33,40.38,43.91,37.18,40.88,89.5400,89.8000,89.8400,90.0000,89.8100,89.7700
0:09:50,2,0.98,115.2,8.300,9.40,0.0075,-999.0000,42.2833,89.82,-999.00,-999.00,0,999.00,999.00,47.39,44.28,40.31,43.87,37.05,40.80,89.5400,89.8200,89.8400,89.9900,89.8100,89.7800
