TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,TC1,TC2,TC3,TC4,TC5,TC6,AMBLEFTBOT,AMBLEFT,AMBLEFTTOP,AMBRIGHTBOT,AMBRIGHT,AMBRIGHTTOP
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC1,FC2,FC3,FC4,FC5,FC6,AmbLeftBot,AmbLeft,AmbLeftTop,AmbRightBot,AmbRight,AmbRightTop
0:00:00,2,0.89,114.8,8.900,9.05,0.0000,1.20,-999.00,89.65,-999.00,-999.00,0.000000,3.75,-1.16,-0.07,3.93,-1.00,1.76,89.6400,89.7200,89.6800,89.7700,89.5800,89.5700
0:01:37,2,0.87,114.8,7.800,7.76,0.0035,1.20,-999.00,89.68,-999.00,-999.00,0,3.62,-1.14,-0.03,3.93,-1.05,1.84,89.6400,89.7500,89.7000,89.7700,89.6000,89.5800
0:02:27,2,0.86,114.8,7.700,7.56,0.0046,1.19,-999.00,89.69,-999.00,-999.00,0,3.55,-1.12,0.01,3.93,-1.08,1.87,89.6500,89.7800,89.7000,89.7700,89.6000,89.5700
0:03:17,2,0.86,114.8,7.600,7.47,0.0056,1.18,-999.00,89.71,-999.00,-999.00,0,3.50,-1.12,0.01,3.93,-1.11,1.87,89.6600,89.7900,89.7200,89.7800,89.6400,89.5900
0:04:07,2,0.85,114.8,7.500,7.33,0.0066,1.16,-999.00,89.74,-999.00,-999.00,0,3.47,-1.15,0.02,3.90,-1.11,1.83,89.6900,89.8100,89.7600,89.7900,89.6800,89.5900
0:04:58,2,0.85,114.9,7.400,7.24,0.0076,1.15,-999.00,89.74,-999.00,-999.00,0,3.41,-1.11,0.01,3.87,-1.11,1.82,89.6600,89.8100,89.7300,89.7800,89.6600,89.5900
0:05:48,2,0.85,114.8,7.400,7.19,0.0086,1.14,-999.00,89.77,-999.00,-999.00,0,3.36,-1.11,0.01,3.88,-1.11,1.82,89.7000,89.8400,89.7800,89.8200,89.7000,89.6200
0:06:26,1,0.85,114.9,0,0,0.0094,1.12,-999.00,89.80,-999.00,-999.00,0,3.30,-1.11,0.01,3.87,-1.11,1.77,89.7000,89.9000,89.7800,89.8100,89.7000,89.6300
0:06:32,1,0.00,114.9,0,0,0.0094,1.12,-999.00,89.80,-999.00,-999.00,0,3.30,-1.11,0.01,3.87,-1.11,1.77,89.7000,89.9000,89.7800,89.8100,89.7000,89.6300
