**INFO_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,WT310,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,C2QG19067V,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,F1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2016,1,15,11,14,35,,,,,,,,,,,,,,,,,,,,,
Voltage Range,150,V,,,,,,,,,,,,,,,,,,,,,,,,,
Current Range,0.5,A,,,,,,,,,,,,,,,,,,,,,,,,,
Crest Factor,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Rate,0.25,S,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,IEC62301 Ed.2(Auto),,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Time,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,LR,CA,SP1,SP2,SAE,,,,,,,,,,,,,,,,,,,,,,
Stop Factor,LR Stable,,,,,,,,,,,,,,,,,,,,,,,,,,
Valid Period,300,900,,,,,,,,,,,,,,,,,,,,,,,,,
**INFO_END**,,,,,,,,,,,,,,,,,,,,,,,,,,,
**DATA_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Test Voltage(V),Test Frequency(Hz),THD,Crest Factor U,Crest Factor I,Power(W),Accumulated Energy(Wh),Real Power Factor,Apparent Power(VA),TrendCount,LR-MeasurePower,LR-Threshold,CA-AverageMaximum,CA-AverageMinimum,CA-ThresholdMaximum,CA-ThresholdMinimum,SP1-MeasurePower,SP1-Threshold,SP2-MeasurePower,SP2-Threshold,SAE-MeasurePower,SAE-Threshold,Time (hr),Slope (W/hr),,,
0.25,119.81,59.966,0,1.419,6.494,2.237,0.000156,0.2417,9.256,0,,,,,,,,,,,,,6.94445E-05,,,,
0.5,119.8,59.973,0,1.419,6.496,2.258,0.000313,0.2423,9.317,0,,,,,,,,,,,,,0.000138889,,,,
0.75,119.8,59.976,0,1.419,6.528,2.266,0.00047,0.243,9.326,0,,,,,,,,,,,,,0.000208334,,,,
1,119.81,59.976,0,1.419,6.326,2.306,0.000629,0.2441,9.447,0,,,,,,,,,,,,,0.000277778,,,,
1.25,119.81,59.973,0,1.419,6.505,2.195,0.000782,0.239,9.182,0,,,,,,,,,,,,,0.000347223,,,,
1.5,119.81,59.966,0,1.419,6.638,2.26,0.00094,0.2428,9.309,0,,,,,,,,,,,,,0.000416667,,,,
1.75,119.82,59.976,0,1.419,6.612,2.278,0.001098,0.2424,9.399,0,,,,,,,,,,,,,0.000486112,,,,
2,119.81,59.972,0,1.42,6.698,2.286,0.001257,0.2433,9.395,0,,,,,,,,,,,,,0.000555556,,,,
2.25,119.8,59.973,0,1.42,6.744,2.198,0.00141,0.2424,9.07,0,,,,,,,,,,,,,0.000625001,,,,
