Cycle Selection,File Paths,Laurel Meter IP (Cold/Hot),Agilent IP,APLUS IP,File Search,ITHX Humidity Sensor IP Address,Scale IP Address,Agilent Channels (Analog),Agilent Channels (Temperature TC),,Wash Temperature,Rinse Temperature,Load Size,Model Detail Header,EOC Commands,Manufacturer-Dish,Unit Control-Dish,Test Type:,Cycle Mode-Dish,Inlet Temperature-Dish,Detergent-Dish,Washer Header Detail,Dishwasher Header Detail,TC1 Coefficients (A_B_C),TC2 Coefficients (A_B_C),TC3 Coefficients (A_B_C),TC4 Coefficients (A_B_C),TC5 Coefficients (A_B_C),TC6 Coefficients (A_B_C),TC7 Coefficients (A_B_C),TR Number:,Lab ID:,Station ID:,Technician:,Water Pressure (PSI):,Ambient RH:,Supply Voltage:,Frequency:,Build:,Hot Water Temperature (Fahrenheit),Cold Water Temperature (Fahrenheit),Heating Mode:,Ambient Temperature (F):,Dryer Type:,Exhaust:,Drying Cycle:,Heat Setting:,Dryness Setting:,Load Type:,Nominal Load Weight (lbs):
Eco Wash,C:\GE\Washer DOE\CalibrationDates.txt,192.168.3.7,192.168.3.9,192.168.3.8,DOE Template,,10.0.3.5,113,101,,Extra Hot,Cold,Max,TR Number:,EOC,GE,Electronic,Kitchen,Auto,110,Cascade,Program Name:,Manufacturer:,0,0,0,0,0,0,0,,,Station 1,Test,25,50,110,50,DG,120,50,Heat Pump,50,,,,,,COT - Cotton,
Standard Wash,C:\GE\Washer DOE\DOE Capacity.txt,192.168.3.6,,,Rev,,,114,102,,Hot,Hot Rinse,Min,Lab ID:,ShuttingDown,Electrolux,Mechanical,DOE,Pots & Pans,120,Dawn,Model Family:,Unit Control:,0,0,0,0,0,0,0,,,Station 2,,30,60,115,60,DC,130,58,Hybrid,75,,,,,,GEMIX - GE Mixed Load,
Heavy Wash,C:\GE\Washer DOE,192.168.3.2,,,xltm,,,115,103,,Warm 1,,Avg,Test Name:,,Mabe,,Portable Test,Quick,130,Gain,Cycle Selection:,Test Type:,0,0,0,0,0,0,0,,,Station 3,,35,80,120,80,Pre-Pilot,135,68,Boost,90,,,,,,GEEZ - GE Easy Care,
test,\\3.67.38.12\share\Test Data\Washer DOE\Models,192.168.3.4,,,,,,116,104,,Warm 2,,Max1*,Model:,,Bosch,,,,135,,Wash Temperature:,Cycle Mode:,,,,,,,,,,Station 4,,40,60,140,,Production,140,,Standard,,,,,,,GEDEL - Ge Delicate Load (CU),
,D:\data\WasherDOE,,,,,,,117,105,,Warm 3,,Max2**,Serial Number:,,Whirlpool,,,,140,,Rinse Temperature:,Inlet Temperature (F):,,,,,,,,,,Station 5,,,,,,,,,Vacation,,,,,,,CU - CU Load,
,C:\GE\Washer DOE\DOE_Backup.ini,,,,,,,,106,,Cold,,,Station ID:,,,,,,,,Load Size:,Detergent:,,,,,,,,,,Station 6,,,,,,,,,,,,,,,,DOE,
,,,,,,,,,107,,Note,,,Engineer:,,,,,,,,Hot Water Temperature (Fahrenheit):,Auto Cup Weight (gm):,,,,,,,,,,Station 7,,,,,,,,,,,,,,,,UL,
,,,,,,,,,108,,,,,Technician,,,,,,,,Cold Water Temperature (Fahrenheit):,Open Cup Weight (gm):,,,,,,,,,,Station 8,,,,,,,,,,,,,,,,AHAM,
,,,,,,,,,109,,,,,Water Pressure:,,,,,,,,Capacity (cu.ft),,,,,,,,,,,Station 9,,,,,,,,,,,,,,,,GEACT,
,,,,,,,,,110,,,,,Ambient RH:,,,,,,,,Initial Cloth Weight:,,,,,,,,,,,Station 10,,,,,,,,,,,,,,,,,
,,,,,,,,,111,,,,,Supply Voltage:,,,,,,,,Cloth Lot:,,,,,,,,,,,Station 11,,,,,,,,,,,,,,,,,
,,,,,,,,,112,,,,,Frequency:,,,,,,,,,,,,,,,,,,,Station 12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Build:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
