System Date,System Time,Elapsed Time (sec),Software Elapsed Time (sec),2C01,2C02,2C03,2C04,2C05,2C07,2C08,2C09,2C10,2C11,2C12,2C13,2C14,2C15,2C16,2C17,2C18,2C19,2C20,N/A,N/A,N/A,N/A
11/28/2018,13:44:56.943,0.000000,0.000000,-0.075157,-0.000204,1.526264,0.115999,-0.044815,-0.075867,-0.047973,0.005358,0.046822,0.063359,0.022230,-0.030515,-0.085169,-0.071558,-0.030004,1.375261,2.056668,0.129500,-0.006048,,,,
11/28/2018,13:45:00.794,3.850378,0.000000,-0.020363,-0.000237,1.526264,0.420092,0.037466,0.076347,0.042846,-0.071833,-0.025097,0.074803,0.000845,-0.080752,0.017662,0.076266,-0.009700,1.375261,2.056668,0.248794,-0.072973,,,,
11/28/2018,13:45:04.140,7.197147,0.000000,0.072651,-0.000194,1.526264,0.504284,0.048117,-0.071746,-0.012724,0.075045,-0.014025,-0.083884,0.000785,0.067432,-0.034039,-0.064096,0.045971,1.375261,2.057209,0.266021,0.107808,,,,
11/28/2018,13:45:07.476,10.532780,0.000000,0.011147,-0.000226,1.526264,0.430785,0.128528,0.101944,-0.023069,-0.062063,0.047139,0.046418,-0.038450,-0.060519,0.053019,0.037918,-0.074625,1.376885,2.057750,0.365171,-0.011561,,,,
11/28/2018,13:45:10.803,13.859871,0.000000,-0.014004,-0.000199,1.524640,0.623145,0.111679,-0.038058,0.043561,0.047505,-0.063542,-0.046606,0.057415,0.029595,-0.079133,-0.027104,0.072312,1.376885,2.057750,0.334119,0.035448,,,,
11/28/2018,13:45:14.120,17.176736,0.000000,0.041920,-0.000215,1.524099,0.629680,0.146457,-0.046590,0.011621,0.070095,-0.033011,-0.060287,0.017092,0.064920,-0.042049,-0.057775,0.055349,1.377426,2.056668,0.374568,-0.036971,,,,
11/28/2018,13:45:17.446,20.502458,0.000000,-0.074953,-0.000247,1.525181,0.489433,0.056188,0.061853,-0.054461,-0.043486,0.066528,0.047435,-0.065565,-0.032064,0.075787,0.005057,-0.079596,1.373638,2.058833,0.317648,-0.071500,,,,
11/28/2018,13:45:20.796,23.852615,0.000000,-0.048946,-0.000221,1.524640,0.445798,0.087714,0.098754,0.071860,-0.034162,-0.058141,0.051631,0.040941,-0.068637,-0.029105,0.075669,0.003599,1.376885,2.057750,0.372947,-0.164008,,,,
11/28/2018,13:45:24.124,27.180427,0.000000,0.045417,-0.000204,1.525723,0.470802,0.085848,0.099765,-0.016468,-0.068492,0.040866,0.052115,-0.060309,-0.039790,0.072188,0.043464,-0.069654,1.375803,2.058833,0.251548,-0.032941,,,,
11/28/2018,13:45:27.462,30.518241,0.000000,-0.111988,-0.000247,1.523016,0.516489,0.045181,0.042453,0.070391,-0.043626,-0.056726,0.050335,0.056349,-0.054412,-0.049232,0.061498,0.021902,1.376344,2.057750,0.219524,0.115206,,,,
11/28/2018,13:45:30.785,33.841311,0.000000,0.103112,-0.000204,1.525723,0.567954,0.000432,-0.061482,0.042286,0.047801,-0.062165,-0.048005,0.058942,0.028481,-0.076927,-0.018233,0.074146,1.375261,2.057209,0.336873,0.103416,,,,
11/28/2018,13:45:34.130,37.186815,0.000000,-0.022870,-0.000237,1.526264,0.577945,-0.023957,0.062235,0.034421,-0.074937,-0.027120,0.076449,-0.005149,-0.079924,0.018545,0.066092,-0.035088,1.376885,2.057750,0.311438,-0.124802,,,,
11/28/2018,13:45:37.462,40.518509,0.000000,-0.054811,-0.000247,1.530594,0.544084,0.050453,-0.023505,0.065501,0.034286,-0.073522,-0.021009,0.077944,-0.008995,-0.074442,0.022585,0.077821,1.375261,2.058833,0.346918,-0.108439,,,,
11/28/2018,13:45:40.787,43.843655,0.000000,0.017022,-0.000221,1.537630,0.442720,0.062391,0.095418,0.020492,-0.077982,0.009496,0.068443,-0.033495,-0.062337,0.050152,0.069944,-0.036185,1.372014,2.058292,0.309115,-0.038951,,,,
11/28/2018,13:45:44.128,47.184187,0.000000,-0.013816,-0.000204,1.540877,0.621687,0.101170,-0.034308,0.051475,0.042125,-0.072634,-0.036600,0.063031,0.019610,-0.082076,-0.018464,0.071903,1.373096,2.058292,0.345406,0.030026,,,,
11/28/2018,13:45:47.459,50.515982,0.000000,-0.021159,-0.000226,1.536006,0.592039,0.074055,-0.004664,0.074926,0.022537,-0.078412,-0.004901,0.074932,0.003319,-0.080822,0.012949,0.066049,1.374179,2.058833,0.336279,-0.374081,,,,
11/28/2018,13:45:50.783,53.839715,0.000000,0.055241,-0.000215,1.533300,0.476310,0.074363,-0.051201,-0.036987,0.070165,0.021633,-0.073258,-0.018469,0.077315,0.001566,-0.074528,0.023946,1.372555,2.057209,0.412910,-0.167518,,,,
11/28/2018,13:45:54.139,57.195574,0.000000,-0.085196,-0.000247,1.530052,0.516921,-0.041802,0.056113,0.037885,-0.073861,-0.028680,0.073786,0.000005,-0.080822,0.017915,0.070429,-0.032188,1.370931,2.057750,0.320456,-0.139977,,,,
11/28/2018,13:45:57.480,60.536928,0.000000,0.058388,-0.000183,1.527346,0.444718,0.096018,-0.015069,-0.068739,0.032161,0.054671,-0.059314,-0.063182,0.049355,0.042453,-0.069471,-0.029590,1.374179,2.058833,0.285732,0.015013,,,,
11/28/2018,13:46:00.859,63.915606,0.000000,0.019319,-0.000194,1.526805,0.618555,0.142191,-0.037762,-0.034275,0.068981,0.014510,-0.084508,-0.002502,0.068164,-0.032764,-0.076637,0.024888,1.372014,2.057209,0.413450,-0.043809,,,,
11/28/2018,13:46:04.192,67.248978,0.000000,0.008807,-0.000210,1.526805,0.628708,0.163576,-0.041936,-0.002227,0.078698,-0.020406,-0.071047,0.027255,0.075588,-0.020132,-0.066953,0.043206,1.373638,2.058292,0.443692,0.025189,,,,
11/28/2018,13:46:07.512,70.568774,0.000000,0.114436,-0.000188,1.527888,0.515301,0.206941,0.033678,-0.071477,0.018222,0.065038,-0.046622,-0.071553,0.029988,0.059793,-0.050259,-0.047010,1.373638,2.058292,0.313490,0.040150,,,,
11/28/2018,13:46:10.831,73.888126,0.000000,0.020288,-0.000231,1.524640,0.435321,0.142353,0.097845,-0.033673,-0.052653,0.055080,0.038504,-0.066044,-0.035760,0.069503,0.018346,-0.080058,1.374720,2.058292,0.360311,0.076287,,,,
11/28/2018,13:46:14.156,77.212714,0.000000,-0.005122,-0.000210,1.524099,0.619257,0.100392,-0.028659,0.056000,0.038004,-0.073161,-0.035486,0.049528,0.034356,-0.079058,-0.024968,0.072995,1.377967,2.057750,0.342058,0.043282,,,,
11/28/2018,13:46:17.481,80.537385,0.000000,0.093735,-0.000188,1.526264,0.506390,0.205591,0.042733,-0.073048,0.008602,0.068637,-0.031273,-0.077498,0.023419,0.063930,-0.049355,-0.047612,1.376885,2.059374,0.229730,0.118111,,,,
11/28/2018,13:46:20.804,83.860654,0.000000,-0.062407,-0.000247,1.526264,0.553535,0.002668,0.081097,-0.008463,-0.073468,0.024188,0.072064,-0.020955,-0.073672,0.033076,0.050162,-0.063488,1.379050,2.057750,0.324668,-0.057136,,,,
11/28/2018,13:46:24.154,87.210189,0.000000,-0.073506,-0.000264,1.526264,0.531016,0.049431,0.040333,0.060583,0.036083,-0.071833,-0.026259,0.075158,-0.000963,-0.075808,0.019884,0.065759,1.376885,2.057209,0.339627,-0.120697,,,,
11/28/2018,13:46:27.504,90.560818,0.000000,-0.045686,-0.000247,1.524640,0.633298,-0.050331,0.021999,0.065248,-0.038509,-0.058055,0.052831,0.054090,-0.060443,-0.044142,0.067497,0.020906,1.377426,2.058292,0.325586,0.110697,,,,
11/28/2018,13:46:30.865,93.921400,0.000000,0.046445,-0.000215,1.522475,0.474852,0.190632,0.067545,-0.005208,-0.071122,0.025060,0.063838,-0.049893,-0.047376,0.063779,0.033377,-0.075545,1.377426,2.058292,0.262726,0.024156,,,,
11/28/2018,13:46:34.196,97.252779,0.000000,0.116260,-0.000199,1.523558,0.546083,0.153802,0.059292,-0.069578,-0.022337,0.075965,-0.012325,-0.077621,0.021224,0.061041,-0.015397,-0.074076,1.377426,2.057209,-0.001080,-0.110003,,,,
11/28/2018,13:46:37.548,100.604993,0.000000,0.014365,-0.000204,1.524099,0.621471,0.109465,-0.033571,0.049592,0.048780,-0.063402,-0.047892,0.061127,0.026975,-0.080032,-0.015564,0.076158,1.377426,2.057750,0.334173,-0.014278,,,,
11/28/2018,13:46:40.885,103.941786,0.000000,0.060099,-0.000183,1.521934,0.522591,0.206941,0.041856,-0.038784,-0.053207,0.056543,0.035513,-0.075722,-0.020185,0.077831,-0.002324,-0.074210,1.378509,2.057750,0.298153,-0.097333,,,,
11/28/2018,13:46:44.228,107.284209,0.000000,-0.016156,-0.000231,1.524099,0.582697,0.104821,-0.057985,0.008081,0.067147,-0.034700,-0.065070,0.046407,0.042528,-0.070805,-0.064640,0.047585,1.376885,2.057750,0.298315,-0.044734,,,,
11/28/2018,13:46:47.547,110.603540,0.000000,0.102940,-0.000210,1.523558,0.515193,0.204727,0.029692,-0.066921,0.029165,0.060406,-0.050060,-0.050485,0.060105,0.057657,-0.054757,-0.041463,1.377967,2.058292,0.305011,-0.077594,,,,
11/28/2018,13:46:50.873,113.929958,0.000000,-0.087316,-0.000226,1.524099,0.578971,-0.010728,0.077019,0.011911,-0.081145,0.001802,0.066437,0.008828,-0.083313,0.012331,0.063774,-0.041033,1.379050,2.058292,0.318188,0.048699,,,,
11/28/2018,13:46:54.212,117.269095,0.000000,0.011782,-0.000199,1.524640,0.623577,0.118983,-0.037315,0.039247,0.055069,-0.058759,-0.041576,0.044148,0.043642,-0.065065,-0.039677,0.069745,1.377967,2.059374,0.271151,0.083480,,,,
11/28/2018,13:46:57.539,120.594459,0.000000,-0.067572,-0.000237,1.521934,0.484951,0.058598,0.070316,0.057705,-0.061315,-0.033339,0.076707,0.037369,-0.072650,-0.021175,0.078520,-0.001479,1.375261,2.058292,0.258514,0.088053,,,,
11/28/2018,13:47:00.866,123.922478,0.000000,0.063515,-0.000188,1.522475,0.495265,0.050493,-0.070106,-0.012363,0.076901,-0.019120,-0.080144,0.003599,0.066647,-0.031854,-0.065925,0.046569,1.379050,2.057750,0.370733,0.072959,,,,
11/28/2018,13:47:04.225,127.282115,0.000000,-0.017571,-0.000226,1.523558,0.590635,-0.059045,-0.006386,0.074996,-0.024393,-0.074038,0.028277,0.052148,-0.064285,-0.042453,0.047268,0.037052,1.381215,2.057209,0.469938,-0.147699,,,,
11/28/2018,13:47:07.561,130.617474,0.000000,-0.118645,-0.000242,1.521934,0.577837,0.061078,-0.033226,0.052422,0.014763,-0.096806,-0.029697,0.054848,-0.020750,-0.100211,-0.003228,0.038515,1.390957,2.058292,0.052761,-0.257002,,,,
11/28/2018,13:47:10.918,133.974773,0.000000,0.114865,-0.000226,1.530052,0.465617,0.082301,-0.040500,-0.036562,0.067701,0.043803,-0.057452,-0.023365,0.080973,0.021514,-0.067475,0.029896,1.388792,2.058292,0.507524,0.104875,,,,
11/28/2018,13:47:14.257,137.313469,0.000000,-0.044852,-0.000215,1.529511,0.434511,0.109627,0.108357,0.060454,-0.055693,-0.037143,0.073146,0.019153,-0.078800,0.003841,0.076384,-0.022187,1.384462,2.057209,0.148941,0.116053,,,,
11/28/2018,13:47:17.620,140.676769,0.000000,-0.015731,-0.000221,1.527346,0.493213,0.052223,0.063677,-0.054203,-0.043260,0.063806,0.027448,-0.075970,-0.024888,0.074523,-0.000113,-0.080069,1.392039,2.058833,0.166816,0.097800,,,,
11/28/2018,13:47:20.984,144.040990,0.000000,0.069692,-0.000199,1.525181,0.553589,0.074201,-0.046138,-0.041840,0.065866,0.025366,-0.080139,-0.005272,0.077627,-0.019626,-0.079440,-0.002055,1.419101,2.057209,1.048585,0.638536,,,,
11/28/2018,13:47:24.325,147.382176,0.000000,-0.082937,-0.000258,1.528429,0.605108,-0.038795,0.054009,0.040559,-0.073016,-0.029455,0.070875,0.015021,-0.084717,-0.008296,0.071774,-0.025167,1.426137,2.057209,0.489163,-0.096553,,,,
11/28/2018,13:47:27.677,150.733748,0.000000,-0.023806,-0.000253,1.527346,0.559583,0.053934,0.018453,0.083421,0.044384,-0.065097,-0.030144,0.074792,0.004003,-0.079816,0.010060,0.067959,1.422889,2.056668,0.496237,0.040286,,,,
11/28/2018,13:47:31.018,154.075087,0.000000,0.062617,-0.000178,1.537088,0.490081,0.105759,0.090910,-0.034577,-0.056032,0.055833,0.038741,-0.072580,-0.027212,0.076976,0.032721,-0.078859,1.434255,2.057209,0.534904,0.095532,,,,
11/28/2018,13:47:34.375,157.431346,0.000000,-0.030832,-0.000221,1.537630,0.453953,0.084745,0.094585,0.032097,-0.078218,-0.001808,0.073511,0.012998,-0.081463,0.009598,0.069272,-0.032543,1.453198,2.059374,0.175673,-0.086966,,,,
11/28/2018,13:47:37.714,160.771049,0.000000,-0.048774,-0.000221,1.546830,0.597494,0.072086,-0.012438,-0.002916,0.070488,-0.028949,-0.075695,0.036858,0.043185,-0.070391,-0.043400,0.063989,2.064786,2.122698,0.309007,-0.002846,,,,
11/28/2018,13:47:41.043,164.099849,0.000000,-0.010625,-0.000215,1.544666,0.436132,0.025173,0.058103,0.064468,-0.054267,-0.039316,0.073156,0.022655,-0.078988,-0.002884,0.075739,0.022693,2.501558,2.090765,0.333147,-0.132200,,,,
11/28/2018,13:47:44.382,167.439117,0.000000,0.094240,-0.000215,1.538712,0.595496,-0.015715,-0.049382,0.055887,0.033920,-0.075017,-0.036944,0.070558,0.012993,-0.080785,0.002604,0.068492,1.869403,2.088059,0.370409,-0.112381,,,,
11/28/2018,13:47:47.747,170.803460,0.000000,-0.089107,-0.000237,1.539253,0.502556,-0.024893,0.074265,0.024780,-0.077724,-0.006036,0.076793,-0.023317,-0.066673,0.039591,0.074786,-0.023715,1.651829,2.083729,0.341193,0.102773,,,,
11/28/2018,13:47:51.103,174.159854,0.000000,-0.006359,-0.000221,1.534382,0.627142,-0.048171,-0.013385,0.076540,-0.008355,-0.073710,-0.007166,0.073710,-0.027723,-0.071397,0.034017,0.050636,1.528970,2.083729,0.375270,0.417122,,,,
